Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUAEX0XXXXX6O000,320,1050,1010,280,490,340,170,170,,,,,
CSUAEX1100006O000,4920,3500,4200,4080,3400,4390,4190,4790,,,,,
CSUAEX1110006O000,830,450,1080,620,670,510,400,370,,,,,
CSUAEX1110106O000,40,,250,,,20,20,60,,,,,
CSUAEX1110116O000,40,,250,,,20,20,60,,,,,
CSUAEX1110206O000,790,450,830,610,670,490,370,310,,,,,
CSUAEX1110216O000,790,450,830,610,670,490,370,310,,,,,
CSUAEX1120006O000,390,370,540,150,150,490,140,180,,,,,
CSUAEX1120106O000,80,70,,,,,,,,,,,
CSUAEX1120116O000,80,70,,,,,,,,,,,
CSUAEX1120206O000,310,290,520,140,130,480,120,180,,,,,
CSUAEX1120216O000,20,40,30,50,30,20,70,60,,,,,
CSUAEX1120226O000,290,250,490,90,100,460,50,120,,,,,
CSUAEX1120306O000,,,,,,,20,,,,,,
CSUAEX1120316O000,,,,,,,20,,,,,,
CSUAEX1130006O000,330,380,420,600,470,560,380,660,,,,,
CSUAEX1130106O000,40,110,220,50,130,90,40,150,,,,,
CSUAEX1130116O000,40,110,220,50,130,90,40,150,,,,,
CSUAEX1130206O000,,,20,,50,,20,,,,,,
CSUAEX1130216O000,,,20,,50,,20,,,,,,
CSUAEX1130306O000,60,90,40,100,40,260,250,320,,,,,
CSUAEX1130316O000,60,90,40,100,40,260,250,320,,,,,
CSUAEX1130506O000,30,110,20,90,40,110,20,50,,,,,
CSUAEX1130516O000,30,110,20,90,40,110,20,50,,,,,
CSUAEX1130606O000,20,20,20,30,70,,,30,,,,,
CSUAEX1130616O000,20,20,20,30,70,,,30,,,,,
CSUAEX1130706O000,140,20,40,60,120,70,30,80,,,,,
CSUAEX1130716O000,140,20,40,60,120,70,30,80,,,,,
CSUAEX1131106O000,20,,,,,,,,,,,,
CSUAEX1131116O000,20,,,,,,,,,,,,
CSUAEX1131206O000,,20,40,190,,20,,,,,,,
CSUAEX1131216O000,,20,40,190,,20,,,,,,,
CSUAEX1131306O000,,,30,60,,,,,,,,,
CSUAEX1131316O000,,,30,60,,,,,,,,,
CSUAEX1190006O000,3360,2300,2170,2720,2110,2830,3270,3580,,,,,
CSUAEX1190106O000,140,40,30,40,30,20,30,180,,,,,
CSUAEX1190136O000,140,40,30,40,30,20,30,180,,,,,
CSUAEX1190206O000,70,50,190,100,50,60,60,140,,,,,
CSUAEX1190216O000,70,50,190,100,50,60,60,140,,,,,
CSUAEX1190306O000,360,120,150,210,100,290,500,180,,,,,
CSUAEX1190316O000,110,50,70,,,120,,,,,,,
CSUAEX1190326O000,210,40,,160,40,50,450,110,,,,,
CSUAEX1190336O000,40,20,30,30,40,110,30,60,,,,,
CSUAEX1190396O000,,,30,,,,,,,,,,
CSUAEX1190506O000,960,720,610,490,620,770,1090,780,,,,,
CSUAEX1190516O000,960,720,610,490,620,770,1090,780,,,,,
CSUAEX1190806O000,,,20,20,,20,30,30,,,,,
CSUAEX1190816O000,,,20,20,,20,30,30,,,,,
CSUAEX1191106O000,480,520,430,490,520,460,900,730,,,,,
CSUAEX1191116O000,480,520,430,490,520,460,900,730,,,,,
CSUAEX1191406O000,70,170,130,130,230,420,80,790,,,,,
CSUAEX1191416O000,70,170,130,130,230,420,80,790,,,,,
CSUAEX1191506O000,50,110,110,390,90,100,130,330,,,,,
CSUAEX1191516O000,50,110,110,390,90,100,130,330,,,,,
CSUAEX1191906O000,1190,520,480,850,410,680,440,420,,,,,
CSUAEX1191996O000,1190,520,480,850,410,680,440,420,,,,,
CSUAEX1300006O000,1150,1270,1540,1470,1390,970,1570,1130,,,,,
CSUAEX1310006O000,830,970,1330,1090,1130,830,940,910,,,,,
CSUAEX1310206O000,140,130,550,180,70,90,70,50,,,,,
CSUAEX1310216O000,,,,,20,,,,,,,,
CSUAEX1310226O000,130,110,530,100,30,30,30,50,,,,,
CSUAEX1310236O000,20,,20,60,,60,20,,,,,,
CSUAEX1310306O000,140,80,90,50,130,120,30,60,,,,,
CSUAEX1310316O000,140,60,90,50,110,90,30,30,,,,,
CSUAEX1310326O000,,,,,20,40,,30,,,,,
CSUAEX1310406O000,30,50,40,50,20,50,100,110,,,,,
CSUAEX1310416O000,30,50,40,50,20,50,100,110,,,,,
CSUAEX1310506O000,,,,,80,,,,,,,,
CSUAEX1310516O000,,,,,80,,,,,,,,
CSUAEX1310706O000,90,80,200,160,200,120,190,190,,,,,
CSUAEX1310716O000,70,80,170,160,160,120,190,190,,,,,
CSUAEX1310746O000,,,20,,,,,,,,,,
CSUAEX1310756O000,20,,,,50,,,,,,,,
CSUAEX1310806O000,70,80,20,,,70,30,40,,,,,
CSUAEX1310816O000,70,80,20,,,70,30,40,,,,,
CSUAEX1311106O000,60,40,30,50,90,40,100,70,,,,,
CSUAEX1311116O000,60,40,30,50,90,40,100,70,,,,,
CSUAEX1311206O000,,20,70,60,70,50,80,50,,,,,
CSUAEX1311216O000,,20,70,60,70,50,80,50,,,,,
CSUAEX1311406O000,20,,20,,,,,,,,,,
CSUAEX1311416O000,20,,20,,,,,,,,,,
CSUAEX1311506O000,110,60,130,90,230,60,70,80,,,,,
CSUAEX1311516O000,110,60,130,90,230,60,70,80,,,,,
CSUAEX1311606O000,70,130,70,280,80,50,170,60,,,,,
CSUAEX1311616O000,70,130,70,280,80,50,170,60,,,,,
CSUAEX1311906O000,70,290,120,150,150,160,100,180,,,,,
CSUAEX1311996O000,70,290,120,150,150,160,100,180,,,,,
CSUAEX1320006O000,330,300,200,380,260,150,630,220,,,,,
CSUAEX1320106O000,130,160,80,70,100,60,520,110,,,,,
CSUAEX1320116O000,130,160,80,70,100,60,520,110,,,,,
CSUAEX1320506O000,130,80,30,130,60,20,30,30,,,,,
CSUAEX1320516O000,40,,,,40,,,,,,,,
CSUAEX1320526O000,80,60,,100,,,20,20,,,,,
CSUAEX1320536O000,20,20,,20,,,,,,,,,
CSUAEX1320706O000,20,20,40,20,20,20,20,,,,,,
CSUAEX1320726O000,,,20,20,,20,,,,,,,
CSUAEX1320806O000,,,20,,50,,,20,,,,,
CSUAEX1320816O000,,,20,,50,,,20,,,,,
CSUAEX1320906O000,30,30,30,130,20,20,50,50,,,,,
CSUAEX1320996O000,30,30,30,130,20,20,50,50,,,,,
CSUAEX1500006O000,370,550,350,300,420,380,300,290,,,,,
CSUAEX1511006O000,340,510,310,290,380,350,250,260,,,,,
CSUAEX1511206O000,30,70,40,30,60,50,,60,,,,,
CSUAEX1511216O000,30,70,40,20,,,,40,,,,,
CSUAEX1511226O000,,,,,50,30,,20,,,,,
CSUAEX1511306O000,90,30,100,50,50,40,40,20,,,,,
CSUAEX1511316O000,20,,,,,,,,,,,,
CSUAEX1511326O000,70,,60,,20,,,,,,,,
CSUAEX1511336O000,,,30,40,20,20,20,,,,,,
CSUAEX1511406O000,30,60,,40,30,40,70,20,,,,,
CSUAEX1511426O000,,40,,40,30,20,70,,,,,,
CSUAEX1511506O000,130,280,120,150,210,140,130,150,,,,,
CSUAEX1511516O000,50,60,60,70,100,40,70,70,,,,,
CSUAEX1511526O000,80,230,60,80,110,100,60,80,,,,,
CSUAEX1511906O000,60,50,30,20,30,80,20,,,,,,
CSUAEX1511996O000,60,50,30,20,30,80,20,,,,,,
CSUAEX1520006O000,30,50,40,,40,30,40,30,,,,,
CSUAEX1520306O000,20,40,20,,,,20,20,,,,,
CSUAEX1520316O000,20,40,20,,,,20,20,,,,,
CSUAEX1520406O000,,,,,20,30,20,,,,,,
CSUAEX1520416O000,,,,,20,30,20,,,,,,
CSUAEX1700006O000,580,790,840,840,880,430,780,580,,,,,
CSUAEX1710006O000,70,170,,400,60,70,,20,,,,,
CSUAEX1710106O000,,70,,,,,,,,,,,
CSUAEX1710126O000,,70,,,,,,,,,,,
CSUAEX1710206O000,70,110,,400,60,70,,20,,,,,
CSUAEX1710226O000,70,110,,380,60,70,,20,,,,,
CSUAEX1720006O000,220,140,440,190,550,160,340,260,,,,,
CSUAEX1720506O000,30,50,20,20,380,,40,,,,,,
CSUAEX1720516O000,30,50,20,20,380,,40,,,,,,
CSUAEX1720606O000,,,,,,30,,,,,,,
CSUAEX1720616O000,,,,,,30,,,,,,,
CSUAEX1720706O000,,,20,20,,,20,,,,,,
CSUAEX1720716O000,,,,,,,20,,,,,,
CSUAEX1720806O000,50,,,,,,,,,,,,
CSUAEX1720816O000,50,,,,,,,,,,,,
CSUAEX1721106O000,40,20,340,40,70,20,70,40,,,,,
CSUAEX1721116O000,20,,330,,,,40,,,,,,
CSUAEX1721126O000,20,,20,30,60,,30,30,,,,,
CSUAEX1721406O000,40,,,,30,20,,,,,,,
CSUAEX1721416O000,40,,,,30,20,,,,,,,
CSUAEX1721906O000,40,20,40,70,30,60,170,210,,,,,
CSUAEX1721996O000,40,20,40,70,30,60,170,210,,,,,
CSUAEX1730006O000,290,480,400,260,270,190,420,290,,,,,
CSUAEX1730106O000,20,,,,140,,20,30,,,,,
CSUAEX1730196O000,20,,,,,,,,,,,,
CSUAEX1730206O000,240,380,370,240,90,170,370,200,,,,,
CSUAEX1730236O000,130,40,160,130,20,50,230,70,,,,,
CSUAEX1730256O000,30,,,,30,70,,40,,,,,
CSUAEX1730266O000,,,,30,,,,,,,,,
CSUAEX1730296O000,60,150,200,70,40,50,100,30,,,,,
CSUAEX1730306O000,20,100,30,,30,,30,60,,,,,
CSUAEX1730316O000,20,100,30,,30,,30,60,,,,,
CSUAEX1900006O000,790,670,530,650,640,630,860,500,,,,,
CSUAEX1910006O000,360,160,50,180,200,230,60,90,,,,,
CSUAEX1910106O000,50,40,,50,80,130,20,30,,,,,
CSUAEX1910116O000,,30,,30,,20,,,,,,,
CSUAEX1910136O000,50,,,20,50,110,,,,,,,
CSUAEX1910206O000,280,40,30,50,30,30,,30,,,,,
CSUAEX1910226O000,20,,,,,,,,,,,,
CSUAEX1910236O000,20,30,20,30,,20,,,,,,,
CSUAEX1910296O000,240,,,,,,,,,,,,
CSUAEX1910306O000,,40,20,20,,30,,20,,,,,
CSUAEX1910316O000,,,,20,,20,,,,,,,
CSUAEX1910326O000,,30,,,,,,,,,,,
CSUAEX1910406O000,20,30,,60,60,40,20,20,,,,,
CSUAEX1910426O000,20,30,,60,50,40,20,20,,,,,
CSUAEX1920006O000,80,140,30,70,30,170,130,70,,,,,
CSUAEX1920306O000,20,100,20,,20,40,30,,,,,,
CSUAEX1920316O000,20,100,20,,20,40,30,,,,,,
CSUAEX1920406O000,50,40,,50,,60,90,40,,,,,
CSUAEX1920416O000,,20,,50,,20,90,40,,,,,
CSUAEX1920426O000,50,,,,,,,,,,,,
CSUAEX1920906O000,,,,,,70,,20,,,,,
CSUAEX1920996O000,,,,,,70,,20,,,,,
CSUAEX1930006O000,40,,60,20,120,80,50,90,,,,,
CSUAEX1930306O000,30,,60,20,100,40,20,90,,,,,
