Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUAJX0XXXXX6O000,1020,1550,280,7670,170,170,80,360,,,,,
CSUAJX1100006O000,390,240,530,240,920,340,180,310,,,,,
CSUAJX1110006O000,130,60,40,,20,80,40,80,,,,,
CSUAJX1110106O000,30,,,,,,,,,,,,
CSUAJX1110116O000,30,,,,,,,,,,,,
CSUAJX1110206O000,110,20,,,20,70,40,80,,,,,
CSUAJX1110216O000,110,20,,,20,70,40,80,,,,,
CSUAJX1120006O000,,,30,,30,,,,,,,,
CSUAJX1120206O000,,,30,,30,,,,,,,,
CSUAJX1120226O000,,,,,30,,,,,,,,
CSUAJX1130006O000,100,20,60,90,120,70,50,50,,,,,
CSUAJX1130106O000,90,20,30,20,20,,20,20,,,,,
CSUAJX1130116O000,90,20,30,20,20,,20,20,,,,,
CSUAJX1130206O000,,,,,20,,,,,,,,
CSUAJX1130216O000,,,,,20,,,,,,,,
CSUAJX1130306O000,,,,,30,,,,,,,,
CSUAJX1130316O000,,,,,30,,,,,,,,
CSUAJX1130706O000,,,,50,,20,,,,,,,
CSUAJX1130716O000,,,,50,,20,,,,,,,
CSUAJX1131206O000,,,,,40,,,,,,,,
CSUAJX1131216O000,,,,,40,,,,,,,,
CSUAJX1131306O000,,,,,,,,20,,,,,
CSUAJX1131316O000,,,,,,,,20,,,,,
CSUAJX1190006O000,150,160,400,140,750,170,80,170,,,,,
CSUAJX1190206O000,,,60,,390,,,,,,,,
CSUAJX1190216O000,,,60,,390,,,,,,,,
CSUAJX1190306O000,,,20,,,,,50,,,,,
CSUAJX1190326O000,,,20,,,,,20,,,,,
CSUAJX1190336O000,,,,,,,,30,,,,,
CSUAJX1191106O000,70,50,50,50,20,50,40,50,,,,,
CSUAJX1191116O000,70,50,50,50,20,50,40,50,,,,,
CSUAJX1191406O000,,,,30,,,,20,,,,,
CSUAJX1191416O000,,,,30,,,,20,,,,,
CSUAJX1191506O000,,20,210,,,,,,,,,,
CSUAJX1191516O000,,20,210,,,,,,,,,,
CSUAJX1191906O000,50,30,60,50,300,60,,20,,,,,
CSUAJX1191996O000,50,30,60,50,300,60,,20,,,,,
CSUAJX1300006O000,150,60,230,250,110,100,110,130,,,,,
CSUAJX1310006O000,130,40,170,50,80,80,90,120,,,,,
CSUAJX1310206O000,,,40,,,,,,,,,,
CSUAJX1310236O000,,,20,,,,,,,,,,
CSUAJX1310306O000,,,,,20,,20,,,,,,
CSUAJX1310316O000,,,,,,,20,,,,,,
CSUAJX1310406O000,20,,50,,,,20,,,,,,
CSUAJX1310416O000,20,,50,,,,20,,,,,,
CSUAJX1310706O000,50,,20,,,20,,,,,,,
CSUAJX1310716O000,50,,20,,,20,,,,,,,
CSUAJX1311106O000,,,,,30,,20,,,,,,
CSUAJX1311116O000,,,,,30,,20,,,,,,
CSUAJX1311206O000,,,,,,,,70,,,,,
CSUAJX1311216O000,,,,,,,,70,,,,,
CSUAJX1311406O000,20,,,,,,,,,,,,
CSUAJX1311416O000,20,,,,,,,,,,,,
CSUAJX1311606O000,,,,,,30,,,,,,,
CSUAJX1311616O000,,,,,,30,,,,,,,
CSUAJX1311906O000,,,40,,,,,,,,,,
CSUAJX1311996O000,,,40,,,,,,,,,,
CSUAJX1320006O000,20,20,50,200,40,20,,,,,,,
CSUAJX1320106O000,20,,,,30,,,,,,,,
