Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUE3X1100006O000,,,20,40,40,,20,40,,,,,
CSUE3X1110006O000,,,20,20,,,,,,,,,
CSUE3X1190006O000,,,,,40,,,20,,,,,
CSUE3X1700006O000,20,,20,,,,,20,,,,,
CSUE3X1730006O000,20,,20,,,,,,,,,,
CSUE3X1730206O000,20,,20,,,,,,,,,,
CSUE3X1730236O000,20,,20,,,,,,,,,,
CSUE3X1900006O000,20,,,30,20,,,20,,,,,
CSUE3X1940006O000,,,,,20,,,20,,,,,
CSUE3X2900006O000,50,,,50,20,60,,20,,,,,
CSUE3X2920006O000,50,,,40,,60,,20,,,,,
CSUE3X2920406O000,30,,,40,,40,,,,,,,
CSUE3X2920416O000,30,,,40,,40,,,,,,,
CSUE3X3100006O000,,,,,20,30,,,,,,,
CSUE3X3110006O000,,,,,20,30,,,,,,,
CSUE3X3110106O000,,,,,20,30,,,,,,,
CSUE3X3110116O000,,,,,20,,,,,,,,
CSUE3X3110146O000,,,,,,30,,,,,,,
CSUE3X3300006O000,420,400,240,510,510,550,1550,350,,,,,
CSUE3X3310006O000,40,30,40,120,120,90,30,50,,,,,
CSUE3X3310206O000,40,30,40,110,110,90,30,40,,,,,
CSUE3X3310216O000,40,30,40,110,110,90,30,40,,,,,
CSUE3X3320006O000,290,330,130,320,330,400,1440,220,,,,,
CSUE3X3320106O000,290,330,120,320,330,400,1440,220,,,,,
CSUE3X3320116O000,290,330,120,320,330,400,1440,220,,,,,
CSUE3X3330006O000,80,50,40,60,50,20,70,70,,,,,
CSUE3X3330106O000,,30,,,,,60,40,,,,,
CSUE3X3330126O000,,30,,,,,60,40,,,,,
CSUE3X3330506O000,80,20,30,20,50,20,,30,,,,,
CSUE3X3330516O000,80,20,30,20,50,20,,30,,,,,
CSUE3X3390006O000,,,30,,,30,,,,,,,
CSUE3X3390306O000,,,,,,20,,,,,,,
CSUE3X3390326O000,,,,,,20,,,,,,,
CSUE3X3390906O000,,,20,,,,,,,,,,
CSUE3X3390996O000,,,20,,,,,,,,,,
CSUE3X3500006O000,50,130,40,80,120,,100,140,,,,,
CSUE3X3510006O000,,20,,20,50,,30,20,,,,,
CSUE3X3510106O000,,20,,20,50,,30,20,,,,,
CSUE3X3510116O000,,,,,40,,,20,,,,,
CSUE3X3510126O000,,,,,,,30,,,,,,
CSUE3X3520006O000,50,100,40,60,70,,40,110,,,,,
CSUE3X3520106O000,30,90,,40,60,,40,100,,,,,
CSUE3X3520126O000,,,,,,,,30,,,,,
CSUE3X3520146O000,,80,,30,50,,40,40,,,,,
CSUE3X3520206O000,20,,30,20,,,,,,,,,
CSUE3X3520216O000,20,,30,20,,,,,,,,,
CSUE3X3530006O000,,,,,,,40,20,,,,,
CSUE3X3530206O000,,,,,,,30,,,,,,
CSUE3X3530216O000,,,,,,,30,,,,,,
CSUE3X3700006O000,20,160,30,70,30,40,110,110,,,,,
CSUE3X3720006O000,,150,20,50,30,30,60,70,,,,,
CSUE3X3720106O000,,150,20,50,30,30,60,70,,,,,
CSUE3X3720116O000,,40,20,50,30,30,,70,,,,,
CSUE3X3720126O000,,120,,,,,,,,,,,
CSUE3X3730006O000,,,,20,,,50,30,,,,,
CSUE3X3730106O000,,,,20,,,50,30,,,,,
CSUE3X3730116O000,,,,20,,,50,30,,,,,
CSUE3X3900006O000,,,20,,20,,60,,,,,,
CSUE3X3990006O000,,,,,,,30,,,,,,
CSUE3X4100006O000,,20,,30,,110,,20,,,,,
CSUE3X4110006O000,,,,,,,,20,,,,,
CSUE3X4110106O000,,,,,,,,20,,,,,
CSUE3X4120006O000,,20,,,,110,,,,,,,
CSUE3X4120306O000,,,,,,110,,,,,,,
CSUE3X4120316O000,,,,,,110,,,,,,,
CSUE3X4300006O000,20,,20,160,,,,30,,,,,
CSUE3X4340006O000,,,,50,,,,,,,,,
CSUE3X4340506O000,,,,40,,,,,,,,,
CSUE3X4340516O000,,,,40,,,,,,,,,
CSUE3X4350006O000,,,,110,,,,,,,,,
CSUE3X4350806O000,,,,110,,,,,,,,,
CSUE3X4350816O000,,,,110,,,,,,,,,
CSUE3X4500006O000,,,,,,,,20,,,,,
CSUE3X4700006O000,230,150,120,180,170,70,90,200,,,,,
CSUE3X4710006O000,30,40,,,60,,20,,,,,,
CSUE3X4710106O000,30,40,,,60,,20,,,,,,
CSUE3X4710116O000,30,40,,,60,,20,,,,,,
CSUE3X4720006O000,160,80,100,140,80,30,50,190,,,,,
CSUE3X4720606O000,80,20,40,50,30,20,20,90,,,,,
CSUE3X4720616O000,80,20,40,50,30,20,20,90,,,,,
CSUE3X4720706O000,,20,20,30,,,,,,,,,
CSUE3X4720736O000,,20,20,30,,,,,,,,,
CSUE3X4721106O000,,20,,,,,,,,,,,
CSUE3X4721116O000,,20,,,,,,,,,,,
CSUE3X4721506O000,20,20,,20,,,,90,,,,,
CSUE3X4721526O000,,20,,20,,,,90,,,,,
CSUE3X4721806O000,,,,30,,,,,,,,,
CSUE3X4721816O000,,,,30,,,,,,,,,
CSUE3X4750006O000,30,20,,30,,,20,,,,,,
CSUE3X4750106O000,20,,,20,,,,,,,,,
CSUE3X4750136O000,,,,20,,,,,,,,,
CSUE3X4750706O000,,20,,,,,,,,,,,
CSUE3X4750716O000,,20,,,,,,,,,,,
CSUE3X4900006O000,540,780,700,470,320,540,270,540,,,,,
CSUE3X4910006O000,,,,,,,40,40,,,,,
CSUE3X4910106O000,,,,,,,40,40,,,,,
CSUE3X4910116O000,,,,,,,40,40,,,,,
CSUE3X4930006O000,160,290,140,300,160,120,130,250,,,,,
CSUE3X4930206O000,70,210,50,40,90,20,,100,,,,,
CSUE3X4930236O000,60,210,50,40,90,20,,100,,,,,
CSUE3X4930306O000,20,30,,90,20,30,60,30,,,,,
CSUE3X4930316O000,20,30,,90,20,30,60,30,,,,,
CSUE3X4930406O000,,,20,70,20,,,40,,,,,
CSUE3X4930416O000,,,,50,,,,,,,,,
CSUE3X4930426O000,,,,20,,,,40,,,,,
CSUE3X4930906O000,60,30,50,100,40,60,50,70,,,,,
CSUE3X4930936O000,60,30,50,100,40,60,50,50,,,,,
CSUE3X4990006O000,370,490,550,160,140,400,90,250,,,,,
CSUE3X4990106O000,,,,,40,,,,,,,,
CSUE3X4990126O000,,,,,40,,,,,,,,
CSUE3X4990206O000,130,110,60,,,170,,30,,,,,
CSUE3X4990216O000,130,110,60,,,170,,30,,,,,
CSUE3X4990406O000,20,40,30,20,,,,20,,,,,
CSUE3X4990416O000,,30,,,,,,,,,,,
CSUE3X4990436O000,,,20,,,,,,,,,,
CSUE3X4990506O000,,20,,,,,,,,,,,
CSUE3X4990516O000,,20,,,,,,,,,,,
CSUE3X4990606O000,,,,20,,,,,,,,,
CSUE3X4990706O000,200,90,400,100,,170,80,130,,,,,
CSUE3X4990716O000,200,90,400,100,,170,80,130,,,,,
CSUE3X4990906O000,20,230,50,,70,50,,,,,,,
CSUE3X4990996O000,20,,40,,50,50,,,,,,,
CSUE3X5100006O000,220,210,340,140,230,330,180,360,,,,,
CSUE3X5110006O000,30,,,,,20,,30,,,,,
CSUE3X5110106O000,30,,,,,20,,30,,,,,
CSUE3X5110116O000,30,,,,,20,,30,,,,,
CSUE3X5120006O000,,40,,20,20,120,,20,,,,,
CSUE3X5120906O000,,40,,,,120,,20,,,,,
CSUE3X5120996O000,,20,,,,110,,,,,,,
CSUE3X5140006O000,100,90,120,50,80,70,80,170,,,,,
CSUE3X5141206O000,50,40,70,20,50,30,50,140,,,,,
CSUE3X5141216O000,30,30,30,20,40,30,40,120,,,,,
CSUE3X5141226O000,20,,40,,,,,20,,,,,
CSUE3X5141906O000,30,,30,,,,,,,,,,
CSUE3X5141916O000,,,20,,,,,,,,,,
CSUE3X5141996O000,30,,,,,,,,,,,,
CSUE3X5170006O000,,,,,20,,,,,,,,
CSUE3X5180006O000,,,,,20,40,,,,,,,
CSUE3X5180306O000,,,,,,40,,,,,,,
CSUE3X5180316O000,,,,,,40,,,,,,,
CSUE3X5190006O000,60,60,210,50,60,80,70,130,,,,,
CSUE3X5191206O000,,,,20,,,,,,,,,
CSUE3X5191236O000,,,,20,,,,,,,,,
CSUE3X5191906O000,50,40,170,20,40,50,60,100,,,,,
CSUE3X5191996O000,50,40,170,20,40,40,50,100,,,,,
CSUE3X5300006O000,550,420,160,170,300,330,710,250,,,,,
CSUE3X5310006O000,,,,,,,310,,,,,,
CSUE3X5310206O000,,,,,,,300,,,,,,
CSUE3X5310216O000,,,,,,,300,,,,,,
CSUE3X5330006O000,190,370,130,80,120,180,130,80,,,,,
CSUE3X5330306O000,190,370,130,80,110,170,120,70,,,,,
CSUE3X5330326O000,170,310,30,50,110,140,110,60,,,,,
CSUE3X5330336O000,,,90,,,20,,,,,,,
CSUE3X5370006O000,350,50,30,90,180,140,270,40,,,,,
CSUE3X5370506O000,,,,,30,,,,,,,,
CSUE3X5370516O000,,,,,30,,,,,,,,
CSUE3X5370606O000,350,30,30,40,110,130,270,20,,,,,
CSUE3X5370626O000,340,30,30,30,100,130,270,20,,,,,
CSUE3X5370806O000,,,,30,30,,,,,,,,
CSUE3X5370816O000,,,,30,30,,,,,,,,
CSUE3XO10XXX6O000,,,20,40,40,,20,50,,,,,
CSUE3XO23XXX6O000,40,20,40,40,20,,,40,,,,,
CSUE3XO25XXX6O000,,,,,,20,,,,,,,
CSUE3XO27XXX6O000,50,,,50,20,60,,20,,,,,
CSUE3XO30XXX6O000,510,710,350,660,700,630,1830,600,,,,,
CSUE3XO41XXX6O000,,20,,30,,110,,20,,,,,
CSUE3XO43XXX6O000,20,,20,160,,,,30,,,,,
