Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUE4X0XXXXX6O000,750,540,650,440,270,260,190,220,,,,,
CSUE4X1100006O000,9620,10510,9710,11400,10640,9300,8820,10840,,,,,
CSUE4X1110006O000,1160,2190,1480,1510,1290,1310,1250,1150,,,,,
CSUE4X1110106O000,290,510,350,220,80,480,240,320,,,,,
CSUE4X1110116O000,290,510,350,220,80,480,240,320,,,,,
CSUE4X1110206O000,860,1680,1130,1290,1210,800,1020,840,,,,,
CSUE4X1110216O000,860,1680,1130,1290,1210,800,1020,840,,,,,
CSUE4X1110306O000,,,,,,30,,,,,,,
CSUE4X1110316O000,,,,,,30,,,,,,,
CSUE4X1120006O000,360,340,430,520,420,760,280,550,,,,,
CSUE4X1120106O000,20,30,30,60,20,,,20,,,,,
CSUE4X1120116O000,20,30,30,60,20,,,20,,,,,
CSUE4X1120206O000,330,290,380,350,380,720,240,510,,,,,
CSUE4X1120216O000,120,80,50,120,150,50,60,50,,,,,
CSUE4X1120226O000,210,210,330,230,220,670,180,470,,,,,
CSUE4X1120306O000,20,30,30,110,30,40,40,,,,,,
CSUE4X1120316O000,20,30,30,110,30,40,40,,,,,,
CSUE4X1130006O000,1950,2150,2440,2040,2120,1520,2270,1590,,,,,
CSUE4X1130106O000,940,880,980,650,550,270,430,450,,,,,
CSUE4X1130116O000,940,880,980,650,550,270,430,450,,,,,
CSUE4X1130206O000,100,50,100,80,210,110,80,110,,,,,
CSUE4X1130216O000,100,50,100,80,210,110,80,110,,,,,
CSUE4X1130306O000,440,620,700,560,620,610,1460,410,,,,,
CSUE4X1130316O000,440,620,700,560,620,610,1460,410,,,,,
CSUE4X1130506O000,50,250,150,100,190,150,80,120,,,,,
CSUE4X1130516O000,50,250,150,100,190,150,80,120,,,,,
CSUE4X1130606O000,90,50,50,20,60,40,,90,,,,,
CSUE4X1130616O000,90,50,50,20,60,40,,90,,,,,
CSUE4X1130706O000,80,110,170,420,160,150,70,160,,,,,
CSUE4X1130716O000,80,110,170,420,160,150,70,160,,,,,
CSUE4X1131106O000,20,,,,20,30,,50,,,,,
CSUE4X1131116O000,20,,,,20,30,,50,,,,,
CSUE4X1131206O000,200,150,210,100,280,160,120,140,,,,,
CSUE4X1131216O000,200,150,210,100,280,160,120,140,,,,,
CSUE4X1131306O000,40,30,70,90,40,,,50,,,,,
CSUE4X1131316O000,40,30,70,90,40,,,50,,,,,
CSUE4X1190006O000,6140,5840,5360,7330,6810,5710,5020,7550,,,,,
CSUE4X1190106O000,30,,30,70,110,40,30,130,,,,,
CSUE4X1190136O000,30,,30,70,110,40,30,130,,,,,
CSUE4X1190206O000,530,530,440,400,750,360,290,1060,,,,,
CSUE4X1190216O000,530,530,440,400,750,360,290,1060,,,,,
CSUE4X1190306O000,770,680,930,1420,790,590,1190,920,,,,,
CSUE4X1190316O000,70,70,90,40,40,100,,130,,,,,
CSUE4X1190326O000,290,420,580,1080,480,240,900,470,,,,,
CSUE4X1190336O000,360,160,220,280,250,240,260,310,,,,,
CSUE4X1190396O000,50,20,30,,20,,,20,,,,,
CSUE4X1190406O000,,,20,,,20,20,20,,,,,
CSUE4X1190416O000,,,20,,,20,20,20,,,,,
CSUE4X1190506O000,1070,1110,560,1570,700,1140,910,1320,,,,,
CSUE4X1190516O000,1070,1110,560,1570,700,1140,910,1320,,,,,
CSUE4X1190606O000,,130,,,,,,,,,,,
CSUE4X1190616O000,,130,,,,,,,,,,,
CSUE4X1190706O000,,,,,20,,,,,,,,
CSUE4X1190716O000,,,,,20,,,,,,,,
CSUE4X1190806O000,30,,50,20,30,,,30,,,,,
CSUE4X1190816O000,30,,50,20,30,,,30,,,,,
CSUE4X1191106O000,1200,1240,1270,1380,1530,1190,1470,1480,,,,,
CSUE4X1191116O000,1200,1240,1270,1380,1530,1190,1470,1480,,,,,
CSUE4X1191206O000,20,,,,,,,,,,,,
CSUE4X1191216O000,20,,,,,,,,,,,,
CSUE4X1191406O000,530,170,720,290,1350,240,150,1530,,,,,
CSUE4X1191416O000,530,170,720,290,1350,240,150,1530,,,,,
CSUE4X1191506O000,140,140,190,320,290,540,180,260,,,,,
CSUE4X1191516O000,140,140,190,320,290,540,180,260,,,,,
CSUE4X1191606O000,30,,,20,20,,30,,,,,,
CSUE4X1191616O000,30,,,20,20,,30,,,,,,
CSUE4X1191906O000,1770,1800,1140,1840,1210,1570,710,760,,,,,
CSUE4X1191996O000,1770,1800,1140,1840,1210,1570,710,760,,,,,
CSUE4X1300006O000,3980,2940,4080,4140,3220,3000,2870,3740,,,,,
CSUE4X1310006O000,2730,2000,2830,2540,2380,2300,1850,2740,,,,,
CSUE4X1310206O000,170,180,580,210,130,130,110,220,,,,,
CSUE4X1310226O000,70,60,500,70,40,20,60,30,,,,,
CSUE4X1310236O000,100,110,70,140,90,90,50,120,,,,,
CSUE4X1310306O000,340,220,320,590,370,320,240,220,,,,,
CSUE4X1310316O000,330,190,310,560,310,260,210,190,,,,,
CSUE4X1310326O000,,30,,30,60,60,20,30,,,,,
CSUE4X1310406O000,840,170,180,170,170,220,140,200,,,,,
CSUE4X1310416O000,840,170,180,170,170,220,140,200,,,,,
CSUE4X1310506O000,20,30,90,210,160,50,,360,,,,,
CSUE4X1310516O000,20,30,90,210,160,50,,360,,,,,
CSUE4X1310706O000,340,340,520,320,460,390,280,410,,,,,
CSUE4X1310716O000,320,330,490,320,430,380,270,380,,,,,
CSUE4X1310756O000,20,20,,,20,,,40,,,,,
CSUE4X1310806O000,70,60,,70,20,60,50,60,,,,,
CSUE4X1310816O000,70,60,,70,20,60,50,60,,,,,
CSUE4X1311106O000,230,150,130,130,220,140,190,240,,,,,
CSUE4X1311116O000,230,150,130,130,220,140,190,240,,,,,
CSUE4X1311206O000,30,40,110,150,130,120,120,210,,,,,
CSUE4X1311216O000,30,40,110,150,130,120,120,210,,,,,
CSUE4X1311306O000,,20,,,,,,30,,,,,
CSUE4X1311316O000,,20,,,,,,30,,,,,
CSUE4X1311406O000,60,40,30,50,50,60,60,60,,,,,
CSUE4X1311416O000,60,40,30,50,50,60,60,60,,,,,
CSUE4X1311506O000,160,150,420,180,240,310,230,160,,,,,
CSUE4X1311516O000,160,150,420,180,240,310,230,160,,,,,
CSUE4X1311606O000,90,130,100,80,140,150,120,120,,,,,
CSUE4X1311616O000,90,130,100,80,140,150,120,120,,,,,
CSUE4X1311906O000,370,470,330,370,300,350,300,430,,,,,
CSUE4X1311996O000,370,470,330,370,300,350,300,430,,,,,
CSUE4X1320006O000,1250,940,1250,1600,840,690,1020,1000,,,,,
CSUE4X1320106O000,700,300,390,480,280,300,270,260,,,,,
CSUE4X1320116O000,700,300,390,480,280,300,270,260,,,,,
CSUE4X1320206O000,,30,30,40,30,30,20,30,,,,,
CSUE4X1320216O000,,30,30,40,30,30,20,30,,,,,
CSUE4X1320306O000,,,,20,,,,20,,,,,
CSUE4X1320316O000,,,,20,,,,20,,,,,
CSUE4X1320406O000,20,40,30,20,80,,,30,,,,,
CSUE4X1320416O000,20,40,30,20,80,,,30,,,,,
CSUE4X1320506O000,190,210,450,660,130,100,380,320,,,,,
CSUE4X1320516O000,90,60,60,50,50,30,30,170,,,,,
CSUE4X1320526O000,80,50,360,530,20,30,290,110,,,,,
CSUE4X1320536O000,20,90,40,80,60,40,50,40,,,,,
CSUE4X1320606O000,20,,30,20,,30,,,,,,,
CSUE4X1320616O000,20,,30,20,,30,,,,,,,
CSUE4X1320706O000,150,110,110,80,110,80,90,160,,,,,
