Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUE6X0XXXXX6O000,400,740,360,510,400,220,50,110,,,,,
CSUE6X1100006O000,4910,3510,4850,3070,3890,3730,4020,4180,,,,,
CSUE6X1110006O000,940,890,1320,320,820,940,660,580,,,,,
CSUE6X1110106O000,50,130,160,,70,60,50,70,,,,,
CSUE6X1110116O000,50,130,160,,70,60,50,70,,,,,
CSUE6X1110206O000,880,760,1160,300,750,880,610,510,,,,,
CSUE6X1110216O000,880,760,1160,300,750,880,610,510,,,,,
CSUE6X1120006O000,150,300,310,180,90,80,100,130,,,,,
CSUE6X1120106O000,60,50,,,,,,,,,,,
CSUE6X1120116O000,60,50,,,,,,,,,,,
CSUE6X1120206O000,80,230,200,170,80,80,100,120,,,,,
CSUE6X1120216O000,20,,60,110,30,40,50,30,,,,,
CSUE6X1120226O000,70,220,140,60,50,40,60,90,,,,,
CSUE6X1120306O000,,,110,,,,,,,,,,
CSUE6X1120316O000,,,110,,,,,,,,,,
CSUE6X1130006O000,840,460,540,470,420,760,630,890,,,,,
CSUE6X1130106O000,230,140,170,180,160,330,190,350,,,,,
CSUE6X1130116O000,230,140,170,180,160,330,190,350,,,,,
CSUE6X1130206O000,,,30,20,30,40,20,30,,,,,
CSUE6X1130216O000,,,30,20,30,40,20,30,,,,,
CSUE6X1130306O000,,90,70,20,40,50,60,110,,,,,
CSUE6X1130316O000,,90,70,20,40,50,60,110,,,,,
CSUE6X1130506O000,40,60,110,80,40,140,30,120,,,,,
CSUE6X1130516O000,40,60,110,80,40,140,30,120,,,,,
CSUE6X1130606O000,80,20,,30,30,,,50,,,,,
CSUE6X1130616O000,80,20,,30,30,,,50,,,,,
CSUE6X1130706O000,430,130,110,110,100,170,310,140,,,,,
CSUE6X1130716O000,430,130,110,110,100,170,310,140,,,,,
CSUE6X1131206O000,,20,20,20,20,,,40,,,,,
CSUE6X1131216O000,,20,20,20,20,,,40,,,,,
CSUE6X1131306O000,20,,30,,,,,60,,,,,
CSUE6X1131316O000,20,,30,,,,,60,,,,,
CSUE6X1190006O000,2980,1860,2690,2100,2570,1940,2620,2590,,,,,
CSUE6X1190106O000,130,70,40,20,60,20,40,30,,,,,
CSUE6X1190136O000,130,70,40,20,60,20,40,30,,,,,
CSUE6X1190206O000,120,220,410,340,550,340,250,460,,,,,
CSUE6X1190216O000,120,220,410,340,550,340,250,460,,,,,
CSUE6X1190306O000,260,70,330,120,80,240,210,160,,,,,
CSUE6X1190316O000,20,,,,30,120,,90,,,,,
CSUE6X1190326O000,210,40,60,60,30,100,140,30,,,,,
CSUE6X1190336O000,20,30,30,30,20,20,50,40,,,,,
