Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUEXX0XXXXX6O000,850,2200,1110,7600,130,1000,70,390,,,,,
CSUEXX1100006O000,270,220,450,30,40,60,90,160,,,,,
CSUEXX1110006O000,30,40,240,,,,,80,,,,,
CSUEXX1110106O000,,40,230,,,,,,,,,,
CSUEXX1110116O000,,40,230,,,,,,,,,,
CSUEXX1110206O000,30,,,,,,,80,,,,,
CSUEXX1110216O000,30,,,,,,,80,,,,,
CSUEXX1120006O000,170,,,,,,,,,,,,
CSUEXX1120206O000,170,,,,,,,,,,,,
CSUEXX1130006O000,20,,,,20,30,30,50,,,,,
CSUEXX1130106O000,,,,,,,,20,,,,,
CSUEXX1130116O000,,,,,,,,20,,,,,
CSUEXX1130306O000,,,,,,30,30,20,,,,,
CSUEXX1130316O000,,,,,,30,30,20,,,,,
CSUEXX1190006O000,40,160,200,20,,30,60,30,,,,,
CSUEXX1190306O000,,,20,,,,50,,,,,,
CSUEXX1190326O000,,,20,,,,,,,,,,
CSUEXX1190506O000,,,140,,,,,,,,,,
CSUEXX1190516O000,,,140,,,,,,,,,,
CSUEXX1191106O000,20,20,,,,,,20,,,,,
CSUEXX1191116O000,20,20,,,,,,20,,,,,
CSUEXX1191406O000,,20,,,,,,,,,,,
CSUEXX1191416O000,,20,,,,,,,,,,,
CSUEXX1191906O000,,110,20,,,,,,,,,,
CSUEXX1191996O000,,110,20,,,,,,,,,,
CSUEXX1300006O000,30,140,100,30,60,30,60,40,,,,,
CSUEXX1310006O000,20,60,80,20,50,,60,40,,,,,
CSUEXX1310706O000,,,,,20,,,,,,,,
CSUEXX1310756O000,,,,,20,,,,,,,,
CSUEXX1311106O000,,,,,20,,,,,,,,
CSUEXX1311116O000,,,,,20,,,,,,,,
CSUEXX1311906O000,,,30,,,,,,,,,,
CSUEXX1311996O000,,,30,,,,,,,,,,
CSUEXX1320006O000,,70,,,,20,,,,,,,
CSUEXX1320906O000,,70,,,,,,,,,,,
CSUEXX1320996O000,,70,,,,,,,,,,,
CSUEXX1500006O000,,,30,20,,,,,,,,,
CSUEXX1511006O000,,,30,20,,,,,,,,,
CSUEXX1700006O000,20,90,,,,30,30,,,,,,
CSUEXX1720006O000,,,,,,,20,,,,,,
CSUEXX1730006O000,,80,,,,20,,,,,,,
CSUEXX1730206O000,,80,,,,20,,,,,,,
CSUEXX1730236O000,,80,,,,,,,,,,,
CSUEXX1730296O000,,,,,,20,,,,,,,
CSUEXX1900006O000,20,,,,,,,,,,,,
CSUEXX1940006O000,20,,,,,,,,,,,,
CSUEXX2100006O000,90,70,80,40,30,60,30,70,,,,,
CSUEXX2110006O000,90,70,80,40,20,60,30,70,,,,,
CSUEXX2110106O000,40,,20,,,20,,30,,,,,
CSUEXX2110156O000,20,,,,,,,,,,,,
CSUEXX2110206O000,30,20,20,,,20,20,,,,,,
CSUEXX2110216O000,20,,,,,,,,,,,,
CSUEXX2110296O000,,,20,,,,,,,,,,
CSUEXX2110906O000,20,50,40,,,20,,40,,,,,
CSUEXX2110926O000,,,,,,,,30,,,,,
CSUEXX2110936O000,20,,30,,,20,,,,,,,
CSUEXX2110996O000,,30,,,,,,,,,,,
CSUEXX2500006O000,300,80,230,210,310,230,60,70,,,,,
CSUEXX2510006O000,,,,30,,,,,,,,,
CSUEXX2511906O000,,,,30,,,,,,,,,
CSUEXX2511946O000,,,,30,,,,,,,,,
CSUEXX2520006O000,170,40,90,110,140,180,,50,,,,,
CSUEXX2520106O000,,30,20,,,,,,,,,,
CSUEXX2520116O000,,30,20,,,,,,,,,,
CSUEXX2520206O000,80,,50,40,140,,,40,,,,,
CSUEXX2520216O000,70,,50,40,140,,,40,,,,,
CSUEXX2520306O000,90,,,,,,,,,,,,
CSUEXX2520316O000,90,,,,,,,,,,,,
CSUEXX2520506O000,,,,70,,,,,,,,,
CSUEXX2520596O000,,,,70,,,,,,,,,
CSUEXX2530006O000,70,,80,40,,40,40,,,,,,
CSUEXX2530906O000,70,,80,40,,40,40,,,,,,
CSUEXX2530996O000,70,,80,40,,40,40,,,,,,
CSUEXX2590006O000,40,20,50,30,160,,,20,,,,,
CSUEXX2590406O000,40,20,40,30,160,,,,,,,,
CSUEXX2590416O000,40,20,40,30,160,,,,,,,,
CSUEXX2700006O000,80,80,70,60,30,650,50,20,,,,,
CSUEXX2710006O000,,,,,20,,,,,,,,
CSUEXX2710206O000,,,,,20,,,,,,,,
CSUEXX2720006O000,70,40,40,50,,610,50,20,,,,,
CSUEXX2720206O000,70,30,30,50,,600,50,20,,,,,
CSUEXX2720216O000,,30,,50,,600,30,,,,,,
CSUEXX2740006O000,,,20,,,30,,,,,,,
CSUEXX2900006O000,300,690,190,330,120,100,120,320,,,,,
CSUEXX2910006O000,120,150,80,130,30,60,60,80,,,,,
CSUEXX2911116O000,100,,,,,,,,,,,,
CSUEXX2911206O000,,30,,,,,,40,,,,,
CSUEXX2911236O000,,20,,,,,,40,,,,,
CSUEXX2911406O000,100,120,70,130,20,50,40,40,,,,,
CSUEXX2911416O000,100,120,70,130,20,50,40,40,,,,,
CSUEXX2920006O000,170,540,100,190,90,40,60,170,,,,,
CSUEXX2920306O000,30,,,,,,,,,,,,
CSUEXX2920346O000,20,,,,,,,,,,,,
CSUEXX2920406O000,40,30,,130,,,20,20,,,,,
CSUEXX2920416O000,40,30,,130,,,20,20,,,,,
CSUEXX2920506O000,60,460,30,20,50,,,120,,,,,
CSUEXX2920516O000,,20,,,40,,,,,,,,
CSUEXX2920526O000,,80,,,,,,,,,,,
CSUEXX2920536O000,30,140,,,,,,50,,,,,
CSUEXX2920556O000,20,,,,,,,,,,,,
CSUEXX2920566O000,,210,,,,,,,,,,,
CSUEXX2920606O000,,40,20,20,20,,30,20,,,,,
CSUEXX2920616O000,,40,20,20,20,,30,20,,,,,
CSUEXX2920906O000,20,,,,,,,,,,,,
