Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUGMX0XXXXX6O000,1020,2340,2190,1160,710,1150,150,260,,,,,
CSUGMX1100006O000,11720,10300,12210,11370,14290,9080,10050,11510,,,,,
CSUGMX1110006O000,2130,2460,3060,1800,2470,1560,2320,2200,,,,,
CSUGMX1110106O000,350,740,630,190,180,330,800,750,,,,,
CSUGMX1110116O000,350,740,630,190,180,330,800,750,,,,,
CSUGMX1110206O000,1780,1720,2430,1610,2280,1230,1520,1450,,,,,
CSUGMX1110216O000,1780,1720,2430,1610,2280,1230,1520,1450,,,,,
CSUGMX1120006O000,520,760,800,650,440,510,420,710,,,,,
CSUGMX1120106O000,80,50,20,60,50,20,20,20,,,,,
CSUGMX1120116O000,80,50,20,60,50,20,20,20,,,,,
CSUGMX1120206O000,440,700,750,580,380,480,390,680,,,,,
CSUGMX1120216O000,20,50,30,190,120,30,60,70,,,,,
CSUGMX1120226O000,410,640,720,400,260,450,330,610,,,,,
CSUGMX1120306O000,,,20,,,20,,,,,,,
CSUGMX1120316O000,,,20,,,20,,,,,,,
CSUGMX1130006O000,2360,1560,2020,2110,2290,1640,2270,2470,,,,,
CSUGMX1130106O000,480,340,280,450,330,290,370,620,,,,,
CSUGMX1130116O000,480,340,280,450,330,290,370,620,,,,,
CSUGMX1130206O000,140,110,160,140,210,90,120,150,,,,,
CSUGMX1130216O000,140,110,160,140,210,90,120,150,,,,,
CSUGMX1130306O000,760,180,380,220,220,110,770,190,,,,,
CSUGMX1130316O000,760,180,380,220,220,110,770,190,,,,,
CSUGMX1130506O000,160,440,250,320,420,430,240,450,,,,,
CSUGMX1130516O000,160,440,250,320,420,430,240,450,,,,,
CSUGMX1130606O000,120,50,90,30,110,20,40,120,,,,,
CSUGMX1130616O000,120,50,90,30,110,20,40,120,,,,,
CSUGMX1130706O000,650,400,470,800,920,660,700,860,,,,,
CSUGMX1130716O000,650,400,470,800,920,660,700,860,,,,,
CSUGMX1131206O000,20,20,350,40,,30,,60,,,,,
CSUGMX1131216O000,20,20,350,40,,30,,60,,,,,
