Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSULCX0XXXXX6O000,390,1210,1130,760,410,540,190,270,,,,,
CSULCX1100006O000,7850,8180,7680,7190,8300,8430,7470,8540,,,,,
CSULCX1110006O000,760,1730,1540,1180,1210,1740,1370,930,,,,,
CSULCX1110106O000,150,90,90,70,20,80,430,110,,,,,
CSULCX1110116O000,150,90,90,70,20,80,430,110,,,,,
CSULCX1110206O000,610,1640,1450,1100,1190,1660,940,830,,,,,
CSULCX1110216O000,610,1640,1450,1100,1190,1660,940,830,,,,,
CSULCX1120006O000,210,350,660,480,290,670,240,460,,,,,
CSULCX1120106O000,20,20,20,40,40,,,20,,,,,
CSULCX1120116O000,20,20,20,40,40,,,20,,,,,
CSULCX1120206O000,170,320,620,350,240,630,170,430,,,,,
CSULCX1120216O000,80,60,120,60,60,60,60,60,,,,,
CSULCX1120226O000,90,260,500,290,180,570,110,370,,,,,
CSULCX1120306O000,,,20,100,20,40,50,,,,,,
CSULCX1120316O000,,,20,100,20,40,50,,,,,,
CSULCX1130006O000,1590,1050,1270,960,1100,1150,1230,1470,,,,,
CSULCX1130106O000,560,580,370,260,320,190,230,550,,,,,
CSULCX1130116O000,560,580,370,260,320,190,230,550,,,,,
CSULCX1130206O000,50,30,60,40,100,50,40,80,,,,,
CSULCX1130216O000,50,30,60,40,100,50,40,80,,,,,
CSULCX1130306O000,240,180,160,190,210,130,500,340,,,,,
CSULCX1130316O000,240,180,160,190,210,130,500,340,,,,,
CSULCX1130506O000,70,70,90,120,60,60,110,140,,,,,
CSULCX1130516O000,70,70,90,120,60,60,110,140,,,,,
CSULCX1130606O000,90,30,20,,90,20,,70,,,,,
CSULCX1130616O000,90,30,20,,90,20,,70,,,,,
CSULCX1130706O000,440,90,110,60,230,600,260,190,,,,,
CSULCX1130716O000,440,90,110,60,230,600,260,190,,,,,
CSULCX1131106O000,,,,,,40,,,,,,,
CSULCX1131116O000,,,,,,40,,,,,,,
CSULCX1131206O000,100,40,420,220,60,40,70,60,,,,,
CSULCX1131216O000,100,40,420,220,60,40,70,60,,,,,
CSULCX1131306O000,30,20,30,50,40,20,,40,,,,,
CSULCX1131316O000,30,20,30,50,40,20,,40,,,,,
CSULCX1190006O000,5290,5050,4210,4580,5700,4860,4630,5680,,,,,
CSULCX1190106O000,70,40,60,,100,20,30,140,,,,,
CSULCX1190136O000,70,40,60,,100,20,30,140,,,,,
CSULCX1190206O000,240,200,290,290,920,510,320,590,,,,,
CSULCX1190216O000,240,200,290,290,920,510,320,590,,,,,
CSULCX1190306O000,410,470,390,410,460,620,430,620,,,,,
CSULCX1190316O000,110,50,50,,90,190,30,,,,,,
CSULCX1190326O000,70,320,220,300,300,240,260,490,,,,,
CSULCX1190336O000,190,90,100,100,50,190,130,110,,,,,
CSULCX1190396O000,30,,30,,20,,,20,,,,,
CSULCX1190406O000,30,60,,,,,,,,,,,
CSULCX1190416O000,30,60,,,,,,,,,,,
CSULCX1190506O000,1050,1010,800,1040,790,1000,1140,1220,,,,,
CSULCX1190516O000,1050,1010,800,1040,790,1000,1140,1220,,,,,
CSULCX1190806O000,,180,20,230,40,30,,30,,,,,
CSULCX1190816O000,,180,20,230,40,30,,30,,,,,
CSULCX1191106O000,1050,1060,1010,920,1020,1020,1400,1280,,,,,
CSULCX1191116O000,1050,1060,1010,920,1020,1020,1400,1280,,,,,
CSULCX1191406O000,250,320,530,250,1100,140,230,800,,,,,
CSULCX1191416O000,250,320,530,250,1100,140,230,800,,,,,
CSULCX1191506O000,110,170,170,310,190,340,170,470,,,,,
CSULCX1191516O000,110,170,170,310,190,340,170,470,,,,,
CSULCX1191606O000,,30,,20,,,,,,,,,
CSULCX1191616O000,,30,,20,,,,,,,,,
CSULCX1191906O000,2070,1510,920,1080,1070,1160,880,450,,,,,
CSULCX1191996O000,2070,1510,920,1080,1070,1160,880,450,,,,,
CSULCX1300006O000,2150,2640,2800,2290,2570,2090,2690,2480,,,,,
CSULCX1310006O000,1590,2020,1960,1770,2070,1790,1550,1960,,,,,
CSULCX1310206O000,250,500,150,210,190,160,120,60,,,,,
CSULCX1310216O000,,,20,,,,,,,,,,
CSULCX1310226O000,180,430,80,120,120,110,60,40,,,,,
CSULCX1310236O000,70,60,60,80,60,40,50,20,,,,,
CSULCX1310306O000,180,150,180,160,170,330,100,130,,,,,
CSULCX1310316O000,170,120,170,120,150,290,80,90,,,,,
CSULCX1310326O000,,30,,40,20,40,20,40,,,,,
CSULCX1310406O000,120,160,80,190,110,70,130,180,,,,,
CSULCX1310416O000,120,160,80,190,110,70,130,180,,,,,
CSULCX1310506O000,20,90,90,60,120,,,20,,,,,
CSULCX1310516O000,20,90,90,60,120,,,20,,,,,
CSULCX1310706O000,210,240,280,300,280,420,270,310,,,,,
CSULCX1310716O000,190,220,250,290,240,420,260,280,,,,,
CSULCX1310756O000,20,20,,,40,,,20,,,,,
CSULCX1310806O000,110,110,20,20,,30,50,170,,,,,
CSULCX1310816O000,110,110,20,20,,30,50,170,,,,,
CSULCX1311106O000,160,100,80,120,180,160,180,160,,,,,
CSULCX1311116O000,160,100,80,120,180,160,180,160,,,,,
CSULCX1311206O000,30,50,100,90,170,70,110,150,,,,,
