Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSULDX0XXXXX6O000,960,1090,1180,880,530,920,90,130,,,,,
CSULDX1100006O000,14160,14290,14330,13890,14780,11630,11620,13060,,,,,
CSULDX1110006O000,2370,3290,2410,1840,2070,2050,1920,2310,,,,,
CSULDX1110106O000,400,730,700,190,140,660,320,940,,,,,
CSULDX1110116O000,400,730,700,190,140,660,320,940,,,,,
CSULDX1110206O000,1960,2560,1710,1650,1930,1360,1590,1370,,,,,
CSULDX1110216O000,1960,2560,1710,1650,1930,1360,1590,1370,,,,,
CSULDX1110306O000,,,,,,30,,,,,,,
CSULDX1110316O000,,,,,,30,,,,,,,
CSULDX1120006O000,690,750,910,590,720,460,410,720,,,,,
CSULDX1120106O000,70,70,20,70,,20,30,20,,,,,
CSULDX1120116O000,70,70,20,70,,20,30,20,,,,,
CSULDX1120206O000,610,580,780,500,680,430,360,690,,,,,
CSULDX1120216O000,140,100,50,120,160,60,110,190,,,,,
CSULDX1120226O000,470,480,740,380,520,370,240,500,,,,,
CSULDX1120306O000,,100,110,30,20,,20,,,,,,
CSULDX1120316O000,,100,110,30,20,,20,,,,,,
CSULDX1130006O000,2810,2580,2930,2940,2950,2140,2200,2770,,,,,
CSULDX1130106O000,960,700,990,790,490,570,610,790,,,,,
CSULDX1130116O000,960,700,990,790,490,570,610,790,,,,,
CSULDX1130206O000,180,130,150,210,220,120,110,150,,,,,
CSULDX1130216O000,180,130,150,210,220,120,110,150,,,,,
CSULDX1130306O000,950,730,790,590,670,510,700,470,,,,,
CSULDX1130316O000,950,730,790,590,670,510,700,470,,,,,
CSULDX1130506O000,140,370,220,190,420,350,150,260,,,,,
CSULDX1130516O000,140,370,220,190,420,350,150,260,,,,,
CSULDX1130606O000,140,80,110,80,90,40,60,170,,,,,
CSULDX1130616O000,140,80,110,80,90,40,60,170,,,,,
CSULDX1130706O000,200,260,370,840,730,360,470,660,,,,,
CSULDX1130716O000,200,260,370,840,730,360,470,660,,,,,
CSULDX1131106O000,40,,20,,20,,,40,,,,,
CSULDX1131116O000,40,,20,,20,,,40,,,,,
CSULDX1131206O000,170,250,150,120,250,160,70,150,,,,,
CSULDX1131216O000,170,250,150,120,250,160,70,150,,,,,
CSULDX1131306O000,50,40,120,110,60,20,30,80,,,,,
CSULDX1131316O000,50,40,120,110,60,20,30,80,,,,,
CSULDX1190006O000,8290,7660,8080,8520,9040,6980,7080,7260,,,,,
CSULDX1190106O000,120,50,40,150,130,50,140,130,,,,,
CSULDX1190136O000,120,50,40,150,130,50,140,130,,,,,
CSULDX1190206O000,620,680,670,470,1210,390,250,900,,,,,
CSULDX1190216O000,620,680,670,470,1210,390,250,900,,,,,
CSULDX1190306O000,1140,790,1320,1630,920,780,1450,930,,,,,
CSULDX1190316O000,90,100,260,60,20,50,40,70,,,,,
CSULDX1190326O000,710,480,770,1230,670,480,1120,570,,,,,
CSULDX1190336O000,270,160,230,300,220,250,270,290,,,,,
CSULDX1190396O000,70,50,50,50,,,,,,,,,
CSULDX1190406O000,30,20,,,380,20,20,60,,,,,
CSULDX1190416O000,30,20,,,380,20,20,60,,,,,
CSULDX1190506O000,1010,1220,980,1690,1100,1500,1240,1300,,,,,
CSULDX1190516O000,1010,1220,980,1690,1100,1500,1240,1300,,,,,
CSULDX1190606O000,,150,,,,,,,,,,,
CSULDX1190616O000,,150,,,,,,,,,,,
CSULDX1190706O000,,,,,70,,,20,,,,,
CSULDX1190716O000,,,,,70,,,20,,,,,
CSULDX1190806O000,20,20,70,30,20,20,40,,,,,,
CSULDX1190816O000,20,20,70,30,20,20,40,,,,,,
CSULDX1191106O000,2030,1770,1670,1840,2010,1740,1700,1980,,,,,
CSULDX1191116O000,2030,1770,1670,1840,2010,1740,1700,1980,,,,,
CSULDX1191206O000,20,,,,,,,,,,,,
CSULDX1191216O000,20,,,,,,,,,,,,
CSULDX1191406O000,650,130,280,570,520,170,140,430,,,,,
CSULDX1191416O000,650,130,280,570,520,170,140,430,,,,,
CSULDX1191506O000,380,450,330,260,290,310,320,270,,,,,
CSULDX1191516O000,380,450,330,260,290,310,320,270,,,,,
CSULDX1191606O000,30,30,,20,30,,80,70,,,,,
CSULDX1191616O000,30,30,,20,30,,80,70,,,,,
CSULDX1191906O000,2220,2340,2680,1850,2370,1950,1640,1170,,,,,
CSULDX1191996O000,2220,2340,2680,1850,2370,1950,1640,1170,,,,,
CSULDX1300006O000,4130,4010,4490,4790,3560,3450,3370,3460,,,,,
CSULDX1310006O000,3200,2770,3430,3170,2550,2640,2640,2380,,,,,
CSULDX1310206O000,230,240,810,270,160,160,330,270,,,,,
CSULDX1310216O000,20,,220,,20,20,40,70,,,,,
CSULDX1310226O000,120,80,470,70,40,40,70,60,,,,,
CSULDX1310236O000,90,140,130,190,100,110,220,130,,,,,
CSULDX1310306O000,730,380,490,510,520,420,290,280,,,,,
CSULDX1310316O000,690,320,460,450,420,380,260,240,,,,,
CSULDX1310326O000,40,60,20,60,100,40,20,40,,,,,
CSULDX1310406O000,790,350,550,330,310,200,220,260,,,,,
CSULDX1310416O000,790,350,550,330,310,200,220,260,,,,,
CSULDX1310506O000,60,80,20,440,90,30,100,30,,,,,
CSULDX1310516O000,60,80,20,440,90,30,100,30,,,,,
CSULDX1310706O000,350,370,380,430,400,380,400,310,,,,,
CSULDX1310716O000,330,340,360,410,350,360,370,270,,,,,
CSULDX1310756O000,,30,20,20,50,20,30,30,,,,,
CSULDX1310806O000,50,40,60,70,70,60,80,120,,,,,
CSULDX1310816O000,50,40,60,70,70,60,80,120,,,,,
CSULDX1311106O000,170,300,160,160,180,610,310,170,,,,,
CSULDX1311116O000,170,300,160,160,180,610,310,170,,,,,
CSULDX1311206O000,50,40,150,90,70,90,110,120,,,,,
CSULDX1311216O000,50,40,150,90,70,90,110,120,,,,,
CSULDX1311406O000,60,70,50,50,50,70,50,50,,,,,
CSULDX1311416O000,60,70,50,50,50,70,50,50,,,,,
CSULDX1311506O000,240,180,270,260,340,260,180,240,,,,,
CSULDX1311516O000,240,180,270,260,340,260,180,240,,,,,
CSULDX1311606O000,100,100,90,60,110,100,110,120,,,,,
CSULDX1311616O000,100,100,90,60,110,100,110,120,,,,,
CSULDX1311906O000,360,590,400,500,240,260,470,410,,,,,
CSULDX1311996O000,360,590,400,500,240,260,470,410,,,,,
CSULDX1320006O000,940,1240,1070,1630,1010,810,730,1080,,,,,
CSULDX1320106O000,350,420,410,350,390,310,350,290,,,,,
CSULDX1320116O000,350,420,410,350,390,310,350,290,,,,,
CSULDX1320206O000,20,90,40,100,50,30,,20,,,,,
CSULDX1320216O000,20,90,40,100,50,30,,20,,,,,
CSULDX1320306O000,20,,,20,,,,,,,,,
CSULDX1320316O000,20,,,20,,,,,,,,,
CSULDX1320406O000,30,40,,110,80,,,210,,,,,
CSULDX1320416O000,30,40,,110,80,,,210,,,,,
CSULDX1320506O000,130,230,200,600,170,120,130,260,,,,,
CSULDX1320516O000,90,50,80,50,130,50,30,180,,,,,
CSULDX1320526O000,,60,80,450,,20,20,20,,,,,
CSULDX1320536O000,30,130,40,100,40,50,70,70,,,,,
CSULDX1320606O000,20,20,40,40,,50,30,50,,,,,
CSULDX1320616O000,20,20,40,40,,50,30,50,,,,,
CSULDX1320706O000,150,120,80,70,110,100,90,140,,,,,
CSULDX1320716O000,30,,20,20,30,,,60,,,,,
CSULDX1320726O000,130,110,60,50,80,80,80,80,,,,,
CSULDX1320806O000,80,60,120,110,80,80,50,50,,,,,
CSULDX1320816O000,80,40,120,100,70,70,40,40,,,,,
CSULDX1320826O000,,20,,,,,,,,,,,
CSULDX1320906O000,150,240,160,230,120,110,70,50,,,,,
CSULDX1320996O000,150,240,160,230,120,110,70,50,,,,,
CSULDX1500006O000,1490,2380,1520,1700,1320,1220,990,1320,,,,,
CSULDX1511006O000,1380,1900,1230,1630,1270,1180,860,1140,,,,,
CSULDX1511206O000,160,170,120,230,140,140,80,150,,,,,
CSULDX1511216O000,130,130,80,160,110,100,60,120,,,,,
CSULDX1511226O000,20,40,40,70,40,40,20,40,,,,,
CSULDX1511306O000,120,190,270,180,110,100,110,110,,,,,
CSULDX1511316O000,50,60,150,60,20,40,60,20,,,,,
CSULDX1511326O000,30,30,20,20,20,20,20,30,,,,,
CSULDX1511336O000,50,90,80,80,60,40,20,60,,,,,
CSULDX1511346O000,,,,20,,,,,,,,,
CSULDX1511406O000,210,280,230,290,260,200,140,230,,,,,
CSULDX1511416O000,30,30,20,20,20,30,,30,,,,,
CSULDX1511426O000,170,210,120,260,210,140,110,160,,,,,
CSULDX1511436O000,,40,80,,30,30,,40,,,,,
CSULDX1511506O000,650,1070,500,740,640,590,350,340,,,,,
CSULDX1511516O000,100,240,170,360,150,250,130,80,,,,,
CSULDX1511526O000,550,830,330,380,490,340,230,260,,,,,
CSULDX1511906O000,240,180,100,190,110,140,170,310,,,,,
CSULDX1511996O000,240,180,100,190,110,140,170,310,,,,,
CSULDX1520006O000,110,480,290,70,40,50,130,180,,,,,
CSULDX1520306O000,90,440,230,60,30,20,90,130,,,,,
CSULDX1520316O000,90,440,230,60,30,20,90,130,,,,,
CSULDX1520406O000,,40,50,,,30,40,40,,,,,
CSULDX1520416O000,,40,50,,,30,40,40,,,,,
CSULDX1700006O000,1820,1780,2200,1940,1860,1530,1210,1400,,,,,
CSULDX1710006O000,220,230,40,480,140,360,150,100,,,,,
CSULDX1710106O000,140,90,20,,40,,,,,,,,
CSULDX1710116O000,60,,20,,30,,,,,,,,
CSULDX1710126O000,80,90,,,,,,,,,,,
CSULDX1710206O000,80,140,,470,100,350,150,90,,,,,
CSULDX1710226O000,80,140,,470,100,350,140,90,,,,,
CSULDX1720006O000,770,590,1200,670,870,480,550,550,,,,,
CSULDX1720106O000,20,,,,,,,,,,,,
CSULDX1720116O000,20,,,,,,,,,,,,
CSULDX1720306O000,,,100,,,,,20,,,,,
CSULDX1720316O000,,,100,,,,,20,,,,,
CSULDX1720506O000,180,140,150,80,180,80,70,60,,,,,
CSULDX1720516O000,180,140,150,80,180,80,70,60,,,,,
CSULDX1720606O000,,20,,,50,70,,,,,,,
CSULDX1720616O000,,20,,,50,70,,,,,,,
CSULDX1720706O000,40,80,80,60,50,70,60,30,,,,,
CSULDX1720716O000,30,70,,30,30,20,40,30,,,,,
CSULDX1720726O000,,20,60,30,20,50,20,,,,,,
CSULDX1720806O000,110,,70,20,130,20,20,,,,,,
CSULDX1720816O000,110,,70,20,130,20,20,,,,,,
CSULDX1721106O000,140,130,460,130,140,90,140,110,,,,,
CSULDX1721116O000,30,40,360,60,50,20,80,,,,,,
CSULDX1721126O000,110,90,100,70,90,70,60,100,,,,,
CSULDX1721206O000,20,,,20,,,,,,,,,
CSULDX1721216O000,20,,,20,,,,,,,,,
CSULDX1721306O000,,20,,,,,,,,,,,
CSULDX1721316O000,,20,,,,,,,,,,,
CSULDX1721406O000,40,40,60,70,80,30,40,90,,,,,
CSULDX1721416O000,40,40,60,70,80,30,40,90,,,,,
CSULDX1721506O000,20,20,30,20,,,20,20,,,,,
CSULDX1721516O000,20,20,30,20,,,20,20,,,,,
CSULDX1721906O000,160,120,220,230,190,60,140,180,,,,,
CSULDX1721996O000,160,120,220,230,190,60,140,180,,,,,
CSULDX1730006O000,830,960,960,790,850,700,520,750,,,,,
CSULDX1730106O000,60,40,50,30,120,30,50,,,,,,
CSULDX1730116O000,50,,,,100,30,,,,,,,
CSULDX1730196O000,,30,40,20,,,50,,,,,,
CSULDX1730206O000,770,880,850,700,670,570,450,700,,,,,
CSULDX1730216O000,,,,,,30,,,,,,,
CSULDX1730226O000,30,60,,20,20,,50,,,,,,
CSULDX1730236O000,360,500,370,320,270,290,150,220,,,,,
CSULDX1730246O000,,,,,,,,50,,,,,
CSULDX1730256O000,50,20,,,,,,30,,,,,
CSULDX1730266O000,30,70,,140,40,30,40,50,,,,,
CSULDX1730276O000,,20,,,,,,,,,,,
CSULDX1730296O000,290,210,410,190,300,200,200,340,,,,,
CSULDX1730306O000,,50,60,50,60,90,,40,,,,,
CSULDX1730316O000,,50,60,50,60,90,,40,,,,,
CSULDX1900006O000,1220,1400,1120,1300,1110,1260,890,930,,,,,
CSULDX1910006O000,340,440,300,260,220,220,210,250,,,,,
CSULDX1910106O000,80,40,70,80,60,120,30,50,,,,,
CSULDX1910116O000,,20,,20,,,20,,,,,,
CSULDX1910136O000,80,20,70,60,60,110,,40,,,,,
CSULDX1910206O000,50,30,70,50,40,20,30,40,,,,,
CSULDX1910226O000,20,,,,,,,,,,,,
CSULDX1910236O000,,,50,20,,,,20,,,,,
CSULDX1910296O000,20,,20,30,20,,20,20,,,,,
CSULDX1910306O000,120,40,20,20,,,40,60,,,,,
CSULDX1910316O000,20,,,,,,,,,,,,
CSULDX1910326O000,100,30,20,,,,40,50,,,,,
CSULDX1910406O000,50,330,130,110,90,60,110,100,,,,,
CSULDX1910416O000,,260,,,,,,,,,,,
CSULDX1910426O000,50,70,130,110,80,60,100,100,,,,,
CSULDX1910906O000,30,,,,,,,,,,,,
CSULDX1910996O000,30,,,,,,,,,,,,
CSULDX1920006O000,230,120,140,120,230,570,160,100,,,,,
CSULDX1920306O000,40,40,70,30,90,40,80,30,,,,,
CSULDX1920316O000,40,40,70,20,90,40,80,30,,,,,
CSULDX1920406O000,150,80,40,60,130,430,40,40,,,,,
CSULDX1920416O000,60,70,40,40,120,60,40,40,,,,,
CSULDX1920426O000,90,,,20,,370,,,,,,,
CSULDX1920906O000,30,,20,30,,100,40,20,,,,,
CSULDX1920996O000,30,,20,30,,100,40,20,,,,,
CSULDX1930006O000,210,310,60,260,160,170,110,90,,,,,
CSULDX1930306O000,180,240,40,210,150,140,90,80,,,,,
CSULDX1930316O000,20,190,20,160,50,120,70,60,,,,,
CSULDX1930396O000,160,40,20,50,100,20,20,20,,,,,
CSULDX1930506O000,20,60,,,,20,,,,,,,
CSULDX1930516O000,20,60,,,,20,,,,,,,
CSULDX1930906O000,,,,30,,,,,,,,,
CSULDX1940006O000,450,530,630,650,500,300,410,500,,,,,
CSULDX1940106O000,140,90,90,90,70,30,60,80,,,,,
CSULDX1940116O000,140,90,90,90,70,30,60,80,,,,,
