Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSULEX0XXXXX6O000,1090,1490,280,7660,220,190,100,340,,,,,
CSULEX1100006O000,240,190,860,140,440,250,180,270,,,,,
CSULEX1110006O000,40,40,50,,,30,30,20,,,,,
CSULEX1110206O000,30,,20,,,30,30,20,,,,,
CSULEX1110216O000,30,,20,,,30,30,20,,,,,
CSULEX1120006O000,30,,,,,,,,,,,,
CSULEX1120206O000,30,,,,,,,,,,,,
CSULEX1120226O000,30,,,,,,,,,,,,
CSULEX1130006O000,40,20,60,30,20,100,40,120,,,,,
CSULEX1130106O000,20,20,30,,,,20,50,,,,,
CSULEX1130116O000,20,20,30,,,,20,50,,,,,
CSULEX1130306O000,,,,,,90,,,,,,,
CSULEX1130316O000,,,,,,90,,,,,,,
CSULEX1190006O000,130,130,740,100,400,120,110,120,,,,,
CSULEX1190206O000,,,440,,,,,,,,,,
CSULEX1190216O000,,,440,,,,,,,,,,
CSULEX1190306O000,,,30,20,40,,50,60,,,,,
CSULEX1190326O000,,,30,,,,40,50,,,,,
CSULEX1190336O000,,,,,40,,,,,,,,
CSULEX1190506O000,,,20,,,,,,,,,,
CSULEX1190516O000,,,20,,,,,,,,,,
CSULEX1191106O000,60,40,30,50,20,50,50,40,,,,,
CSULEX1191116O000,60,40,30,50,20,50,50,40,,,,,
CSULEX1191406O000,,,,20,,,,,,,,,
CSULEX1191416O000,,,,20,,,,,,,,,
CSULEX1191506O000,,20,170,,,,,,,,,,
CSULEX1191516O000,,20,170,,,,,,,,,,
CSULEX1191906O000,40,40,60,,300,40,,,,,,,
CSULEX1191996O000,40,40,60,,300,40,,,,,,,
CSULEX1300006O000,180,110,200,220,100,170,60,70,,,,,
CSULEX1310006O000,160,100,130,20,60,150,50,70,,,,,
CSULEX1310206O000,,,30,,,,,,,,,,
CSULEX1310306O000,,,,,20,,,,,,,,
CSULEX1310316O000,,,,,20,,,,,,,,
CSULEX1310406O000,40,40,30,,,,20,,,,,,
CSULEX1310416O000,40,40,30,,,,20,,,,,,
CSULEX1310706O000,50,20,,,,,,,,,,,
CSULEX1310716O000,50,20,,,,,,,,,,,
CSULEX1311106O000,20,,,,30,,,20,,,,,
CSULEX1311116O000,20,,,,30,,,20,,,,,
CSULEX1311406O000,20,,,,,,,,,,,,
CSULEX1311416O000,20,,,,,,,,,,,,
CSULEX1311506O000,20,20,,,,40,,20,,,,,
CSULEX1311516O000,20,20,,,,40,,20,,,,,
CSULEX1311906O000,,,30,,,40,,,,,,,
CSULEX1311996O000,,,30,,,40,,,,,,,
CSULEX1320006O000,20,,70,200,40,20,,,,,,,
CSULEX1320406O000,,,30,,,,,,,,,,
CSULEX1320416O000,,,30,,,,,,,,,,
CSULEX1500006O000,50,20,40,30,70,20,20,20,,,,,
CSULEX1511006O000,40,20,40,30,70,20,20,,,,,,
CSULEX1511306O000,,,,,30,,,,,,,,
CSULEX1511506O000,,,,20,30,,,,,,,,
CSULEX1511516O000,,,,,30,,,,,,,,
CSULEX1511906O000,30,,,,,,,,,,,,
CSULEX1511996O000,30,,,,,,,,,,,,
CSULEX1700006O000,80,20,40,140,20,60,30,150,,,,,
CSULEX1720006O000,,,30,60,,20,,30,,,,,
CSULEX1721906O000,,,,40,,,,20,,,,,
CSULEX1721996O000,,,,40,,,,20,,,,,
CSULEX1730006O000,70,,,90,20,40,20,,,,,,
CSULEX1730206O000,40,,,90,20,40,20,,,,,,
CSULEX1730296O000,20,,,70,,40,,,,,,,
CSULEX1900006O000,20,20,30,40,40,40,50,20,,,,,
CSULEX1910006O000,,,,,20,,,,,,,,
CSULEX1910406O000,,,,,20,,,,,,,,
CSULEX1910426O000,,,,,20,,,,,,,,
