Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSULAX0XXXXX6O000,140,270,230,130,70,70,,60,,,,,
CSULAX1100006O000,490,550,850,920,900,1080,1120,1050,,,,,
CSULAX1110006O000,70,70,80,190,50,30,260,60,,,,,
CSULAX1110106O000,,,,30,,,230,40,,,,,
CSULAX1110116O000,,,,30,,,230,40,,,,,
CSULAX1110206O000,70,70,80,170,50,30,30,30,,,,,
CSULAX1110216O000,70,70,80,170,50,30,30,30,,,,,
CSULAX1120006O000,,50,60,30,120,40,,20,,,,,
CSULAX1120206O000,,40,40,30,120,40,,20,,,,,
CSULAX1120216O000,,,,,80,,,,,,,,
CSULAX1120226O000,,30,40,20,40,40,,,,,,,
CSULAX1130006O000,110,60,150,90,90,50,350,150,,,,,
CSULAX1130106O000,,20,20,20,20,,40,20,,,,,
CSULAX1130116O000,,20,20,20,20,,40,20,,,,,
CSULAX1130306O000,80,,,40,,,300,50,,,,,
CSULAX1130316O000,80,,,40,,,300,50,,,,,
CSULAX1130506O000,,,,30,,,,,,,,,
CSULAX1130516O000,,,,30,,,,,,,,,
CSULAX1130706O000,,,,,40,20,,40,,,,,
CSULAX1130716O000,,,,,40,20,,40,,,,,
CSULAX1131206O000,,20,70,,,,,,,,,,
CSULAX1131216O000,,20,70,,,,,,,,,,
CSULAX1190006O000,290,370,560,610,640,960,500,810,,,,,
CSULAX1190206O000,,,170,50,210,170,40,50,,,,,
CSULAX1190216O000,,,170,50,210,170,40,50,,,,,
CSULAX1190306O000,,40,,20,20,,20,80,,,,,
CSULAX1190316O000,,20,,,,,,20,,,,,
CSULAX1190326O000,,20,,,,,,40,,,,,
CSULAX1190336O000,,,,,,,,20,,,,,
CSULAX1190506O000,90,140,50,280,100,100,40,180,,,,,
CSULAX1190516O000,90,140,50,280,100,100,40,180,,,,,
CSULAX1191106O000,40,80,120,80,120,160,240,200,,,,,
CSULAX1191116O000,40,80,120,80,120,160,240,200,,,,,
CSULAX1191406O000,30,,50,60,40,410,,60,,,,,
CSULAX1191416O000,30,,50,60,40,410,,60,,,,,
CSULAX1191506O000,20,,90,50,50,60,,,,,,,
CSULAX1191516O000,20,,90,50,50,60,,,,,,,
CSULAX1191906O000,60,100,30,90,80,60,130,230,,,,,
CSULAX1191996O000,60,100,30,90,80,60,130,230,,,,,
CSULAX1300006O000,640,270,700,290,290,290,350,300,,,,,
CSULAX1310006O000,270,260,650,250,210,210,250,220,,,,,
CSULAX1310206O000,20,40,450,20,,60,,20,,,,,
CSULAX1310226O000,20,40,450,20,,,,,,,,,
CSULAX1310236O000,,,,,,50,,,,,,,
CSULAX1310306O000,20,,,50,,,,,,,,,
CSULAX1310316O000,20,,,50,,,,,,,,,
CSULAX1310406O000,,,40,,,,30,,,,,,
CSULAX1310416O000,,,40,,,,30,,,,,,
CSULAX1310706O000,60,60,80,20,80,30,60,100,,,,,
CSULAX1310716O000,50,60,70,20,70,20,60,100,,,,,
CSULAX1310806O000,40,20,,,,20,30,20,,,,,
CSULAX1310816O000,40,20,,,,20,30,20,,,,,
CSULAX1311106O000,20,,,,40,,,,,,,,
CSULAX1311116O000,20,,,,40,,,,,,,,
CSULAX1311206O000,20,,20,20,,30,,20,,,,,
CSULAX1311216O000,20,,20,20,,30,,20,,,,,
CSULAX1311306O000,,,,20,,,40,,,,,,
CSULAX1311316O000,,,,20,,,40,,,,,,
CSULAX1311506O000,20,30,20,20,20,,,,,,,,
CSULAX1311516O000,20,30,20,20,20,,,,,,,,
CSULAX1311606O000,30,50,,40,,30,50,,,,,,
CSULAX1311616O000,30,50,,40,,30,50,,,,,,
CSULAX1311906O000,,30,,30,30,20,,20,,,,,
CSULAX1311996O000,,30,,30,30,20,,20,,,,,
CSULAX1320006O000,370,,40,30,90,80,90,90,,,,,
CSULAX1320106O000,360,,30,20,20,50,,30,,,,,
CSULAX1320116O000,360,,30,20,20,50,,30,,,,,
CSULAX1320906O000,,,,,60,,40,,,,,,
CSULAX1320996O000,,,,,60,,40,,,,,,
CSULAX1500006O000,60,30,50,60,90,90,70,30,,,,,
CSULAX1511006O000,30,20,40,50,90,90,60,20,,,,,
CSULAX1511306O000,,,,,20,,,,,,,,
CSULAX1511506O000,,,20,20,60,60,40,,,,,,
CSULAX1511516O000,,,,,40,30,,,,,,,
CSULAX1511526O000,,,20,20,20,30,30,,,,,,
