Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURAX1100006O000,260,100,160,80,100,140,140,140,,,,,
CSURAX1110006O000,,,80,20,,,,,,,,,
CSURAX1110206O000,,,80,20,,,,,,,,,
CSURAX1110216O000,,,80,20,,,,,,,,,
CSURAX1120006O000,,,,,20,,,,,,,,
CSURAX1120206O000,,,,,20,,,,,,,,
CSURAX1120216O000,,,,,20,,,,,,,,
CSURAX1130006O000,20,20,30,,,,80,,,,,,
CSURAX1190006O000,230,70,60,40,60,120,60,120,,,,,
CSURAX1190306O000,,,20,,,,,,,,,,
CSURAX1190336O000,,,20,,,,,,,,,,
CSURAX1190506O000,80,30,,,30,30,,100,,,,,
CSURAX1190516O000,80,30,,,30,30,,100,,,,,
CSURAX1191106O000,,,,,,80,20,,,,,,
CSURAX1191116O000,,,,,,80,20,,,,,,
CSURAX1191906O000,100,,30,,,,30,,,,,,
CSURAX1191996O000,100,,30,,,,30,,,,,,
CSURAX1300006O000,20,40,,30,30,30,30,40,,,,,
CSURAX1310006O000,20,30,,20,20,30,20,40,,,,,
CSURAX1310706O000,20,,,,,20,,,,,,,
CSURAX1310716O000,,,,,,20,,,,,,,
CSURAX1700006O000,20,100,,,,,,,,,,,
CSURAX1730006O000,,100,,,,,,,,,,,
CSURAX1730206O000,,100,,,,,,,,,,,
CSURAX1730236O000,,80,,,,,,,,,,,
CSURAX2100006O000,50,70,170,110,100,70,120,130,,,,,
CSURAX2110006O000,50,70,170,110,100,70,120,130,,,,,
CSURAX2110106O000,30,,100,20,30,50,20,,,,,,
CSURAX2110126O000,,,30,,,,20,,,,,,
CSURAX2110146O000,,,,,20,30,,,,,,,
CSURAX2110196O000,,,60,,,,,,,,,,
CSURAX2110206O000,,40,20,80,20,,50,,,,,,
CSURAX2110216O000,,,,40,,,,,,,,,
CSURAX2110296O000,,40,20,30,20,,40,,,,,,
CSURAX2110906O000,20,20,50,20,50,,40,120,,,,,
