Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURBX0XXXXX6O000,20,50,250,30,,,,,,,,,
CSURBX1100006O000,360,290,530,760,970,240,240,1100,,,,,
CSURBX1110006O000,30,30,70,30,120,40,70,,,,,,
CSURBX1110106O000,,,,,110,,,,,,,,
CSURBX1110116O000,,,,,110,,,,,,,,
CSURBX1110206O000,30,20,70,20,,40,60,,,,,,
CSURBX1110216O000,30,20,70,20,,40,60,,,,,,
CSURBX1120006O000,,50,,40,,,20,,,,,,
CSURBX1120206O000,,,,40,,,20,,,,,,
CSURBX1120216O000,,,,30,,,20,,,,,,
CSURBX1130006O000,20,60,40,90,110,30,80,210,,,,,
CSURBX1130106O000,,,,,,,20,110,,,,,
CSURBX1130116O000,,,,,,,20,110,,,,,
CSURBX1130206O000,,,20,,60,,,,,,,,
CSURBX1130216O000,,,20,,60,,,,,,,,
CSURBX1130306O000,,20,,50,30,,50,60,,,,,
CSURBX1130316O000,,20,,50,30,,50,60,,,,,
CSURBX1130706O000,,,,20,,,,,,,,,
CSURBX1130716O000,,,,20,,,,,,,,,
CSURBX1190006O000,300,160,410,600,720,170,60,860,,,,,
CSURBX1190106O000,20,,,,,,,,,,,,
CSURBX1190136O000,20,,,,,,,,,,,,
CSURBX1190206O000,,,,,530,,,,,,,,
CSURBX1190216O000,,,,,530,,,,,,,,
CSURBX1190306O000,20,20,,40,,,,70,,,,,
CSURBX1190326O000,,,,40,,,,70,,,,,
CSURBX1190406O000,,,,,,,,20,,,,,
CSURBX1190416O000,,,,,,,,20,,,,,
CSURBX1190506O000,20,,20,60,80,,,,,,,,
CSURBX1190516O000,20,,20,60,80,,,,,,,,
CSURBX1191106O000,50,60,90,110,50,30,,50,,,,,
CSURBX1191116O000,50,60,90,110,50,30,,50,,,,,
CSURBX1191406O000,140,,,,,,,,,,,,
CSURBX1191416O000,140,,,,,,,,,,,,
CSURBX1191506O000,,30,,,,,,,,,,,
CSURBX1191516O000,,30,,,,,,,,,,,
CSURBX1191906O000,40,30,290,390,30,120,30,410,,,,,
CSURBX1191996O000,40,30,290,390,30,120,30,410,,,,,
CSURBX1300006O000,190,160,140,120,90,160,180,130,,,,,
CSURBX1310006O000,110,100,100,50,30,80,60,80,,,,,
CSURBX1310306O000,,,20,,,,,,,,,,
CSURBX1310316O000,,,20,,,,,,,,,,
CSURBX1310706O000,,40,,,,,,,,,,,
CSURBX1310716O000,,40,,,,,,,,,,,
CSURBX1311106O000,,20,,,,,40,20,,,,,
CSURBX1311116O000,,20,,,,,40,20,,,,,
CSURBX1311206O000,,,30,,,,,,,,,,
CSURBX1311216O000,,,30,,,,,,,,,,
CSURBX1311506O000,,,20,,,,,,,,,,
CSURBX1311516O000,,,20,,,,,,,,,,
CSURBX1311906O000,80,20,,,,,,,,,,,
CSURBX1311996O000,80,20,,,,,,,,,,,
CSURBX1320006O000,80,60,30,80,50,70,120,60,,,,,
CSURBX1320106O000,70,40,20,60,40,20,90,,,,,,
CSURBX1320116O000,70,40,20,60,40,20,90,,,,,,
CSURBX1320506O000,,,,,,,20,,,,,,
CSURBX1320516O000,,,,,,,20,,,,,,
CSURBX1320706O000,,,,,,20,,,,,,,
CSURBX1320726O000,,,,,,20,,,,,,,
CSURBX1320906O000,,,,,,30,,40,,,,,
CSURBX1320996O000,,,,,,30,,40,,,,,
CSURBX1500006O000,20,100,100,60,60,40,140,40,,,,,
CSURBX1511006O000,20,90,90,60,50,40,140,40,,,,,
CSURBX1511306O000,,60,,,,,,20,,,,,
CSURBX1511336O000,,50,,,,,,20,,,,,
CSURBX1511406O000,,20,60,,,,,,,,,,
CSURBX1511426O000,,,60,,,,,,,,,,
CSURBX1511506O000,,,20,20,20,,,,,,,,
CSURBX1511516O000,,,,20,,,,,,,,,
CSURBX1511526O000,,,,,20,,,,,,,,
CSURBX1511906O000,,,,,,20,110,,,,,,
CSURBX1511996O000,,,,,,20,110,,,,,,
CSURBX1700006O000,70,110,40,50,220,100,30,30,,,,,
CSURBX1720006O000,60,40,20,20,200,,20,20,,,,,
CSURBX1721106O000,20,,,,,,20,,,,,,
CSURBX1721126O000,20,,,,,,,,,,,,
CSURBX1721906O000,30,,,,30,,,20,,,,,
CSURBX1721996O000,30,,,,30,,,20,,,,,
CSURBX1730006O000,,70,20,20,,90,,,,,,,
CSURBX1730206O000,,70,20,20,,90,,,,,,,
CSURBX1730236O000,,70,,,,70,,,,,,,
CSURBX1900006O000,70,70,160,140,70,70,60,50,,,,,
CSURBX1910006O000,,20,20,60,40,,20,,,,,,
CSURBX1910206O000,,,20,20,30,,,,,,,,
CSURBX1910296O000,,,,20,,,,,,,,,
CSURBX1910406O000,,20,,40,,,,,,,,,
CSURBX1910426O000,,,,40,,,,,,,,,
CSURBX1920006O000,20,,40,,,30,20,,,,,,
CSURBX1920306O000,,,30,,,20,,,,,,,
CSURBX1920316O000,,,30,,,20,,,,,,,
CSURBX1940006O000,40,30,100,70,30,20,,30,,,,,
CSURBX1940106O000,,,20,,,,,,,,,,
CSURBX1940116O000,,,20,,,,,,,,,,
CSURBX1940606O000,20,,,,,,,,,,,,
CSURBX1940616O000,20,,,,,,,,,,,,
CSURBX1940906O000,20,,70,60,,20,,20,,,,,
CSURBX1940916O000,20,,,,,,,,,,,,
CSURBX1940996O000,,,60,60,,20,,,,,,,
CSURBX2100006O000,90,170,120,130,60,140,90,100,,,,,
CSURBX2110006O000,90,160,110,130,60,140,80,100,,,,,
CSURBX2110106O000,20,,70,30,30,70,50,30,,,,,
CSURBX2110126O000,,,30,,,,30,,,,,,
CSURBX2110146O000,,,,20,,,,,,,,,
CSURBX2110156O000,,,,,,40,,,,,,,
CSURBX2110206O000,30,100,30,30,20,30,,20,,,,,
CSURBX2110226O000,,,,20,,,,,,,,,
CSURBX2110236O000,,80,,,,,,,,,,,
CSURBX2110296O000,,20,,,20,20,,,,,,,
CSURBX2110906O000,40,50,20,70,,40,30,40,,,,,
CSURBX2110936O000,40,30,,70,,20,20,30,,,,,
CSURBX2300006O000,,,30,,,20,260,,,,,,
CSURBX2310006O000,,,20,,,,,,,,,,
CSURBX2320006O000,,,,,,,250,,,,,,
CSURBX2320106O000,,,,,,,240,,,,,,
CSURBX2320116O000,,,,,,,240,,,,,,
CSURBX2500006O000,160,270,260,470,310,720,260,740,,,,,
CSURBX2510006O000,,20,30,20,,,,20,,,,,
CSURBX2511906O000,,20,30,20,,,,20,,,,,
CSURBX2511946O000,,,20,,,,,,,,,,
CSURBX2511996O000,,20,,,,,,20,,,,,
CSURBX2520006O000,60,130,50,100,140,90,110,520,,,,,
CSURBX2520106O000,20,90,30,70,50,20,50,20,,,,,
CSURBX2520116O000,20,90,30,70,50,20,50,20,,,,,
CSURBX2520206O000,30,20,,20,70,70,60,480,,,,,
CSURBX2520216O000,30,20,,20,70,30,60,480,,,,,
CSURBX2520226O000,,,,,,40,,,,,,,
CSURBX2520506O000,,,,,,,,20,,,,,
CSURBX2520526O000,,,,,,,,20,,,,,
CSURBX2530006O000,30,30,,130,50,50,30,30,,,,,
CSURBX2530906O000,30,30,,130,40,50,20,30,,,,,
CSURBX2530996O000,30,30,,130,40,50,20,30,,,,,
CSURBX2590006O000,60,100,160,200,110,560,110,150,,,,,
CSURBX2590406O000,60,20,150,200,80,560,90,140,,,,,
CSURBX2590416O000,60,20,150,200,80,560,90,140,,,,,
CSURBX2590906O000,,80,,,20,,20,,,,,,
CSURBX2590996O000,,80,,,20,,20,,,,,,
CSURBX2700006O000,50,80,120,120,100,70,50,110,,,,,
CSURBX2710006O000,,,20,20,,20,,80,,,,,
CSURBX2710206O000,,,20,20,,,,80,,,,,
CSURBX2720006O000,30,40,60,80,70,40,30,20,,,,,
CSURBX2720206O000,,,,,40,20,,,,,,,
CSURBX2720216O000,,,,,,20,,,,,,,
CSURBX2720226O000,,,,,40,,,,,,,,
CSURBX2720306O000,,,,,,,20,,,,,,
CSURBX2720316O000,,,,,,,20,,,,,,
CSURBX2720906O000,20,,40,60,20,20,20,,,,,,
CSURBX2720996O000,20,,40,60,20,20,20,,,,,,
CSURBX2730006O000,,30,,,20,,,,,,,,
CSURBX2740006O000,20,,40,,,,,,,,,,
CSURBX2900006O000,1620,1900,1630,1620,1430,1690,1380,1510,,,,,
CSURBX2910006O000,1050,1230,1110,1250,1090,1250,970,1080,,,,,
CSURBX2910206O000,,,,,,40,,,,,,,
CSURBX2910216O000,,,,,,40,,,,,,,
CSURBX2910506O000,,,20,30,,,,,,,,,
CSURBX2910516O000,,,20,30,,,,,,,,,
CSURBX2910606O000,,30,50,20,60,40,50,30,,,,,
CSURBX2910696O000,,20,30,,30,30,30,20,,,,,
CSURBX2911116O000,940,,,,,,,,,,,,
CSURBX2911206O000,90,80,80,70,70,140,30,90,,,,,
CSURBX2911226O000,,,30,,,30,,,,,,,
CSURBX2911236O000,30,40,30,20,40,70,,50,,,,,
CSURBX2911266O000,40,40,20,30,,40,,20,,,,,
CSURBX2911406O000,920,1110,930,1090,970,1010,860,910,,,,,
CSURBX2911416O000,920,1110,930,1090,970,1010,860,910,,,,,
CSURBX2911706O000,20,,,30,,,,20,,,,,
CSURBX2911716O000,20,,,30,,,,20,,,,,
CSURBX2920006O000,560,660,510,370,340,440,390,420,,,,,
CSURBX2920106O000,20,60,90,20,40,40,110,50,,,,,
CSURBX2920116O000,,40,,,20,30,20,,,,,,
CSURBX2920126O000,20,20,90,,20,,90,40,,,,,
CSURBX2920306O000,60,60,90,40,40,40,50,30,,,,,
CSURBX2920316O000,,40,,,,,,,,,,,
CSURBX2920326O000,,,20,,,,,,,,,,
CSURBX2920346O000,30,20,60,30,20,,30,,,,,,
CSURBX2920406O000,50,,20,20,,20,,40,,,,,
CSURBX2920416O000,50,,20,20,,20,,40,,,,,
CSURBX2920506O000,270,390,120,160,80,150,120,180,,,,,
CSURBX2920516O000,70,60,50,40,30,30,40,50,,,,,
CSURBX2920526O000,70,,20,30,,,,40,,,,,
CSURBX2920536O000,50,,,70,,90,50,,,,,,
CSURBX2920556O000,80,40,20,20,40,,20,20,,,,,
CSURBX2920566O000,,,,,,,,60,,,,,
CSURBX2920606O000,110,80,160,100,130,150,80,110,,,,,
CSURBX2920616O000,110,80,160,100,130,150,80,110,,,,,
CSURBX2920706O000,,,20,,20,,,,,,,,
CSURBX2920716O000,,,20,,20,,,,,,,,
