Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUREX1100006O000,60,50,40,40,50,160,30,50,,,,,
CSUREX1110006O000,,,,20,,,,,,,,,
CSUREX1130006O000,,,,,,30,,,,,,,
CSUREX1190006O000,60,30,30,20,40,40,30,40,,,,,
CSUREX1190506O000,40,,,,40,30,,,,,,,
CSUREX1190516O000,40,,,,40,30,,,,,,,
CSUREX1191106O000,,,30,,,,,30,,,,,
CSUREX1191116O000,,,30,,,,,30,,,,,
CSUREX1300006O000,30,20,,,,,20,30,,,,,
CSUREX1310006O000,20,20,,,,,,30,,,,,
CSUREX1311906O000,20,,,,,,,,,,,,
CSUREX1311996O000,20,,,,,,,,,,,,
CSUREX1900006O000,,,,60,,,,,,,,,
CSUREX1940006O000,,,,60,,,,,,,,,
CSUREX2100006O000,,50,,,30,20,20,30,,,,,
CSUREX2110006O000,,50,,,30,20,20,30,,,,,
CSUREX2110206O000,,,,,,,,20,,,,,
CSUREX2110906O000,,30,,,,,,,,,,,
CSUREX2110996O000,,30,,,,,,,,,,,
CSUREX2500006O000,90,60,70,120,30,20,80,20,,,,,
CSUREX2520006O000,30,20,40,,,,40,,,,,,
CSUREX2520106O000,,,40,,,,,,,,,,
CSUREX2520116O000,,,40,,,,,,,,,,
CSUREX2590006O000,60,50,20,90,20,,40,,,,,,
CSUREX2590406O000,60,,20,90,20,,,,,,,,
CSUREX2590416O000,60,,20,90,20,,,,,,,,
CSUREX2590906O000,,40,,,,,,,,,,,
CSUREX2590996O000,,40,,,,,,,,,,,
CSUREX2700006O000,30,150,20,120,,40,30,,,,,,
CSUREX2720006O000,,150,,110,,40,30,,,,,,
CSUREX2720206O000,,140,,110,,30,20,,,,,,
CSUREX2720216O000,,140,,110,,30,20,,,,,,
CSUREX2900006O000,220,230,130,210,330,160,180,150,,,,,
CSUREX2910006O000,160,110,90,110,140,120,80,80,,,,,
CSUREX2911116O000,130,,,,,,,,,,,,
CSUREX2911206O000,20,,,,20,,,,,,,,
CSUREX2911236O000,,,,,20,,,,,,,,
CSUREX2911406O000,130,100,80,100,110,120,70,70,,,,,
CSUREX2911416O000,130,100,80,100,110,120,70,70,,,,,
CSUREX2920006O000,60,110,40,90,190,30,90,70,,,,,
CSUREX2920106O000,,20,,,,,,,,,,,
CSUREX2920506O000,20,30,20,20,20,20,30,20,,,,,
CSUREX2920516O000,,,,,,,30,,,,,,
CSUREX2920536O000,,20,,,,,,20,,,,,
CSUREX2920606O000,30,40,,30,160,,40,40,,,,,
CSUREX2920616O000,30,40,,30,160,,40,40,,,,,
CSUREX3100006O000,230,180,250,220,160,190,170,160,,,,,
CSUREX3110006O000,200,150,240,200,120,170,160,140,,,,,
CSUREX3110106O000,200,150,240,200,120,170,160,140,,,,,
CSUREX3110116O000,,,,30,30,40,,40,,,,,
CSUREX3110126O000,180,,,,,,,,,,,,
