Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURIX1100006O000,40,20,,,,,,80,,,,,
CSURIX1190006O000,,,,,,,,30,,,,,
CSURIX2100006O000,,,,,,30,,,,,,,
CSURIX2110006O000,,,,,,30,,,,,,,
CSURIX2110106O000,,,,,,30,,,,,,,
CSURIX2500006O000,50,20,40,,50,,60,20,,,,,
CSURIX2520006O000,,,40,,,,,,,,,,
CSURIX2520306O000,,,30,,,,,,,,,,
CSURIX2520316O000,,,30,,,,,,,,,,
CSURIX2590006O000,40,20,,,40,,40,,,,,,
CSURIX2590406O000,40,20,,,40,,40,,,,,,
CSURIX2590416O000,40,20,,,40,,40,,,,,,
CSURIX2700006O000,,20,,,,,,,,,,,
CSURIX2900006O000,30,30,30,20,70,60,,20,,,,,
CSURIX2920006O000,30,20,,20,70,30,,,,,,,
CSURIX3100006O000,40,80,280,100,40,50,30,20,,,,,
CSURIX3110006O000,40,70,50,80,30,40,30,,,,,,
CSURIX3110106O000,40,70,50,80,30,40,30,,,,,,
CSURIX3110116O000,,,20,60,,,,,,,,,
CSURIX3110126O000,30,,,,,,,,,,,,
CSURIX3110146O000,30,60,30,20,30,40,30,,,,,,
CSURIX3190006O000,,,230,20,,,,,,,,,
CSURIX3190906O000,,,,20,,,,,,,,,
CSURIX3300006O000,,190,60,60,30,50,,30,,,,,
CSURIX3310006O000,,,30,,,,,,,,,,
CSURIX3310206O000,,,30,,,,,,,,,,
CSURIX3310216O000,,,30,,,,,,,,,,
CSURIX3330006O000,,160,,20,30,40,,,,,,,
CSURIX3330506O000,,150,,,20,30,,,,,,,
CSURIX3330516O000,,150,,,20,30,,,,,,,
CSURIX3390006O000,,30,,,,,,,,,,,
CSURIX3500006O000,30,20,70,60,,120,90,20,,,,,
CSURIX3510006O000,,,,,,20,,,,,,,
CSURIX3510106O000,,,,,,20,,,,,,,
CSURIX3520006O000,,,40,20,,,80,,,,,,
CSURIX3520106O000,,,40,,,,70,,,,,,
