Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUAAX0000008ON00,10,19,5,8,12,13,15,13,,,,,
FWUAAX2720218ON00,,,,1,,,,,,,,,
FWUAAX27202X8ON00,,,,1,,,,,,,,,
FWUAAX272XXX8ON00,,,,1,,,,,,,,,
FWUAAX27XXXX8ON00,,,,1,,,,,,,,,
FWUAAX3730138ON00,,,1,,,,,,,,,,
FWUAAX37301X8ON00,,,1,,,,,,,,,,
FWUAAX373XXX8ON00,,,1,,,,,,,,,,
FWUAAX37XXXX8ON00,,,1,,,,,,,,,,
FWUAAX3920118ON00,1,,,,,,,,,,,,
FWUAAX39201X8ON00,1,,,,,,,,,,,,
FWUAAX3920218ON00,,,,,,,,,,,,,
FWUAAX39202X8ON00,,,,,,,,,,,,,
FWUAAX392XXX8ON00,1,,,,,,,,,,,,
FWUAAX3990118ON00,1,,,,,,,,,,,,
FWUAAX39901X8ON00,1,,,,,,,,,,,,
FWUAAX399XXX8ON00,1,,,,,,,,,,,,
FWUAAX39XXXX8ON00,2,,,,,,,,,,,,
FWUAAX4120118ON00,,1,,,,,,,,,,,
FWUAAX41201X8ON00,,1,,,,,,,,,,,
FWUAAX4120318ON00,,,,,,,1,,,,,,
FWUAAX41203X8ON00,,,,,,,1,,,,,,
FWUAAX412XXX8ON00,,1,,,,,1,,,,,,
FWUAAX4190918ON00,,1,,,,,,,,,,,
FWUAAX41909X8ON00,,1,,,,,,,,,,,
FWUAAX419XXX8ON00,,1,,,,,,,,,,,
FWUAAX41XXXX8ON00,,2,,,,,1,,,,,,
FWUAAX4520918ON00,,1,,,,,,,,,,,
FWUAAX4520928ON00,6,10,3,,5,5,4,5,,,,,
FWUAAX4520938ON00,2,3,,3,5,4,,3,,,,,
FWUAAX45209X8ON00,8,14,4,3,11,9,7,8,,,,,
FWUAAX452XXX8ON00,8,14,4,3,11,9,7,8,,,,,
FWUAAX4530118ON00,,,,1,,,,,,,,,
FWUAAX45301X8ON00,,,,1,,,,,,,,,
FWUAAX453XXX8ON00,,,,1,,,,,,,,,
FWUAAX45XXXX8ON00,8,15,4,4,11,9,8,8,,,,,
FWUAAX4721418ON00,,,,,,1,,,,,,,
FWUAAX47214X8ON00,,,,,,1,,,,,,,
FWUAAX472XXX8ON00,,,,,,1,,,,,,,
FWUAAX47XXXX8ON00,,,,,,1,,,,,,,
FWUAAX4930938ON00,,,,,,,1,,,,,,
FWUAAX49309X8ON00,,,,,,,1,,,,,,
FWUAAX493XXX8ON00,,,,,,,1,,,,,,
FWUAAX49XXXX8ON00,,,,,,,1,,,,,,
FWUAAX5160118ON00,,,,,,,1,,,,,,
FWUAAX51601X8ON00,,,,,,,1,,,,,,
FWUAAX516XXX8ON00,,,,,,,1,,,,,,
FWUAAX5330318ON00,,,,,,,1,,,,,,
FWUAAX53303X8ON00,,,,,,,1,,,,,,
FWUAAX533XXX8ON00,,,,,,,1,,,,,,
FWUAAX5360418ON00,,,,,,,,,,,,,
FWUAAX53604X8ON00,,,,,,,,,,,,,
FWUAAX536XXX8ON00,,,,,,,,,,,,,
FWUAAX53706X8ON00,,,,,,,,,,,,,
FWUAAX537XXX8ON00,,,,,,,,,,,,,
FWUAAX53XXXX8ON00,,,,,,,1,,,,,,
