Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUACX0000008ON00,61,59,57,42,50,43,62,56,,,,,
FWUACX1190138ON00,,,,,,,1,,,,,,
FWUACX11901X8ON00,,,,,,,1,,,,,,
FWUACX119XXX8ON00,,,,,,,1,,,,,,
FWUACX11XXXX8ON00,,,,,,,1,,,,,,
FWUACX2720128ON00,1,,,,,,,,,,,,
FWUACX27201X8ON00,1,,,,,,,,,,,,
FWUACX2720218ON00,,1,1,,,1,1,1,,,,,
FWUACX2720238ON00,,,,,,,1,,,,,,
FWUACX27202X8ON00,,1,1,,,1,2,1,,,,,
FWUACX2720428ON00,,,1,,,,,1,,,,,
FWUACX27204X8ON00,,,1,,,,,1,,,,,
FWUACX27209X8ON00,,,,,,,1,,,,,,
FWUACX272XXX8ON00,1,1,2,,,1,3,2,,,,,
FWUACX27XXXX8ON00,1,1,2,,,1,3,2,,,,,
FWUACX3320118ON00,,3,,,,,1,,,,,,
FWUACX33201X8ON00,,3,,,,,1,,,,,,
FWUACX332XXX8ON00,,3,,,,,1,,,,,,
FWUACX3330518ON00,,,,,,1,,,,,,,
FWUACX33305X8ON00,,,,,,1,,,,,,,
FWUACX333XXX8ON00,,,,,,1,,,,,,,
FWUACX3390328ON00,,,,,,,,,,,,,
FWUACX33903X8ON00,,,,,,,,,,,,,
FWUACX339XXX8ON00,,,,,,,,,,,,,
FWUACX33XXXX8ON00,,4,,,,,1,,,,,,
FWUACX3530218ON00,,,1,,,,,1,,,,,
FWUACX3530228ON00,,1,,,,,,,,,,,
FWUACX35302X8ON00,,,1,,,,,1,,,,,
FWUACX3530318ON00,,,,,,,,,,,,,
FWUACX35303X8ON00,,,,,,,,,,,,,
FWUACX353XXX8ON00,,,,,,,,1,,,,,
FWUACX3590218ON00,,,,,,,,1,,,,,
FWUACX35902X8ON00,,,,,,,,1,,,,,
FWUACX359XXX8ON00,,,,,,,,1,,,,,
FWUACX35XXXX8ON00,,,,,,,,4,,,,,
FWUACX3720118ON00,3,,,,,,,1,,,,,
FWUACX3720128ON00,,1,,,,,,,,,,,
FWUACX37201X8ON00,4,3,,,,,,1,,,,,
FWUACX372XXX8ON00,4,3,,,,,,,,,,,
FWUACX3730118ON00,4,,3,3,2,1,3,,,,,,
FWUACX3730138ON00,2,,,,1,,,,,,,,
FWUACX37301X8ON00,6,,4,4,3,2,3,,,,,,
