Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUADX0000008ON00,292,287,279,292,329,310,293,282,,,,,
FWUADX1190138ON00,,3,,3,,,1,4,,,,,
FWUADX11901X8ON00,,3,,3,,,1,4,,,,,
FWUADX1190518ON00,,,,,,,1,,,,,,
FWUADX11905X8ON00,,,,,,,1,,,,,,
FWUADX119XXX8ON00,,4,,4,,,3,4,,,,,
FWUADX11XXXX8ON00,,5,,5,,3,3,4,,,,,
FWUADX1311118ON00,,,1,,,,,,,,,,
FWUADX13111X8ON00,,,1,,,,,,,,,,
FWUADX131XXX8ON00,,,1,,,,,,,,,,
FWUADX13XXXX8ON00,,,1,,,,,,,,,,
FWUADX1720518ON00,,,,,1,,,,,,,,
FWUADX17205X8ON00,,,,,1,,,,,,,,
FWUADX1720718ON00,,,,,,1,,,,,,,
FWUADX17207X8ON00,,,,,,1,,,,,,,
FWUADX1721128ON00,1,,,,,,,,,,,,
FWUADX17211X8ON00,1,,,,,,,,,,,,
FWUADX17219X8ON00,1,,,,,,,,,,,,
FWUADX172XXX8ON00,2,,,,1,1,,,,,,,
FWUADX1730258ON00,,,,,1,,,,,,,,
FWUADX17302X8ON00,,,1,,1,,,,,,,,
FWUADX173XXX8ON00,,,1,,,,,,,,,,
FWUADX17XXXX8ON00,2,,,,3,,,3,,,,,
FWUADX1910428ON00,,,,,1,,,,,,,,
FWUADX19104X8ON00,,,,,1,,,,,,,,
FWUADX191XXX8ON00,,,,,1,,,,,,,,
FWUADX1940918ON00,1,,,,,,,,,,,,
FWUADX1940938ON00,,1,,,,,,,,,,,
FWUADX19409X8ON00,1,3,,,,,,,,,,,
FWUADX194XXX8ON00,1,3,,,,,,,,,,,
FWUADX19XXXX8ON00,1,3,,,1,3,,,,,,,
FWUADX2110118ON00,,,,,1,,,,,,,,
FWUADX2110128ON00,,,,,,1,,,,,,,
FWUADX2110148ON00,,,,,,,1,,,,,,
FWUADX21101X8ON00,,,,,1,1,1,,,,,,
FWUADX2110218ON00,,,,,,,,1,,,,,
FWUADX21102X8ON00,,,,,,,,1,,,,,
FWUADX2110928ON00,1,,,,,,,,,,,,
FWUADX2110938ON00,,,,,,,1,,,,,,
FWUADX21109X8ON00,1,,,,,,1,,,,,,
FWUADX211XXX8ON00,,,,,,1,2,1,,,,,
FWUADX21209X8ON00,1,1,,,,,,,,,,,
FWUADX212XXX8ON00,1,1,,,,,,,,,,,
FWUADX21XXXX8ON00,3,1,,,,1,2,1,,,,,
FWUADX2320118ON00,,,1,,,,,,,,,,
FWUADX23201X8ON00,,,1,,,,,,,,,,
FWUADX232XXX8ON00,,,1,,,,,,,,,,
FWUADX23XXXX8ON00,,,1,,,,,,,,,,
FWUADX2520318ON00,,1,1,,,,,,,,,,
FWUADX25203X8ON00,,1,1,,,,,,,,,,
FWUADX252XXX8ON00,,1,1,,,,,,,,,,
FWUADX2590418ON00,,,,1,,,,,,,,,
