Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUGFX0000008ON00,385,351,319,367,344,387,386,413,,,,,
FWUGFX1110118ON00,,1,3,3,,,1,3,,,,,
FWUGFX11101X8ON00,,1,3,3,,,1,3,,,,,
FWUGFX1110218ON00,,,2,,3,,3,,,,,,
FWUGFX11102X8ON00,,,2,,3,,3,,,,,,
FWUGFX111XXX8ON00,,1,5,3,3,,4,4,,,,,
FWUGFX1120218ON00,,,2,,,,,1,,,,,
FWUGFX1120228ON00,,1,3,2,,,,,,,,,
FWUGFX11202X8ON00,,1,5,2,,,,3,,,,,
FWUGFX1120318ON00,,,,,,,1,,,,,,
FWUGFX11203X8ON00,,,,,,,1,,,,,,
FWUGFX112XXX8ON00,,1,6,3,,,3,3,,,,,
FWUGFX1130118ON00,5,4,3,,,,,,,,,,
FWUGFX11301X8ON00,5,4,3,,,,,,,,,,
FWUGFX1130218ON00,1,,1,1,,,,,,,,,
FWUGFX11302X8ON00,1,,1,1,,,,,,,,,
FWUGFX1130318ON00,3,,1,,,1,3,,,,,,
FWUGFX11303X8ON00,3,,1,,,1,3,,,,,,
FWUGFX1130618ON00,,,,,,,1,,,,,,
FWUGFX11306X8ON00,,,,,,,1,,,,,,
FWUGFX1131218ON00,,1,,3,,,,,,,,,
FWUGFX11312X8ON00,,1,,3,,,,,,,,,
FWUGFX113XXX8ON00,9,6,5,8,4,3,4,,,,,,
FWUGFX1190138ON00,14,14,13,12,10,10,13,11,,,,,
FWUGFX11901X8ON00,14,14,13,12,10,10,13,11,,,,,
FWUGFX1190328ON00,2,2,,,,1,,,,,,,
FWUGFX1190338ON00,1,,,,,,,,,,,,
FWUGFX11903X8ON00,4,2,,,,1,,,,,,,
FWUGFX1190518ON00,4,6,,4,5,,,4,,,,,
FWUGFX11905X8ON00,4,6,,4,5,,,4,,,,,
FWUGFX1190718ON00,,,,,,,,1,,,,,
FWUGFX11907X8ON00,,,,,,,,1,,,,,
FWUGFX1190818ON00,2,4,,,1,,,,,,,,
FWUGFX11908X8ON00,2,4,,,1,,,,,,,,
FWUGFX1191118ON00,,,,,,,,4,,,,,
FWUGFX11911X8ON00,,,,,,,,4,,,,,
FWUGFX1191318ON00,,,,,,,1,,,,,,
FWUGFX11913X8ON00,,,,,,,1,,,,,,
FWUGFX1191418ON00,5,6,3,4,,4,5,4,,,,,
FWUGFX11914X8ON00,5,6,3,4,,4,5,4,,,,,
FWUGFX1191518ON00,,1,,,1,,,1,,,,,
FWUGFX11915X8ON00,,1,,,1,,,1,,,,,
FWUGFX11919X8ON00,,5,4,,1,,3,,,,,,
FWUGFX119XXX8ON00,34,40,25,25,23,19,26,28,,,,,
FWUGFX11XXXX8ON00,45,48,41,39,30,24,37,35,,,,,
FWUGFX1310118ON00,,,,,,1,,,,,,,
FWUGFX13101X8ON00,,,,,,1,,,,,,,
FWUGFX1310318ON00,,1,,,,,,,,,,,
FWUGFX13103X8ON00,,1,,,,,,,,,,,
FWUGFX1310418ON00,1,,,,,,,1,,,,,
FWUGFX13104X8ON00,1,,,,,,,1,,,,,
FWUGFX1310718ON00,,,,3,,,,,,,,,
FWUGFX13107X8ON00,,,,3,,,,,,,,,
FWUGFX1311318ON00,,,,,,,2,,,,,,
FWUGFX13113X8ON00,,,,,,,2,,,,,,
FWUGFX131XXX8ON00,6,,,7,3,,4,7,,,,,
FWUGFX1320118ON00,,,,,,2,,4,,,,,
FWUGFX13201X8ON00,,,,,,2,,4,,,,,
FWUGFX1320518ON00,,,1,,,,,,,,,,
FWUGFX1320538ON00,,,,,,1,,,,,,,
FWUGFX13205X8ON00,,,1,,,1,,3,,,,,
FWUGFX132XXX8ON00,,,,,,3,6,7,,,,,
FWUGFX13XXXX8ON00,8,3,3,9,5,5,10,14,,,,,
FWUGFX1511438ON00,,,,,,,1,,,,,,
FWUGFX15114X8ON00,,,,,,,1,,,,,,
FWUGFX1511XX8ON00,,,,,,,1,,,,,,
FWUGFX15XXXX8ON00,,,,,,,1,,,,,,
FWUGFX1720518ON00,,,,,,,,,,,,,
FWUGFX17205X8ON00,,,,,,,,,,,,,
FWUGFX1721128ON00,1,,,,,,,,,,,,
FWUGFX17211X8ON00,1,,,,,,,,,,,,
FWUGFX1721418ON00,,1,,,,,,,,,,,
FWUGFX17214X8ON00,,1,,,,,,,,,,,
FWUGFX172XXX8ON00,1,1,,,,,,,,,,,
FWUGFX17XXXX8ON00,,1,,,,,,,,,,,
FWUGFX1910228ON00,,,,1,,,,,,,,,
FWUGFX1910238ON00,,,1,,,1,,,,,,,
FWUGFX19102X8ON00,,,,1,,1,1,,,,,,
FWUGFX1910418ON00,,,,,,,,,,,,,
FWUGFX19104X8ON00,,,,,,,,,,,,,
FWUGFX191XXX8ON00,,,,,,1,1,,,,,,
FWUGFX1920318ON00,,,,,,1,,1,,,,,
FWUGFX19203X8ON00,,,,,,1,,1,,,,,
FWUGFX192XXX8ON00,,,,,,1,,1,,,,,
FWUGFX1930318ON00,,2,,,,,,,,,,,
FWUGFX19303X8ON00,,2,,,,,,,,,,,
FWUGFX1930518ON00,,1,,,,,,,,,,,
FWUGFX19305X8ON00,,1,,,,,,,,,,,
FWUGFX193XXX8ON00,,3,,,,,,,,,,,
FWUGFX1940918ON00,1,,,,,,,,,,,,
FWUGFX1940938ON00,,,,1,,,,,,,,,
FWUGFX19409X8ON00,1,,,1,,,,,,,,,
FWUGFX194XXX8ON00,1,,3,1,,,,,,,,,
FWUGFX19XXXX8ON00,,4,5,5,,2,1,4,,,,,
FWUGFX2110118ON00,,,,,2,,,,,,,,
FWUGFX2110158ON00,,1,,,,,,,,,,,
FWUGFX21101X8ON00,,5,,,3,3,3,3,,,,,
FWUGFX2110218ON00,3,,,,1,,,4,,,,,
FWUGFX2110228ON00,,1,,,,,,,,,,,
