Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUGMX0000008ON00,4308,4277,4265,4454,4492,4803,4761,4837,,,,,
FWUGMX1110118ON00,20,20,15,8,11,10,9,20,,,,,
FWUGMX11101X8ON00,20,20,15,8,11,10,9,20,,,,,
FWUGMX1110218ON00,9,10,10,14,8,1,11,15,,,,,
FWUGMX11102X8ON00,9,10,10,14,8,1,11,15,,,,,
FWUGMX1110318ON00,,1,,,,1,,,,,,,
FWUGMX11103X8ON00,,1,,,,1,,,,,,,
FWUGMX111XXX8ON00,29,31,25,22,19,12,20,35,,,,,
FWUGMX1120118ON00,,,,,,,1,,,,,,
FWUGMX11201X8ON00,,,,,,,1,,,,,,
FWUGMX1120218ON00,,,,,,,1,,,,,,
FWUGMX1120228ON00,5,8,8,6,7,4,8,5,,,,,
FWUGMX11202X8ON00,7,10,10,6,8,4,9,6,,,,,
FWUGMX1120318ON00,,,,1,,,,,,,,,
FWUGMX11203X8ON00,,,,1,,,,,,,,,
FWUGMX112XXX8ON00,7,11,12,7,10,4,10,7,,,,,
FWUGMX1130118ON00,,5,,3,,2,,,,,,,
FWUGMX11301X8ON00,,5,,3,,2,,,,,,,
FWUGMX1130218ON00,,1,,,,3,3,,,,,,
FWUGMX11302X8ON00,,1,,,,3,3,,,,,,
FWUGMX1130318ON00,3,1,,3,5,,4,,,,,,
FWUGMX11303X8ON00,3,1,,3,5,,4,,,,,,
FWUGMX1130518ON00,7,,4,6,4,3,4,4,,,,,
FWUGMX11305X8ON00,7,,4,6,4,3,4,4,,,,,
FWUGMX1130718ON00,3,10,4,5,5,8,4,4,,,,,
FWUGMX11307X8ON00,3,10,4,5,5,8,4,4,,,,,
FWUGMX1131218ON00,,,1,1,,,,,,,,,
FWUGMX11312X8ON00,,,1,1,,,,,,,,,
FWUGMX1131318ON00,,,1,,,,,,,,,,
FWUGMX11313X8ON00,,,1,,,,,,,,,,
FWUGMX113XXX8ON00,18,18,14,20,15,20,17,11,,,,,
FWUGMX1190138ON00,254,218,218,258,242,250,245,246,,,,,
FWUGMX11901X8ON00,254,218,218,258,242,250,245,246,,,,,
FWUGMX1190218ON00,20,24,15,15,11,3,11,8,,,,,
FWUGMX11902X8ON00,20,24,15,15,11,3,11,8,,,,,
FWUGMX1190328ON00,,2,4,,,1,,1,,,,,
FWUGMX1190338ON00,1,1,,1,,,,,,,,,
FWUGMX11903X8ON00,4,5,4,3,,3,,3,,,,,
FWUGMX1190418ON00,,,,,,4,,2,,,,,
FWUGMX11904X8ON00,,,,,,4,,2,,,,,
FWUGMX1190518ON00,24,21,34,18,17,21,19,12,,,,,
FWUGMX11905X8ON00,24,21,34,18,17,21,19,12,,,,,
FWUGMX1190618ON00,,,,1,1,,3,,,,,,
FWUGMX11906X8ON00,,,,1,1,,3,,,,,,
FWUGMX1190728ON00,,,,,,,,,,,,,
FWUGMX11907X8ON00,,,,,,,,,,,,,
