Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUACX0XXXXX6O000,60,70,40,70,,20,,,,,,,
CSUACX1100006O000,100,,120,60,100,40,140,90,,,,,
CSUACX1130006O000,,,,,,,,40,,,,,
CSUACX1190006O000,100,,80,60,90,,20,50,,,,,
CSUACX1190506O000,100,,60,40,90,,,,,,,,
CSUACX1190516O000,100,,60,40,90,,,,,,,,
CSUACX1191106O000,,,,,,,,30,,,,,
CSUACX1191116O000,,,,,,,,30,,,,,
CSUACX1191906O000,,,30,,,,,,,,,,
CSUACX1191996O000,,,30,,,,,,,,,,
CSUACX1300006O000,20,,,40,20,40,70,,,,,,
CSUACX1310006O000,,,,40,,40,70,,,,,,
CSUACX1310706O000,,,,,,,30,,,,,,
CSUACX1310716O000,,,,,,,30,,,,,,
CSUACX1310806O000,,,,,,,30,,,,,,
CSUACX1310816O000,,,,,,,30,,,,,,
CSUACX1500006O000,40,,,,,20,,,,,,,
CSUACX1511006O000,40,,,,,20,,,,,,,
CSUACX1511506O000,40,,,,,20,,,,,,,
CSUACX1511516O000,40,,,,,,,,,,,,
CSUACX1700006O000,,20,,,,,,,,,,,
CSUACX1730006O000,,20,,,,,,,,,,,
CSUACX1900006O000,50,20,20,260,,20,60,30,,,,,
CSUACX1940006O000,50,20,,260,,20,40,30,,,,,
CSUACX1940106O000,,,,,,,,20,,,,,
CSUACX1940116O000,,,,,,,,20,,,,,
CSUACX1940606O000,,,,250,,,,,,,,,
CSUACX1940616O000,,,,250,,,,,,,,,
CSUACX1940906O000,50,,,,,,30,,,,,,
CSUACX2100006O000,20,100,70,30,60,90,60,40,,,,,
CSUACX2110006O000,20,100,70,30,60,90,60,40,,,,,
CSUACX2110106O000,,50,40,,20,,40,20,,,,,
CSUACX2110196O000,,50,30,,,,,,,,,,
CSUACX2110206O000,,30,30,,,,,,,,,,
CSUACX2110216O000,,30,,,,,,,,,,,
CSUACX2110296O000,,,20,,,,,,,,,,
CSUACX2110906O000,,20,,,30,70,30,20,,,,,
CSUACX2110936O000,,,,,20,60,,20,,,,,
CSUACX2500006O000,390,240,190,160,250,420,320,330,,,,,
CSUACX2510006O000,,,20,,,,,,,,,,
CSUACX2511906O000,,,20,,,,,,,,,,
CSUACX2511996O000,,,20,,,,,,,,,,
CSUACX2520006O000,80,70,,,60,50,50,20,,,,,
CSUACX2520106O000,60,40,,,60,,30,,,,,,
CSUACX2520116O000,60,40,,,60,,30,,,,,,
CSUACX2520206O000,,,,,,50,,,,,,,
CSUACX2520216O000,,,,,,50,,,,,,,
CSUACX2530006O000,110,50,60,100,100,270,120,150,,,,,
CSUACX2530206O000,30,50,60,80,90,180,100,150,,,,,
CSUACX2530216O000,30,50,60,80,90,180,100,150,,,,,
CSUACX2530906O000,80,,,20,,90,30,,,,,,
CSUACX2530996O000,80,,,20,,90,30,,,,,,
CSUACX2590006O000,180,110,90,50,90,90,150,160,,,,,
CSUACX2590406O000,180,90,80,50,90,90,150,150,,,,,
CSUACX2590416O000,180,90,80,50,90,90,150,150,,,,,
CSUACX2590906O000,,20,,,,,,,,,,,
CSUACX2590996O000,,20,,,,,,,,,,,
CSUACX2700006O000,100,60,140,160,340,320,110,530,,,,,
CSUACX2710006O000,,,20,,,,,20,,,,,
CSUACX2710206O000,,,20,,,,,20,,,,,
CSUACX2720006O000,90,50,100,140,310,320,90,180,,,,,
CSUACX2720206O000,40,40,90,110,270,300,60,150,,,,,
CSUACX2720216O000,,,,,60,200,40,20,,,,,
CSUACX2720226O000,30,,90,110,210,70,20,130,,,,,
CSUACX2720236O000,,20,,,,,,,,,,,
CSUACX2720306O000,20,,,,,,,20,,,,,
CSUACX2720316O000,20,,,,,,,20,,,,,
CSUACX2720906O000,30,,,,30,,20,,,,,,
CSUACX2720996O000,30,,,,30,,20,,,,,,
CSUACX2740006O000,,,,,30,,,330,,,,,
CSUACX2740206O000,,,,,,,,330,,,,,
CSUACX2740216O000,,,,,,,,330,,,,,
CSUACX2900006O000,370,160,200,320,230,240,160,290,,,,,
CSUACX2910006O000,,,50,,,,,,,,,,
CSUACX2920006O000,360,160,150,300,210,230,150,280,,,,,
CSUACX2920106O000,,,,20,,,,,,,,,
CSUACX2920126O000,,,,20,,,,,,,,,
CSUACX2920406O000,20,40,,40,40,50,30,60,,,,,
CSUACX2920416O000,20,40,,40,40,50,30,60,,,,,
CSUACX2920506O000,330,90,130,220,150,150,110,200,,,,,
CSUACX2920516O000,190,90,80,150,110,140,100,150,,,,,
CSUACX2920536O000,,,,30,20,,,40,,,,,
CSUACX2920566O000,120,,30,30,,,,,,,,,
CSUACX2920606O000,,,,,,20,,,,,,,
CSUACX2920616O000,,,,,,20,,,,,,,
CSUACX3100006O000,1360,1430,1090,1220,1090,970,1260,1040,,,,,
CSUACX3110006O000,1150,1390,1070,1160,1040,890,1200,960,,,,,
CSUACX3110106O000,1150,1390,1070,1160,1040,890,1200,960,,,,,
CSUACX3110116O000,70,70,80,140,110,60,210,50,,,,,
CSUACX3110126O000,1060,,,,,,,,,,,,
CSUACX3110136O000,20,20,40,40,20,60,20,,,,,,
CSUACX3110146O000,1040,1280,930,930,890,750,940,860,,,,,
CSUACX3110156O000,20,30,20,50,20,20,20,30,,,,,
CSUACX3190006O000,200,40,20,50,50,80,60,80,,,,,
CSUACX3190906O000,200,40,20,50,50,80,60,80,,,,,
CSUACX3190916O000,90,,,,,,,,,,,,
CSUACX3190926O000,,,,,,,20,,,,,,
CSUACX3190956O000,,,,,,30,,,,,,,
CSUACX3190966O000,40,30,,,,30,,50,,,,,
CSUACX3190996O000,60,,,,30,,,20,,,,,
CSUACX3300006O000,440,580,550,590,510,750,630,800,,,,,
CSUACX3320006O000,40,120,100,150,70,160,70,80,,,,,
