Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURDX0XXXXX6O000,200,310,840,270,120,90,50,60,,,,,
CSURDX1100006O000,1880,1690,1700,1540,2160,1740,1280,2180,,,,,
CSURDX1110006O000,160,150,300,120,360,170,110,160,,,,,
CSURDX1110106O000,,,,,,,,40,,,,,
CSURDX1110116O000,,,,,,,,40,,,,,
CSURDX1110206O000,160,110,280,100,360,170,110,120,,,,,
CSURDX1110216O000,160,110,280,100,360,170,110,120,,,,,
CSURDX1120006O000,70,70,50,70,20,30,40,50,,,,,
CSURDX1120106O000,20,,,,,,,,,,,,
CSURDX1120116O000,20,,,,,,,,,,,,
CSURDX1120206O000,60,40,50,70,20,20,40,40,,,,,
CSURDX1120226O000,50,30,40,60,,20,20,30,,,,,
CSURDX1130006O000,240,130,540,230,300,310,370,290,,,,,
CSURDX1130106O000,110,70,50,20,70,40,20,100,,,,,
CSURDX1130116O000,110,70,50,20,70,40,20,100,,,,,
CSURDX1130206O000,,20,,70,,,30,20,,,,,
CSURDX1130216O000,,20,,70,,,30,20,,,,,
CSURDX1130306O000,,20,80,60,30,70,30,20,,,,,
CSURDX1130316O000,,20,80,60,30,70,30,20,,,,,
CSURDX1130506O000,,20,40,,20,20,,60,,,,,
CSURDX1130516O000,,20,40,,20,20,,60,,,,,
CSURDX1130606O000,,,,,,,,20,,,,,
CSURDX1130616O000,,,,,,,,20,,,,,
CSURDX1130706O000,,,20,50,70,140,290,60,,,,,
CSURDX1130716O000,,,20,50,70,140,290,60,,,,,
CSURDX1131206O000,60,,340,,110,,,,,,,,
CSURDX1131216O000,60,,340,,110,,,,,,,,
CSURDX1190006O000,1400,1340,820,1130,1470,1230,760,1680,,,,,
CSURDX1190106O000,50,50,50,40,60,,,50,,,,,
CSURDX1190136O000,50,50,50,40,60,,,50,,,,,
CSURDX1190206O000,50,,20,230,180,130,90,150,,,,,
CSURDX1190216O000,50,,20,230,180,130,90,150,,,,,
CSURDX1190306O000,200,30,70,170,70,70,160,300,,,,,
CSURDX1190316O000,,,,40,,,,,,,,,
CSURDX1190326O000,190,,40,100,50,30,140,210,,,,,
CSURDX1190336O000,,20,40,30,,,20,,,,,,
CSURDX1190506O000,190,450,140,70,160,290,200,160,,,,,
CSURDX1190516O000,190,450,140,70,160,290,200,160,,,,,
CSURDX1191106O000,130,180,190,240,170,180,120,510,,,,,
CSURDX1191116O000,130,180,190,240,170,180,120,510,,,,,
CSURDX1191206O000,20,,,,,,,,,,,,
CSURDX1191216O000,20,,,,,,,,,,,,
CSURDX1191406O000,20,40,100,90,100,360,50,430,,,,,
CSURDX1191416O000,20,40,100,90,100,360,50,430,,,,,
CSURDX1191506O000,50,50,30,20,70,70,40,40,,,,,
CSURDX1191516O000,50,50,30,20,70,70,40,40,,,,,
CSURDX1191906O000,700,520,200,260,670,120,80,40,,,,,
CSURDX1191996O000,700,520,200,260,670,120,80,40,,,,,
CSURDX1300006O000,980,440,430,750,500,410,520,970,,,,,
CSURDX1310006O000,820,200,370,460,380,300,470,890,,,,,
CSURDX1310206O000,50,30,50,20,,,,,,,,,
CSURDX1310216O000,,,20,,,,,,,,,,
CSURDX1310226O000,50,20,20,,,,,,,,,,
CSURDX1310236O000,,20,,,,,,,,,,,
CSURDX1310306O000,50,20,30,,30,40,,40,,,,,
CSURDX1310316O000,50,20,30,,20,30,,30,,,,,
CSURDX1310406O000,550,30,,,30,,30,30,,,,,
CSURDX1310416O000,550,30,,,30,,30,30,,,,,
CSURDX1310506O000,,,,,,,,350,,,,,
CSURDX1310516O000,,,,,,,,350,,,,,
CSURDX1310706O000,50,40,100,90,130,80,60,110,,,,,
CSURDX1310716O000,50,40,70,90,90,60,60,110,,,,,
CSURDX1310756O000,,,,,40,,,,,,,,
CSURDX1310806O000,,,,20,20,,,60,,,,,
CSURDX1310816O000,,,,20,20,,,60,,,,,
