Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWU00X0000008ON00,4693,4628,4585,4821,4836,5190,5147,5250,,,,,
FWU00X1110118ON00,22,21,18,11,11,10,10,23,,,,,
FWU00X11101X8ON00,22,21,18,11,11,10,10,23,,,,,
FWU00X1110218ON00,9,10,12,14,11,,14,16,,,,,
FWU00X11102X8ON00,9,10,12,14,11,,14,16,,,,,
FWU00X1110318ON00,,1,,,,1,,,,,,,
FWU00X11103X8ON00,,1,,,,1,,,,,,,
FWU00X111XXX8ON00,31,32,30,25,22,13,24,39,,,,,
FWU00X1120218ON00,,,4,,,,1,,,,,,
FWU00X1120228ON00,5,9,11,8,7,4,9,7,,,,,
FWU00X11202X8ON00,7,11,15,8,8,4,10,9,,,,,
FWU00X1120318ON00,,,,,,,1,,,,,,
FWU00X11203X8ON00,,,,,,,1,,,,,,
FWU00X112XXX8ON00,7,12,18,10,10,5,13,10,,,,,
FWU00X1130118ON00,6,9,4,4,,4,,,,,,,
FWU00X11301X8ON00,6,9,4,4,,4,,,,,,,
FWU00X1130218ON00,4,1,1,3,,3,3,,,,,,
FWU00X11302X8ON00,4,1,1,3,,3,3,,,,,,
FWU00X1130318ON00,6,1,2,5,7,3,7,,,,,,
FWU00X11303X8ON00,6,1,2,5,7,3,7,,,,,,
FWU00X1130518ON00,7,,4,6,4,3,4,4,,,,,
FWU00X11305X8ON00,7,,4,6,4,3,4,4,,,,,
FWU00X1130718ON00,3,10,4,6,5,8,4,4,,,,,
FWU00X11307X8ON00,3,10,4,6,5,8,4,4,,,,,
FWU00X1131218ON00,,,1,4,,,,,,,,,
FWU00X11312X8ON00,,,1,4,,,,,,,,,
FWU00X1131318ON00,,,1,,,,,,,,,,
FWU00X11313X8ON00,,,1,,,,,,,,,,
FWU00X113XXX8ON00,27,24,19,28,19,23,21,11,,,,,
FWU00X1190138ON00,268,232,231,270,252,260,258,257,,,,,
FWU00X11901X8ON00,268,232,231,270,252,260,258,257,,,,,
FWU00X1190218ON00,21,24,15,15,11,3,12,8,,,,,
FWU00X11902X8ON00,21,24,15,15,11,3,12,8,,,,,
FWU00X1190328ON00,4,4,4,,,2,3,,,,,,
FWU00X1190338ON00,2,1,,,,,,,,,,,
FWU00X11903X8ON00,8,7,4,5,3,4,3,4,,,,,
FWU00X1190418ON00,,,,,,4,,2,,,,,
FWU00X11904X8ON00,,,,,,4,,2,,,,,
FWU00X1190518ON00,28,27,36,22,22,23,19,16,,,,,
FWU00X11905X8ON00,28,27,36,22,22,23,19,16,,,,,
FWU00X1190618ON00,,,,1,1,,3,,,,,,
FWU00X11906X8ON00,,,,1,1,,3,,,,,,
FWU00X1190718ON00,,,,,,,,1,,,,,
FWU00X11907X8ON00,,,,,,,,1,,,,,
FWU00X1190818ON00,9,6,7,9,7,3,5,11,,,,,
FWU00X11908X8ON00,9,6,7,9,7,3,5,11,,,,,
FWU00X1191118ON00,6,8,3,5,,3,3,4,,,,,
FWU00X11911X8ON00,6,8,3,5,,3,3,4,,,,,
FWU00X1191218ON00,,,,,,,,1,,,,,
FWU00X11912X8ON00,,,,,,,,1,,,,,
FWU00X1191318ON00,,,1,,,,2,,,,,,
FWU00X11913X8ON00,,,1,,,,2,,,,,,
FWU00X1191418ON00,15,30,20,20,19,23,16,17,,,,,
FWU00X11914X8ON00,15,30,20,20,19,23,16,17,,,,,
FWU00X1191518ON00,6,4,1,4,1,,,1,,,,,
FWU00X11915X8ON00,6,4,1,4,1,,,1,,,,,
FWU00X11919X8ON00,40,38,19,21,9,10,13,4,,,,,
FWU00X119XXX8ON00,402,377,341,377,328,336,338,327,,,,,
FWU00X11XXXX8ON00,467,445,408,440,379,377,396,387,,,,,
FWU00X1310218ON00,,,2,,3,,1,2,,,,,
FWU00X1310238ON00,,,,,,1,,,,,,,
FWU00X13102X8ON00,,,2,,5,1,1,3,,,,,
FWU00X1310318ON00,,4,3,3,,,3,5,,,,,
FWU00X13103X8ON00,,4,3,3,,,3,5,,,,,
FWU00X1310418ON00,3,2,,,,,,1,,,,,
FWU00X13104X8ON00,3,2,,,,,,1,,,,,
FWU00X1310518ON00,1,1,,3,,,,,,,,,
FWU00X13105X8ON00,1,1,,3,,,,,,,,,
FWU00X1310718ON00,,,,4,,,,,,,,,
FWU00X1310758ON00,,,,,,,,1,,,,,
FWU00X13107X8ON00,4,,,4,,,,1,,,,,
FWU00X1310818ON00,,,1,,,,,,,,,,
FWU00X13108X8ON00,,,1,,,,,,,,,,
FWU00X1311118ON00,,1,2,4,,6,,,,,,,
FWU00X13111X8ON00,,1,2,4,,6,,,,,,,
FWU00X1311218ON00,,1,,,3,,,1,,,,,
FWU00X13112X8ON00,,1,,,3,,,1,,,,,
FWU00X1311318ON00,,,,,,,3,,,,,,
FWU00X13113X8ON00,,,,,,,3,,,,,,
FWU00X1311518ON00,3,,,,,,1,,,,,,
FWU00X13115X8ON00,3,,,,,,1,,,,,,
FWU00X1311618ON00,,,,,,,,3,,,,,
FWU00X13116X8ON00,,,,,,,,3,,,,,
FWU00X13119X8ON00,,3,,,,,,6,,,,,
FWU00X131XXX8ON00,18,16,12,22,17,14,12,24,,,,,
FWU00X1320118ON00,7,,3,3,5,7,5,6,,,,,
FWU00X13201X8ON00,7,,3,3,5,7,5,6,,,,,
FWU00X1320218ON00,,,,,,,,1,,,,,
FWU00X13202X8ON00,,,,,,,,1,,,,,
FWU00X1320518ON00,,,1,,,1,,3,,,,,
FWU00X1320528ON00,,,1,,,,4,,,,,,
FWU00X13205X8ON00,,,2,,,5,4,5,,,,,
FWU00X1320728ON00,,,1,,1,,3,,,,,,
FWU00X13207X8ON00,,,1,,1,,3,,,,,,
FWU00X1320828ON00,,,1,,,,,,,,,,
FWU00X13208X8ON00,,,1,,,,,,,,,,
FWU00X13209X8ON00,2,2,2,,3,1,3,2,,,,,
