Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUAEX0000008ON00,714,736,777,753,758,834,872,946,,,,,
FWUAEX1110118ON00,,,,,,,1,1,,,,,
FWUAEX11101X8ON00,,,,,,,1,1,,,,,
FWUAEX1110218ON00,,,1,2,,,,,,,,,
FWUAEX11102X8ON00,,,1,2,,,,,,,,,
FWUAEX111XXX8ON00,,,1,2,,,3,,,,,,
FWUAEX1120228ON00,,,,,,,,1,,,,,
FWUAEX11202X8ON00,,,,,,,,1,,,,,
FWUAEX112XXX8ON00,,,,,,,,1,,,,,
FWUAEX1130118ON00,,,,1,,,,,,,,,
FWUAEX11301X8ON00,,,,1,,,,,,,,,
FWUAEX1130318ON00,1,,,,,,,,,,,,
FWUAEX11303X8ON00,1,,,,,,,,,,,,
FWUAEX1130518ON00,,,,,,,1,,,,,,
FWUAEX11305X8ON00,,,,,,,1,,,,,,
FWUAEX1131218ON00,,1,,,,,,,,,,,
FWUAEX11312X8ON00,,1,,,,,,,,,,,
FWUAEX113XXX8ON00,3,4,,4,,,3,,,,,,
FWUAEX1190138ON00,12,11,6,12,10,12,11,17,,,,,
FWUAEX11901X8ON00,12,11,6,12,10,12,11,17,,,,,
FWUAEX1190218ON00,,,,1,1,,2,1,,,,,
FWUAEX11902X8ON00,,,,1,1,,2,1,,,,,
FWUAEX1190338ON00,,,,1,,,,,,,,,
FWUAEX11903X8ON00,1,,,1,,,,,,,,,
FWUAEX1190518ON00,3,5,3,,4,4,4,,,,,,
FWUAEX11905X8ON00,3,5,3,,4,4,4,,,,,,
FWUAEX1190818ON00,1,1,,,,,,,,,,,
FWUAEX11908X8ON00,1,1,,,,,,,,,,,
FWUAEX1191118ON00,,,1,1,,,,,,,,,
FWUAEX11911X8ON00,,,1,1,,,,,,,,,
FWUAEX1191418ON00,,4,1,,,,,,,,,,
FWUAEX11914X8ON00,,4,1,,,,,,,,,,
FWUAEX1191518ON00,,,,,,1,,,,,,,
FWUAEX11915X8ON00,,,,,,1,,,,,,,
FWUAEX11919X8ON00,3,,3,1,1,,,,,,,,
FWUAEX119XXX8ON00,23,24,18,17,20,22,22,22,,,,,
FWUAEX11XXXX8ON00,26,29,21,25,25,25,28,27,,,,,
FWUAEX1310418ON00,,1,,,,1,,,,,,,
FWUAEX13104X8ON00,,1,,,,1,,,,,,,
FWUAEX131XXX8ON00,,3,,,5,,,4,,,,,
FWUAEX1320118ON00,1,,,,,,,2,,,,,
FWUAEX13201X8ON00,1,,,,,,,2,,,,,
FWUAEX1320528ON00,,,,,,,,1,,,,,
FWUAEX13209X8ON00,,,,,,,1,,,,,,
FWUAEX132XXX8ON00,1,,,,,,3,4,,,,,
FWUAEX13XXXX8ON00,,4,,3,5,5,3,8,,,,,
FWUAEX1511528ON00,,,1,,,,,,,,,,
FWUAEX15115X8ON00,,,1,,,,,,,,,,
FWUAEX15119X8ON00,,,1,,,,,,,,,,
FWUAEX1511XX8ON00,,,2,,,,4,,,,,,
FWUAEX151XXX8ON00,,,2,,,,,,,,,,
FWUAEX15XXXX8ON00,,,2,,,,4,,,,,,
FWUAEX1710228ON00,,,3,,,,,,,,,,
FWUAEX17102X8ON00,,,3,,,,,,,,,,
FWUAEX171XXX8ON00,,,3,,,,,,,,,,
FWUAEX1720518ON00,,3,,,,,,,,,,,
FWUAEX17205X8ON00,,3,,,,,,,,,,,
FWUAEX1721128ON00,,,1,,,,,,,,,,
FWUAEX17211X8ON00,,,1,,,,,,,,,,
FWUAEX1721218ON00,,,,,,1,,,,,,,
FWUAEX17212X8ON00,,,,,,1,,,,,,,
FWUAEX1721418ON00,,,,,1,,,,,,,,
FWUAEX17214X8ON00,,,,,1,,,,,,,,
FWUAEX1721518ON00,,,,,,,1,,,,,,
FWUAEX17215X8ON00,,,,,,,1,,,,,,
FWUAEX172XXX8ON00,4,5,3,6,3,3,1,4,,,,,
FWUAEX1730118ON00,,,,,,1,,,,,,,
FWUAEX1730238ON00,,,1,,,,,,,,,,
FWUAEX17302X8ON00,,,1,,,3,,,,,,,
FWUAEX173XXX8ON00,,,1,,,5,,,,,,,
FWUAEX17XXXX8ON00,8,8,7,8,5,10,3,5,,,,,
FWUAEX1910238ON00,,1,1,,,,,1,,,,,
FWUAEX19102X8ON00,,1,1,,,,1,1,,,,,
FWUAEX1910428ON00,,,,,,,1,,,,,,
FWUAEX19104X8ON00,,,,,,,1,,,,,,
FWUAEX191XXX8ON00,,1,1,,3,,2,3,,,,,
FWUAEX1920318ON00,,,,,,,,1,,,,,
FWUAEX19203X8ON00,,,,,,,,1,,,,,
FWUAEX192XXX8ON00,,,,,,,,1,,,,,
FWUAEX1930318ON00,,1,,,,,,,,,,,
FWUAEX19303X8ON00,,1,,,,,,,,,,,
FWUAEX193XXX8ON00,,1,,,,,,,,,,,
FWUAEX1940518ON00,1,,,,,,,,,,,,
FWUAEX19405X8ON00,1,,,,,,,,,,,,
FWUAEX1940938ON00,,,,,1,,,,,,,,
FWUAEX19409X8ON00,,,,,1,,,,,,,,
FWUAEX194XXX8ON00,3,,3,,1,,,,,,,,
FWUAEX19XXXX8ON00,4,4,6,,4,,3,6,,,,,
FWUAEX2110148ON00,,2,,,,,,,,,,,
FWUAEX2110158ON00,,1,,,,,,,,,,,
FWUAEX21101X8ON00,,3,,,,,,3,,,,,
FWUAEX2110228ON00,,1,,,,,,,,,,,
FWUAEX2110238ON00,,,,,,,1,,,,,,
FWUAEX21102X8ON00,3,3,,3,,,3,,,,,,
FWUAEX2110928ON00,,,,,1,1,,,,,,,
FWUAEX2110938ON00,1,,,,,,,,,,,,
FWUAEX21109X8ON00,,,,,1,1,,,,,,,
FWUAEX211XXX8ON00,7,7,,5,3,3,7,4,,,,,
FWUAEX2120118ON00,1,1,1,,,,,,,,,,
FWUAEX21201X8ON00,1,1,1,,,,,,,,,,
FWUAEX2120218ON00,,1,,1,,,1,,,,,,
FWUAEX21202X8ON00,,1,,1,,,1,,,,,,
FWUAEX21209X8ON00,,1,,,,2,,,,,,,
FWUAEX212XXX8ON00,1,3,1,3,,,1,,,,,,
FWUAEX21XXXX8ON00,8,10,1,8,4,6,8,4,,,,,
FWUAEX2310118ON00,,,,,1,,,,,,,,
FWUAEX23101X8ON00,,,,,1,,,,,,,,
FWUAEX231XXX8ON00,,,,,1,,,,,,,,
FWUAEX23XXXX8ON00,,,,,1,,,,,,,,
FWUAEX2511948ON00,,,,,1,,,,,,,,
FWUAEX25119X8ON00,,,,,1,,,,,,,,
FWUAEX251XXX8ON00,,,,,1,,,,,,,,
FWUAEX2520218ON00,,2,,,,,,,,,,,
FWUAEX25202X8ON00,,2,,,,,,,,,,,
FWUAEX2520318ON00,,,,,,,1,,,,,,
FWUAEX25203X8ON00,,,,,,,1,,,,,,
FWUAEX2520548ON00,,,,,,1,,,,,,,
FWUAEX25205X8ON00,,,,,,1,,,,,,,
FWUAEX252XXX8ON00,,2,,,,,1,,,,,,
FWUAEX2530218ON00,,2,,,,,3,1,,,,,
FWUAEX25302X8ON00,,2,,,,,3,1,,,,,
FWUAEX253XXX8ON00,,2,,,,,3,1,,,,,
FWUAEX25XXXX8ON00,,4,,,4,4,4,3,,,,,
FWUAEX2710138ON00,,,,,,,1,,,,,,
FWUAEX27101X8ON00,,,2,,,3,1,,,,,,
FWUAEX2710248ON00,,,1,,,,,,,,,,
FWUAEX27102X8ON00,,,1,,,,,4,,,,,
FWUAEX271XXX8ON00,,,3,,,3,1,6,,,,,
FWUAEX2720118ON00,,,,,,,1,,,,,,
FWUAEX2720128ON00,,,,,,,,1,,,,,
FWUAEX27201X8ON00,,,,,,,1,1,,,,,
FWUAEX2720218ON00,3,7,4,,5,6,3,3,,,,,
FWUAEX2720228ON00,,,2,,1,,,,,,,,
FWUAEX2720238ON00,1,,,,,,,,,,,,
FWUAEX27202X8ON00,4,7,6,,6,7,4,3,,,,,
FWUAEX2720428ON00,,,,,5,4,2,5,,,,,
FWUAEX27204X8ON00,,,,,5,4,2,5,,,,,
FWUAEX27209X8ON00,1,,,,,,,,,,,,
FWUAEX272XXX8ON00,7,9,10,,13,11,7,10,,,,,
FWUAEX2730228ON00,,,,,1,,,,,,,,
FWUAEX27302X8ON00,,,,,1,,,,,,,,
FWUAEX273XXX8ON00,,,,,1,,,,,,,,
FWUAEX2740118ON00,,,,,,,1,,,,,,
FWUAEX2740138ON00,,,,1,,,,,,,,,
FWUAEX2740148ON00,,,,,1,,,,,,,,
FWUAEX27401X8ON00,,,,1,1,,,,,,,,
FWUAEX2740218ON00,,1,3,,1,,,,,,,,
FWUAEX27402X8ON00,,1,3,,1,,,,,,,,
FWUAEX2740318ON00,,,,1,,,,,,,,,
FWUAEX27403X8ON00,,,,1,,,,,,,,,
FWUAEX274XXX8ON00,,1,3,2,2,,,,,,,,
FWUAEX27XXXX8ON00,9,12,16,2,17,17,10,16,,,,,
FWUAEX2910218ON00,,,,,1,,,,,,,,
FWUAEX29102X8ON00,,,,,1,,,,,,,,
FWUAEX2910618ON00,,,1,,,,,,,,,,
FWUAEX2910628ON00,,,1,,,,,,,,,,
FWUAEX29106X8ON00,,,3,,,,,,,,,,
FWUAEX2910718ON00,,,,1,,,,,,,,,
FWUAEX29107X8ON00,,,,1,,,,,,,,,
FWUAEX2911228ON00,,,,,,,,1,,,,,
FWUAEX29112X8ON00,,,,,,,,4,,,,,
FWUAEX2911318ON00,1,,,,,,,,,,,,
FWUAEX29113X8ON00,1,,,,,,,,,,,,
FWUAEX2911418ON00,1,,4,4,3,3,,,,,,,
FWUAEX29114X8ON00,1,,4,4,3,3,,,,,,,
FWUAEX2911718ON00,,,,,,,,,,,,,
FWUAEX29117X8ON00,,,,,,,,,,,,,
FWUAEX291XXX8ON00,5,4,7,8,4,3,3,6,,,,,
FWUAEX2920118ON00,,,,1,,,,,,,,,
FWUAEX2920418ON00,,,3,5,1,,,3,,,,,
FWUAEX29204X8ON00,,,3,5,1,,,3,,,,,
FWUAEX2920568ON00,1,,,,,,,,,,,,
FWUAEX29205X8ON00,1,,,,,,,,,,,,
FWUAEX2920618ON00,1,,,,,,,1,,,,,
FWUAEX29206X8ON00,1,,,,,,,1,,,,,
FWUAEX2920818ON00,,,,,,,1,,,,,,
FWUAEX29208X8ON00,,,,,,,1,,,,,,
FWUAEX292XXX8ON00,2,4,6,7,1,6,3,7,,,,,
FWUAEX2990118ON00,1,,,,3,,,,,,,,
FWUAEX29901X8ON00,1,,,,3,,,,,,,,
FWUAEX299XXX8ON00,1,,,,3,,,,,,,,
FWUAEX29XXXX8ON00,8,10,14,17,8,11,7,13,,,,,
FWUAEX3110118ON00,,,4,,3,4,3,,,,,,
FWUAEX31101X8ON00,3,,4,,3,6,5,,,,,,
FWUAEX311XXX8ON00,3,,4,,3,6,5,,,,,,
FWUAEX31909X8ON00,,,,,3,,,,,,,,
FWUAEX319XXX8ON00,,,,,3,3,,,,,,,
FWUAEX31XXXX8ON00,5,,4,,6,9,7,4,,,,,
FWUAEX3310128ON00,1,,,,,,1,4,,,,,
FWUAEX33101X8ON00,1,,,,,,,4,,,,,
FWUAEX3310218ON00,,1,,,,,,,,,,,
FWUAEX33102X8ON00,,1,,,,,,,,,,,
FWUAEX331XXX8ON00,1,1,,,,,,6,,,,,
FWUAEX3320118ON00,,4,20,4,6,8,11,8,,,,,
FWUAEX33201X8ON00,,4,20,4,6,8,11,8,,,,,
FWUAEX3320228ON00,,,,1,,,,,,,,,
FWUAEX33202X8ON00,,,,3,,,,,,,,,
FWUAEX332XXX8ON00,,4,20,7,6,8,11,8,,,,,
FWUAEX3330128ON00,,,2,,,1,,,,,,,
FWUAEX33301X8ON00,,,2,,,1,,,,,,,
FWUAEX3330218ON00,1,,,,,2,4,,,,,,
FWUAEX33302X8ON00,1,,,,,2,4,,,,,,
FWUAEX3330418ON00,1,,,,,,,,,,,,
FWUAEX33304X8ON00,1,,,,,,,,,,,,
FWUAEX3330518ON00,41,37,20,29,25,43,33,35,,,,,
FWUAEX3330528ON00,,,,,,,,,,,,,
FWUAEX33305X8ON00,41,37,20,29,25,43,33,35,,,,,
FWUAEX333XXX8ON00,44,39,23,29,29,46,39,38,,,,,
FWUAEX3390328ON00,22,10,8,8,10,12,13,13,,,,,
FWUAEX33903X8ON00,22,10,8,8,10,12,13,13,,,,,
FWUAEX3390928ON00,,,,,,1,1,,,,,,
FWUAEX33909X8ON00,,1,,,3,3,3,3,,,,,
