Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUAFX0000008ON00,875,829,853,860,864,979,907,966,,,,,
FWUAFX1110118ON00,5,,,,1,,,3,,,,,
FWUAFX11101X8ON00,5,,,,1,,,3,,,,,
FWUAFX1110218ON00,3,,4,3,3,,6,2,,,,,
FWUAFX11102X8ON00,3,,4,3,3,,6,2,,,,,
FWUAFX111XXX8ON00,8,,5,3,4,,7,5,,,,,
FWUAFX1120118ON00,,,,,,,1,,,,,,
FWUAFX11201X8ON00,,,,,,,1,,,,,,
FWUAFX1120218ON00,,1,,,,,,1,,,,,
FWUAFX1120228ON00,,1,,,,,3,,,,,,
FWUAFX11202X8ON00,,2,4,,,,3,1,,,,,
FWUAFX112XXX8ON00,,2,5,,,,4,,,,,,
FWUAFX1130218ON00,1,,,1,,,1,,,,,,
FWUAFX11302X8ON00,1,,,1,,,1,,,,,,
FWUAFX1130318ON00,,,,,,1,,,,,,,
FWUAFX11303X8ON00,,,,,,1,,,,,,,
FWUAFX1130518ON00,,,2,,,,,,,,,,
FWUAFX11305X8ON00,,,2,,,,,,,,,,
FWUAFX1130718ON00,,,,,,,1,,,,,,
FWUAFX11307X8ON00,,,,,,,1,,,,,,
FWUAFX1131218ON00,,,,1,,,,,,,,,
FWUAFX11312X8ON00,,,,1,,,,,,,,,
FWUAFX113XXX8ON00,7,4,2,5,4,8,4,,,,,,
FWUAFX1190138ON00,17,9,10,14,16,13,18,15,,,,,
FWUAFX11901X8ON00,17,9,10,14,16,13,18,15,,,,,
FWUAFX1190218ON00,3,2,3,,,1,,,,,,,
FWUAFX11902X8ON00,3,2,3,,,1,,,,,,,
FWUAFX1190328ON00,,,,,,,1,,,,,,
FWUAFX1190338ON00,,,,,1,,,,,,,,
FWUAFX11903X8ON00,,,,,1,,1,,,,,,
FWUAFX1190518ON00,6,4,5,5,6,3,6,5,,,,,
FWUAFX11905X8ON00,6,4,5,5,6,3,6,5,,,,,
FWUAFX1190818ON00,,,,,,,,,,,,,
FWUAFX11908X8ON00,,,,,,,,,,,,,
FWUAFX1191118ON00,,,,,,1,,,,,,,
FWUAFX11911X8ON00,,,,,,1,,,,,,,
FWUAFX1191418ON00,,2,1,,3,3,1,,,,,,
FWUAFX11914X8ON00,,2,1,,3,3,1,,,,,,
FWUAFX1191518ON00,,,,,,,,1,,,,,
FWUAFX11915X8ON00,,,,,,,,1,,,,,
FWUAFX11919X8ON00,,4,,3,,4,,,,,,,
FWUAFX119XXX8ON00,34,23,27,26,29,27,31,25,,,,,
FWUAFX11XXXX8ON00,50,31,39,36,39,35,46,32,,,,,
FWUAFX1310118ON00,,,,,,,,,,,,,
FWUAFX13101X8ON00,,,,,,,,,,,,,
FWUAFX1310418ON00,,,,,,,,,,,,,
FWUAFX13104X8ON00,,,,,,,,,,,,,
FWUAFX1311118ON00,,,,,,1,,,,,,,
FWUAFX13111X8ON00,,,,,,1,,,,,,,
FWUAFX1311318ON00,,,,,,,1,,,,,,
FWUAFX13113X8ON00,,,,,,,1,,,,,,
FWUAFX13119X8ON00,,2,,,,,,,,,,,
FWUAFX131XXX8ON00,5,3,4,,,1,,5,,,,,
FWUAFX1320538ON00,,,,,,1,,,,,,,
FWUAFX13205X8ON00,,,,,,3,,,,,,,
FWUAFX132XXX8ON00,,,,,,3,3,,,,,,
FWUAFX13XXXX8ON00,6,3,6,,3,4,5,5,,,,,
FWUAFX1511338ON00,,,,,,1,,,,,,,
FWUAFX15113X8ON00,,,,,,1,,,,,,,
FWUAFX1511418ON00,,,,1,,,,,,,,,
FWUAFX15114X8ON00,,,,1,,,,,,,,,
FWUAFX1511518ON00,,,,1,,,,,,,,,
FWUAFX15115X8ON00,,,,1,,,,,,,,,
FWUAFX1511XX8ON00,,,,4,,3,3,3,,,,,
FWUAFX1512XX8ON00,,,,,,,,,,,,,
FWUAFX151XXX8ON00,,,,4,,3,,,,,,,
FWUAFX15XXXX8ON00,,,,4,,3,3,3,,,,,
FWUAFX1710228ON00,,,,1,,4,1,,,,,,
FWUAFX17102X8ON00,,,,1,,4,1,,,,,,
FWUAFX171XXX8ON00,,,,1,,4,,,,,,,
FWUAFX1720118ON00,,,,3,,,,,,,,,
FWUAFX17201X8ON00,,,,3,,,,,,,,,
FWUAFX1720518ON00,,,,,1,,,2,,,,,
FWUAFX17205X8ON00,,,,,1,,,2,,,,,
FWUAFX1720718ON00,,,,,,,2,,,,,,
FWUAFX1720728ON00,1,,,,,,,,,,,,
FWUAFX17207X8ON00,,,,,,,2,,,,,,
