Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUAGX0000008ON00,1222,1161,1115,1161,1130,1145,1059,1114,,,,,
FWUAGX1110118ON00,9,7,3,3,,5,3,8,,,,,
FWUAGX11101X8ON00,9,7,3,3,,5,3,8,,,,,
FWUAGX1110218ON00,3,4,4,,,,1,7,,,,,
FWUAGX11102X8ON00,3,4,4,,,,1,7,,,,,
FWUAGX111XXX8ON00,12,11,7,5,,7,4,15,,,,,
FWUAGX1120218ON00,,,,,,,1,,,,,,
FWUAGX1120228ON00,,4,5,,,,,,,,,,
FWUAGX11202X8ON00,,4,6,,,,3,,,,,,
FWUAGX1120318ON00,,,,,,,1,,,,,,
FWUAGX11203X8ON00,,,,,,,1,,,,,,
FWUAGX112XXX8ON00,,4,7,,,,5,,,,,,
FWUAGX1130118ON00,,1,3,,,,,,,,,,
FWUAGX11301X8ON00,,1,3,,,,,,,,,,
FWUAGX1130218ON00,2,,1,,,,1,,,,,,
FWUAGX11302X8ON00,2,,1,,,,1,,,,,,
FWUAGX1130318ON00,,1,1,,,,,,,,,,
FWUAGX11303X8ON00,,1,1,,,,,,,,,,
FWUAGX1130518ON00,,,1,,1,,,,,,,,
FWUAGX11305X8ON00,,,1,,1,,,,,,,,
FWUAGX1130718ON00,,6,3,3,1,,1,,,,,,
FWUAGX11307X8ON00,,6,3,3,1,,1,,,,,,
FWUAGX1131218ON00,,,,1,,,,,,,,,
FWUAGX11312X8ON00,,,,1,,,,,,,,,
FWUAGX113XXX8ON00,6,8,10,9,5,6,6,4,,,,,
FWUAGX1190138ON00,39,32,35,30,28,29,20,26,,,,,
FWUAGX11901X8ON00,39,32,35,30,28,29,20,26,,,,,
FWUAGX1190218ON00,6,7,,3,,,3,1,,,,,
FWUAGX11902X8ON00,6,7,,3,,,3,1,,,,,
