Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUAHX0000008ON00,936,936,933,1007,1031,1160,1155,1104,,,,,
FWUAHX1110118ON00,4,8,5,4,4,,,7,,,,,
FWUAHX11101X8ON00,4,8,5,4,4,,,7,,,,,
FWUAHX1110218ON00,,5,,4,3,,3,,,,,,
FWUAHX11102X8ON00,,5,,4,3,,3,,,,,,
FWUAHX1110318ON00,,,,,,1,,,,,,,
FWUAHX11103X8ON00,,,,,,1,,,,,,,
FWUAHX111XXX8ON00,6,13,6,8,7,,5,9,,,,,
FWUAHX1120218ON00,,,1,,,,,,,,,,
FWUAHX1120228ON00,3,3,2,3,,,3,,,,,,
FWUAHX11202X8ON00,4,3,3,3,,,3,3,,,,,
FWUAHX1120318ON00,,,,1,,,,,,,,,
FWUAHX11203X8ON00,,,,1,,,,,,,,,
FWUAHX112XXX8ON00,4,3,4,4,3,,3,3,,,,,
FWUAHX1130118ON00,,,,,,1,,,,,,,
FWUAHX11301X8ON00,,,,,,1,,,,,,,
FWUAHX1130218ON00,,1,,,,,,,,,,,
FWUAHX11302X8ON00,,1,,,,,,,,,,,
FWUAHX1130518ON00,,,,1,,,1,,,,,,
FWUAHX11305X8ON00,,,,1,,,1,,,,,,
FWUAHX1130618ON00,,,1,,,,1,,,,,,
FWUAHX11306X8ON00,,,1,,,,1,,,,,,
FWUAHX1130718ON00,,,,,1,,,3,,,,,
FWUAHX11307X8ON00,,,,,1,,,3,,,,,
FWUAHX1131318ON00,,,1,,,,,,,,,,
FWUAHX11313X8ON00,,,1,,,,,,,,,,
FWUAHX113XXX8ON00,5,6,5,7,5,5,5,5,,,,,
FWUAHX1190138ON00,64,54,64,55,71,67,45,56,,,,,
FWUAHX11901X8ON00,64,54,64,55,71,67,45,56,,,,,
FWUAHX1190218ON00,7,6,6,6,4,,3,3,,,,,
FWUAHX11902X8ON00,7,6,6,6,4,,3,3,,,,,
FWUAHX1190328ON00,1,2,,,,,,,,,,,
FWUAHX1190338ON00,1,1,,,,,,,,,,,
FWUAHX11903X8ON00,2,4,,,,,,,,,,,
FWUAHX1190418ON00,,,,,,,,1,,,,,
FWUAHX11904X8ON00,,,,,,,,1,,,,,
FWUAHX1190518ON00,5,9,8,6,3,5,,4,,,,,
FWUAHX11905X8ON00,5,9,8,6,3,5,,4,,,,,
FWUAHX1190618ON00,,,,,1,,,,,,,,
FWUAHX11906X8ON00,,,,,1,,,,,,,,
FWUAHX1190818ON00,2,,,3,2,1,2,5,,,,,
FWUAHX11908X8ON00,2,,,3,2,1,2,5,,,,,
FWUAHX1191118ON00,3,,,,,,,,,,,,
FWUAHX11911X8ON00,3,,,,,,,,,,,,
FWUAHX1191418ON00,3,6,3,8,5,7,3,3,,,,,
FWUAHX11914X8ON00,3,6,3,8,5,7,3,3,,,,,
FWUAHX1191518ON00,3,,,,1,,,,,,,,
FWUAHX11915X8ON00,3,,,,1,,,,,,,,
FWUAHX11919X8ON00,19,15,6,6,1,4,4,,,,,,
FWUAHX119XXX8ON00,109,99,89,87,89,86,60,77,,,,,
FWUAHX11XXXX8ON00,124,121,104,106,104,93,73,94,,,,,
FWUAHX1310218ON00,,,1,,2,,,,,,,,
FWUAHX13102X8ON00,,,1,,,,,,,,,,
FWUAHX1310318ON00,,,,,,,,3,,,,,
FWUAHX13103X8ON00,,,,,,,,3,,,,,
FWUAHX1310418ON00,3,,,,1,1,,,,,,,
FWUAHX13104X8ON00,3,,,,1,1,,,,,,,
FWUAHX1310718ON00,,,,3,,,,,,,,,
FWUAHX13107X8ON00,,,,3,,,,,,,,,
FWUAHX1311118ON00,,1,,3,,1,,,,,,,
FWUAHX13111X8ON00,,1,,3,,1,,,,,,,
FWUAHX1311318ON00,,,,,,,1,,,,,,
FWUAHX13113X8ON00,,,,,,,1,,,,,,
