Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUAIX0000008ON00,569,588,557,684,650,688,775,759,,,,,
FWUAIX1110118ON00,4,4,9,4,3,3,3,4,,,,,
FWUAIX11101X8ON00,4,4,9,4,3,3,3,4,,,,,
FWUAIX1110218ON00,1,1,,3,4,,,4,,,,,
FWUAIX11102X8ON00,1,1,,3,4,,,4,,,,,
FWUAIX1110318ON00,,1,,,,,,,,,,,
FWUAIX11103X8ON00,,1,,,,,,,,,,,
FWUAIX111XXX8ON00,5,6,11,7,7,3,5,8,,,,,
FWUAIX1130318ON00,1,,,,1,,,,,,,,
FWUAIX11303X8ON00,1,,,,1,,,,,,,,
FWUAIX1130518ON00,1,,,,,1,1,,,,,,
FWUAIX11305X8ON00,1,,,,,1,1,,,,,,
FWUAIX1130718ON00,,,,,1,,,,,,,,
FWUAIX11307X8ON00,,,,,1,,,,,,,,
FWUAIX1131218ON00,,,1,,,,,,,,,,
FWUAIX11312X8ON00,,,1,,,,,,,,,,
FWUAIX113XXX8ON00,6,,,3,3,,3,,,,,,
FWUAIX1190138ON00,134,122,115,156,124,139,162,138,,,,,
FWUAIX11901X8ON00,134,122,115,156,124,139,162,138,,,,,
FWUAIX1190218ON00,3,7,3,3,5,,3,,,,,,
FWUAIX11902X8ON00,3,7,3,3,5,,3,,,,,,
FWUAIX1190328ON00,,,,1,,1,,,,,,,
FWUAIX1190338ON00,,,,,,,,1,,,,,
FWUAIX11903X8ON00,,,,3,,,,1,,,,,
FWUAIX1190518ON00,9,3,4,4,,5,1,,,,,,
FWUAIX11905X8ON00,9,3,4,4,,5,1,,,,,,
FWUAIX1190618ON00,,,,1,,,,,,,,,
FWUAIX11906X8ON00,,,,1,,,,,,,,,
FWUAIX1190818ON00,,2,3,3,,,3,,,,,,
FWUAIX11908X8ON00,,2,3,3,,,3,,,,,,
FWUAIX1191118ON00,1,,,,,,,,,,,,
FWUAIX11911X8ON00,1,,,,,,,,,,,,
FWUAIX1191218ON00,,,,,,,,1,,,,,
FWUAIX11912X8ON00,,,,,,,,1,,,,,
FWUAIX1191418ON00,5,7,8,6,5,4,9,10,,,,,
FWUAIX11914X8ON00,5,7,8,6,5,4,9,10,,,,,
FWUAIX1191518ON00,,,,3,,,,,,,,,
FWUAIX11915X8ON00,,,,3,,,,,,,,,
FWUAIX11919X8ON00,5,8,7,6,1,,4,,,,,,
FWUAIX119XXX8ON00,162,152,144,187,140,152,184,156,,,,,
FWUAIX11XXXX8ON00,173,161,157,197,152,159,193,166,,,,,
FWUAIX1310118ON00,,,,,,1,,,,,,,
FWUAIX13101X8ON00,,,,,,1,,,,,,,
FWUAIX1310218ON00,,,1,,1,,,,,,,,
FWUAIX1310228ON00,,,,,,,,,,,,,
FWUAIX1310238ON00,,,,,,1,,,,,,,
FWUAIX13102X8ON00,,,1,,1,1,,,,,,,
FWUAIX1310318ON00,,,,,,,,,,,,,
FWUAIX13103X8ON00,,,,,,,,,,,,,
FWUAIX1310518ON00,1,1,,,,,,,,,,,
FWUAIX13105X8ON00,1,1,,,,,,,,,,,
FWUAIX1310818ON00,,,1,,,,,,,,,,
FWUAIX13108X8ON00,,,1,,,,,,,,,,
FWUAIX13119X8ON00,,,,,,,,,,,,,
FWUAIX131XXX8ON00,1,4,3,,1,4,4,5,,,,,
FWUAIX1320118ON00,2,,1,,,,,,,,,,
FWUAIX13201X8ON00,2,,1,,,,,,,,,,
FWUAIX132XXX8ON00,2,,1,,5,,,3,,,,,
FWUAIX13XXXX8ON00,3,5,4,3,6,6,6,8,,,,,
FWUAIX1511318ON00,,,,,,1,,,,,,,
FWUAIX15113X8ON00,,,,,,1,,,,,,,
FWUAIX1511XX8ON00,,,,,,1,,,,,,,
