Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUE1X0000008ON00,791,803,773,765,703,866,807,828,,,,,
FWUE1X1110118ON00,6,5,6,4,6,6,,9,,,,,
FWUE1X11101X8ON00,6,5,6,4,6,6,,9,,,,,
FWUE1X1110218ON00,5,,,3,5,,7,7,,,,,
FWUE1X11102X8ON00,5,,,3,5,,7,7,,,,,
FWUE1X111XXX8ON00,11,7,7,7,11,8,9,16,,,,,
FWUE1X1120218ON00,,1,1,,,,,,,,,,
FWUE1X1120228ON00,,3,,3,,,,1,,,,,
FWUE1X11202X8ON00,,4,3,3,,,,1,,,,,
FWUE1X112XXX8ON00,,5,3,3,,,4,1,,,,,
FWUE1X1130118ON00,4,3,,,,3,,,,,,,
FWUE1X11301X8ON00,4,3,,,,3,,,,,,,
FWUE1X1130318ON00,3,,,3,4,,5,,,,,,
FWUE1X11303X8ON00,3,,,3,4,,5,,,,,,
FWUE1X1130518ON00,,,,,,,1,1,,,,,
FWUE1X11305X8ON00,,,,,,,1,1,,,,,
FWUE1X1130718ON00,,4,,4,2,,3,3,,,,,
FWUE1X11307X8ON00,,4,,4,2,,3,3,,,,,
FWUE1X1131218ON00,,,,1,,,,,,,,,
FWUE1X11312X8ON00,,,,1,,,,,,,,,
FWUE1X113XXX8ON00,13,9,8,13,9,8,10,6,,,,,
FWUE1X1190138ON00,20,13,22,23,19,31,30,26,,,,,
FWUE1X11901X8ON00,20,13,22,23,19,31,30,26,,,,,
FWUE1X1190218ON00,4,6,4,5,,,6,,,,,,
FWUE1X11902X8ON00,4,6,4,5,,,6,,,,,,
FWUE1X1190328ON00,3,2,,,,1,,1,,,,,
FWUE1X1190338ON00,,,,1,,,,,,,,,
FWUE1X11903X8ON00,4,3,,1,,1,,1,,,,,
FWUE1X1190518ON00,21,20,29,11,14,18,14,8,,,,,
FWUE1X11905X8ON00,21,20,29,11,14,18,14,8,,,,,
FWUE1X1190818ON00,6,4,3,,5,,3,6,,,,,
FWUE1X11908X8ON00,6,4,3,,5,,3,6,,,,,
FWUE1X1191118ON00,3,3,,,,1,,,,,,,
FWUE1X11911X8ON00,3,3,,,,1,,,,,,,
FWUE1X1191418ON00,11,15,15,13,7,15,10,9,,,,,
FWUE1X11914X8ON00,11,15,15,13,7,15,10,9,,,,,
FWUE1X1191518ON00,,,,,1,,,,,,,,
FWUE1X11915X8ON00,,,,,1,,,,,,,,
FWUE1X11919X8ON00,19,20,11,9,,4,4,,,,,,
FWUE1X119XXX8ON00,89,87,88,65,49,77,74,59,,,,,
FWUE1X11XXXX8ON00,115,108,106,88,70,95,97,82,,,,,
FWUE1X1310118ON00,,,,,,,,,,,,,
FWUE1X13101X8ON00,,,,,,,,,,,,,
FWUE1X1310218ON00,,,,,,,,1,,,,,
FWUE1X1310238ON00,,,,,,1,,,,,,,
FWUE1X13102X8ON00,,,,,,1,,1,,,,,
FWUE1X1310318ON00,,1,,,,,,,,,,,
FWUE1X13103X8ON00,,1,,,,,,,,,,,
FWUE1X1310418ON00,,,,,,1,,1,,,,,
FWUE1X13104X8ON00,,,,,,1,,1,,,,,
FWUE1X1311218ON00,,1,,,1,,,,,,,,
FWUE1X13112X8ON00,,1,,,1,,,,,,,,
FWUE1X131XXX8ON00,,3,3,4,4,4,,4,,,,,
FWUE1X1320118ON00,5,,3,1,,,,1,,,,,
FWUE1X13201X8ON00,5,,3,1,,,,1,,,,,
FWUE1X1320218ON00,,,,,,,,1,,,,,
FWUE1X13202X8ON00,,,,,,,,1,,,,,
FWUE1X1320518ON00,,,1,,,,,,,,,,
FWUE1X1320528ON00,,,,,,1,3,1,,,,,
