Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUE2X0000008ON00,1937,1923,1865,1984,2054,2083,2077,2080,,,,,
FWUE2X1110118ON00,8,12,8,7,5,3,7,10,,,,,
FWUE2X11101X8ON00,8,12,8,7,5,3,7,10,,,,,
FWUE2X1110218ON00,,3,9,9,,,6,6,,,,,
FWUE2X11102X8ON00,,3,9,9,,,6,6,,,,,
FWUE2X1110318ON00,,1,,,,1,,,,,,,
FWUE2X11103X8ON00,,1,,,,1,,,,,,,
FWUE2X111XXX8ON00,10,16,17,16,7,4,13,16,,,,,
FWUE2X1120218ON00,,,,,,,,1,,,,,
FWUE2X1120228ON00,3,4,9,3,5,,3,5,,,,,
FWUE2X11202X8ON00,3,4,11,3,6,,4,6,,,,,
FWUE2X112XXX8ON00,3,4,13,5,7,,5,6,,,,,
FWUE2X1130118ON00,,4,,,,,,,,,,,
FWUE2X11301X8ON00,,4,,,,,,,,,,,
FWUE2X1130218ON00,,1,,,,1,1,,,,,,
FWUE2X11302X8ON00,,1,,,,1,1,,,,,,
FWUE2X1130318ON00,3,,,,,2,,,,,,,
FWUE2X11303X8ON00,3,,,,,2,,,,,,,
FWUE2X1130518ON00,3,,1,,,,,,,,,,
FWUE2X11305X8ON00,3,,1,,,,,,,,,,
FWUE2X1130618ON00,,,,,,,1,,,,,,
FWUE2X11306X8ON00,,,,,,,1,,,,,,
FWUE2X1130718ON00,,5,,,3,,,,,,,,
FWUE2X11307X8ON00,,5,,,3,,,,,,,,
FWUE2X1131218ON00,,,,2,,,,,,,,,
FWUE2X11312X8ON00,,,,2,,,,,,,,,
FWUE2X113XXX8ON00,8,12,3,8,4,5,4,3,,,,,
FWUE2X1190138ON00,145,113,116,123,121,116,115,127,,,,,
FWUE2X11901X8ON00,145,113,116,123,121,116,115,127,,,,,
FWUE2X1190218ON00,10,8,8,4,,3,4,,,,,,
FWUE2X11902X8ON00,10,8,8,4,,3,4,,,,,,
FWUE2X1190328ON00,,1,,1,,,,,,,,,
FWUE2X1190338ON00,1,,,,,,,,,,,,
FWUE2X11903X8ON00,,1,,1,,,,,,,,,
FWUE2X1190418ON00,,,,,,,,1,,,,,
FWUE2X11904X8ON00,,,,,,,,1,,,,,
FWUE2X1190518ON00,,,3,4,4,3,1,,,,,,
FWUE2X11905X8ON00,,,3,4,4,3,1,,,,,,
FWUE2X1190618ON00,,,,1,,,,,,,,,
FWUE2X11906X8ON00,,,,1,,,,,,,,,
FWUE2X1190818ON00,,1,,5,,1,,2,,,,,
FWUE2X11908X8ON00,,1,,5,,1,,2,,,,,
FWUE2X1191118ON00,,,,3,,,,,,,,,
FWUE2X11911X8ON00,,,,3,,,,,,,,,
FWUE2X1191318ON00,,,1,,,,,,,,,,
FWUE2X11913X8ON00,,,1,,,,,,,,,,
FWUE2X1191418ON00,1,9,,3,7,,,,,,,,
FWUE2X11914X8ON00,1,9,,3,7,,,,,,,,
FWUE2X1191518ON00,,2,1,,,,,,,,,,
FWUE2X11915X8ON00,,2,1,,,,,,,,,,
FWUE2X11919X8ON00,10,5,8,6,4,4,4,1,,,,,
FWUE2X119XXX8ON00,172,142,146,153,144,132,131,134,,,,,
FWUE2X11XXXX8ON00,193,174,179,182,162,142,153,159,,,,,
FWUE2X1310218ON00,,,2,,3,,,,,,,,
FWUE2X13102X8ON00,,,2,,4,,,,,,,,
FWUE2X1310318ON00,,,,,,,,3,,,,,
