Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUE3X0000008ON00,144,122,149,137,121,88,123,115,,,,,
FWUE3X1110218ON00,,,,,,,,1,,,,,
FWUE3X11102X8ON00,,,,,,,,1,,,,,
FWUE3X111XXX8ON00,,,,,,,,1,,,,,
FWUE3X1130718ON00,1,,,,,,,,,,,,
FWUE3X11307X8ON00,1,,,,,,,,,,,,
FWUE3X113XXX8ON00,1,,,,,,,,,,,,
FWUE3X1190138ON00,5,6,3,8,7,6,9,7,,,,,
FWUE3X11901X8ON00,5,6,3,8,7,6,9,7,,,,,
FWUE3X1190518ON00,2,,,,1,,,3,,,,,
FWUE3X11905X8ON00,2,,,,1,,,3,,,,,
FWUE3X1191218ON00,,,,1,,,,,,,,,
FWUE3X11912X8ON00,,,,1,,,,,,,,,
FWUE3X1191518ON00,1,,,,,,,,,,,,
FWUE3X11915X8ON00,1,,,,,,,,,,,,
FWUE3X11919X8ON00,,3,,,,,,,,,,,
FWUE3X119XXX8ON00,8,11,3,11,9,6,10,12,,,,,
FWUE3X11XXXX8ON00,10,12,4,11,9,6,10,14,,,,,
FWUE3X1310318ON00,,1,,,,,,,,,,,
FWUE3X13103X8ON00,,1,,,,,,,,,,,
FWUE3X131XXX8ON00,,1,,,,,,,,,,,
FWUE3X13XXXX8ON00,,1,,,,,,,,,,,
FWUE3X1721418ON00,,,,,,1,,1,,,,,
FWUE3X17214X8ON00,,,,,,1,,1,,,,,
FWUE3X172XXX8ON00,,,,,,1,,1,,,,,
FWUE3X1730238ON00,,,1,,,,,,,,,,
FWUE3X17XXXX8ON00,,,,,,1,,1,,,,,
FWUE3X1920318ON00,,1,,,,,,,,,,,
FWUE3X19203X8ON00,3,1,,,,,,,,,,,
FWUE3X192XXX8ON00,3,1,,,,,,,,,,,
FWUE3X1940318ON00,,,1,,,,,,,,,,
FWUE3X19403X8ON00,,,1,,,,,,,,,,
FWUE3X19409X8ON00,1,,,,,,,,,,,,
FWUE3X194XXX8ON00,1,,1,,,,,,,,,,
FWUE3X19XXXX8ON00,4,1,,,,,,,,,,,
FWUE3X21109X8ON00,,,,1,,,,,,,,,
FWUE3X211XXX8ON00,,,,1,,,,,,,,,
FWUE3X21XXXX8ON00,,,,1,,,,,,,,,
FWUE3X2720428ON00,,,,,,3,,,,,,,
FWUE3X27204X8ON00,,,,,,3,,,,,,,
FWUE3X272XXX8ON00,,,,,,3,,,,,,,
FWUE3X2730128ON00,,,,,,1,,,,,,,
FWUE3X27301X8ON00,,,,,,1,,,,,,,
FWUE3X273XXX8ON00,,,,,,1,,,,,,,
FWUE3X2740148ON00,,,,,,1,,,,,,,
FWUE3X27401X8ON00,,,,,,1,,,,,,,
FWUE3X274XXX8ON00,,,,,,1,,,,,,,
FWUE3X27XXXX8ON00,,,,,,5,,,,,,,
