Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUE4X0000008ON00,681,704,724,818,800,849,887,791,,,,,
FWUE4X1110118ON00,6,,4,,,,,,,,,,
FWUE4X11101X8ON00,6,,4,,,,,,,,,,
FWUE4X111XXX8ON00,6,4,4,,,,,3,,,,,
FWUE4X112XXX8ON00,,,,,,,3,,,,,,
FWUE4X1130718ON00,,,,,,,1,,,,,,
FWUE4X11307X8ON00,,,,,,,1,,,,,,
FWUE4X113XXX8ON00,,,5,5,3,,4,,,,,,
FWUE4X1190138ON00,20,18,21,30,23,22,17,15,,,,,
FWUE4X11901X8ON00,20,18,21,30,23,22,17,15,,,,,
FWUE4X1190218ON00,4,7,,4,5,,,,,,,,
FWUE4X11902X8ON00,4,7,,4,5,,,,,,,,
FWUE4X1190338ON00,,,,,,,,1,,,,,
FWUE4X11903X8ON00,,3,,3,,,,1,,,,,
FWUE4X1190418ON00,,,1,,,,,,,,,,
FWUE4X11904X8ON00,,,1,,,,,,,,,,
FWUE4X1190518ON00,,3,3,5,,,,,,,,,
FWUE4X11905X8ON00,,3,3,5,,,,,,,,,
FWUE4X1190818ON00,,,,,,,1,,,,,,
FWUE4X11908X8ON00,,,,,,,1,,,,,,
FWUE4X1191218ON00,,,,,,,,1,,,,,
FWUE4X11912X8ON00,,,,,,,,1,,,,,
FWUE4X1191418ON00,,6,3,,,4,3,5,,,,,
FWUE4X11914X8ON00,,6,3,,,4,3,5,,,,,
FWUE4X1191518ON00,3,,,,,,,,,,,,
FWUE4X11915X8ON00,3,,,,,,,,,,,,
FWUE4X11919X8ON00,,4,,,,,4,,,,,,
FWUE4X119XXX8ON00,31,42,30,50,34,28,30,30,,,,,
FWUE4X11XXXX8ON00,40,50,41,58,39,32,38,35,,,,,
FWUE4X1310518ON00,,,,1,,,,,,,,,
FWUE4X13105X8ON00,,,,1,,,,,,,,,
FWUE4X131XXX8ON00,,3,3,6,5,,,3,,,,,
FWUE4X132XXX8ON00,,,,,3,,3,,,,,,
FWUE4X13XXXX8ON00,,3,3,7,8,3,5,5,,,,,
FWUE4X1511XX8ON00,,,,3,,,,,,,,,
FWUE4X151XXX8ON00,,,,3,,,,,,,,,
FWUE4X15XXXX8ON00,,,,3,,,,,,,,,
FWUE4X1710118ON00,1,,,,,,,,,,,,
FWUE4X17101X8ON00,1,,,,,,,,,,,,
FWUE4X171XXX8ON00,1,,,,,,,,,,,,
FWUE4X1720518ON00,,,,,,,,1,,,,,
FWUE4X17205X8ON00,,,,,,,,1,,,,,
FWUE4X172XXX8ON00,,,3,3,6,4,,4,,,,,
FWUE4X17302X8ON00,,,,,1,,,,,,,,
FWUE4X173XXX8ON00,,,,,1,,,,,,,,
FWUE4X17XXXX8ON00,3,4,6,4,7,6,4,4,,,,,
FWUE4X194XXX8ON00,,,,,,,,3,,,,,
FWUE4X19XXXX8ON00,5,3,,,,,,4,,,,,
FWUE4X21101X8ON00,,,,,,,3,,,,,,
FWUE4X2110238ON00,,,,,,,1,,,,,,
FWUE4X21102X8ON00,,,,,,,3,,,,,,
FWUE4X211XXX8ON00,,,,,3,,7,,,,,,
FWUE4X2120118ON00,,,3,,1,3,5,,,,,,
FWUE4X21201X8ON00,,,3,,1,3,5,,,,,,
FWUE4X212XXX8ON00,,,4,3,1,5,6,,,,,,
FWUE4X21XXXX8ON00,,,4,5,4,5,13,,,,,,
FWUE4X2310118ON00,,,3,1,,,,,,,,,
FWUE4X23101X8ON00,,,3,1,,,,,,,,,
FWUE4X231XXX8ON00,,,3,1,,,,,,,,,
FWUE4X23XXXX8ON00,,,5,1,,,3,,,,,,
FWUE4X25119X8ON00,1,,,,,,,,,,,,
FWUE4X251XXX8ON00,1,,,,,,,,,,,,
FWUE4X2520218ON00,,,,,,,,3,,,,,
FWUE4X25202X8ON00,,,,3,,,,5,,,,,
FWUE4X2520318ON00,1,,,,,,1,,,,,,
FWUE4X2520328ON00,1,,,,,,,,,,,,
FWUE4X25203X8ON00,2,,,,,,1,,,,,,
FWUE4X2520518ON00,,,,,,1,,,,,,,
FWUE4X25205X8ON00,,,,,,1,,,,,,,
FWUE4X252XXX8ON00,4,,,3,3,,1,6,,,,,
FWUE4X2540218ON00,,1,,,,,3,,,,,,
FWUE4X25402X8ON00,,1,,,,,3,,,,,,
FWUE4X254XXX8ON00,,,,,,,4,,,,,,
FWUE4X25XXXX8ON00,9,6,5,6,3,5,9,10,,,,,
FWUE4X2710138ON00,,,,,,,1,,,,,,
FWUE4X27101X8ON00,,,,,,,1,,,,,,
FWUE4X2710258ON00,,,,,,,,1,,,,,
FWUE4X27102X8ON00,3,,,,,,,4,,,,,
FWUE4X271XXX8ON00,4,3,,,3,,3,4,,,,,
FWUE4X2720118ON00,,,,,,,1,,,,,,
FWUE4X27201X8ON00,,,,,,,1,,,,,,
FWUE4X2720238ON00,,,,,,1,,,,,,,
FWUE4X27202X8ON00,,,,,,3,,,,,,,
FWUE4X2720318ON00,,,1,1,,,,,,,,,
FWUE4X27203X8ON00,,,1,1,,,,,,,,,
FWUE4X27209X8ON00,,,,,,,,1,,,,,
FWUE4X272XXX8ON00,4,,5,,,5,3,3,,,,,
FWUE4X2730128ON00,,,,,,1,,,,,,,
FWUE4X27301X8ON00,,,,,,1,,,,,,,
FWUE4X27309X8ON00,,,,,,,,1,,,,,
FWUE4X273XXX8ON00,,,,,,1,,1,,,,,
FWUE4X2740118ON00,,,,,,,1,,,,,,
FWUE4X2740148ON00,,,,,,,,1,,,,,
FWUE4X27401X8ON00,,,,,,,1,,,,,,
FWUE4X2740218ON00,,1,,,,1,,,,,,,
FWUE4X27402X8ON00,,1,,,,1,,,,,,,
FWUE4X274XXX8ON00,,1,,,,,1,,,,,,
FWUE4X27XXXX8ON00,11,7,8,6,8,9,8,10,,,,,
FWUE4X2910318ON00,,,,,,,,,,,,,
FWUE4X29103X8ON00,,,,,,,,,,,,,
FWUE4X291XXX8ON00,3,4,,,4,,,,,,,,
FWUE4X2990118ON00,,,,,,,1,,,,,,
FWUE4X2990128ON00,,,,,,,1,,,,,,
FWUE4X29901X8ON00,,,,,,,2,,,,,,
FWUE4X299XXX8ON00,,,,,,,2,,,,,,
FWUE4X29XXXX8ON00,5,7,3,4,6,3,4,3,,,,,
FWUE4X3110118ON00,,,,,,,3,3,,,,,
FWUE4X3110138ON00,,,1,,,,,,,,,,
FWUE4X3110148ON00,,,,,,,,4,,,,,
FWUE4X31101X8ON00,,,,3,4,3,3,7,,,,,
FWUE4X311XXX8ON00,,,,3,4,3,3,7,,,,,
FWUE4X3190118ON00,,1,,,,,,,,,,,
FWUE4X31901X8ON00,,1,,,,,,,,,,,
FWUE4X3190938ON00,,,,,1,,,,,,,,
FWUE4X31XXXX8ON00,,3,,3,6,3,3,8,,,,,
FWUE4X3320118ON00,4,1,1,,4,5,3,1,,,,,
FWUE4X33201X8ON00,4,1,1,,4,5,3,1,,,,,
FWUE4X332XXX8ON00,4,1,1,,4,5,4,1,,,,,
FWUE4X3330128ON00,,,,,1,1,,,,,,,
FWUE4X33301X8ON00,,,3,,1,1,,,,,,,
FWUE4X3330518ON00,3,4,,,,,,,,,,,
FWUE4X33305X8ON00,3,4,,,,,,,,,,,
FWUE4X333XXX8ON00,3,4,5,,3,1,4,3,,,,,
FWUE4X3390328ON00,7,,5,5,7,7,7,5,,,,,
FWUE4X33903X8ON00,7,,5,5,7,7,7,5,,,,,
FWUE4X3390918ON00,,3,,,,,,,,,,,
FWUE4X3390928ON00,,,,,,,1,,,,,,
FWUE4X33909X8ON00,,4,,,,,4,6,,,,,
FWUE4X339XXX8ON00,8,6,5,7,8,9,12,11,,,,,
FWUE4X33XXXX8ON00,16,11,13,11,15,15,22,17,,,,,
FWUE4X3510118ON00,,,3,,,1,3,,,,,,
FWUE4X3510128ON00,,,,,3,4,4,,,,,,
FWUE4X35101X8ON00,,,4,,4,5,7,3,,,,,
FWUE4X351XXX8ON00,,,4,,4,5,7,3,,,,,
FWUE4X3520128ON00,,,3,,,,,3,,,,,
FWUE4X3520148ON00,,,,,,1,,,,,,,
FWUE4X35201X8ON00,3,,5,,,,,4,,,,,
FWUE4X352XXX8ON00,4,3,7,,3,3,3,6,,,,,
FWUE4X3530228ON00,,1,,,,,,,,,,,
FWUE4X35302X8ON00,,3,,,,,,,,,,,
FWUE4X3530318ON00,,3,,,,,,,,,,,
FWUE4X35303X8ON00,,3,,,,,,,,,,,
FWUE4X353XXX8ON00,,6,,,5,5,,4,,,,,
FWUE4X35909X8ON00,,,,,,1,,,,,,,
FWUE4X359XXX8ON00,,,,4,,4,,,,,,,
FWUE4X35XXXX8ON00,7,10,12,6,14,17,13,14,,,,,
FWUE4X3710118ON00,,,,,4,,5,4,,,,,
FWUE4X3710128ON00,11,9,15,10,11,6,9,16,,,,,
FWUE4X37101X8ON00,12,10,16,12,15,7,14,20,,,,,
FWUE4X371XXX8ON00,12,10,16,12,15,7,14,20,,,,,
FWUE4X3720118ON00,17,8,10,21,16,14,17,19,,,,,
FWUE4X3720128ON00,,4,,,3,,,,,,,,
FWUE4X37201X8ON00,20,14,13,25,22,21,21,23,,,,,
FWUE4X3720218ON00,,,,,,,,,,,,,
FWUE4X37202X8ON00,,,,,,,,,,,,,
FWUE4X372XXX8ON00,21,15,15,25,24,23,23,23,,,,,
FWUE4X3730118ON00,16,13,20,10,22,23,18,22,,,,,
FWUE4X3730138ON00,36,30,28,30,27,41,41,33,,,,,
FWUE4X37301X8ON00,52,44,48,40,49,64,60,56,,,,,
FWUE4X373XXX8ON00,52,44,48,40,49,64,60,56,,,,,
FWUE4X37XXXX8ON00,85,69,79,77,88,94,97,99,,,,,
FWUE4X392XXX8ON00,,,,,,,,,,,,,
FWUE4X3930918ON00,3,,,,,3,,,,,,,
FWUE4X39309X8ON00,3,,,,,3,,,,,,,
FWUE4X393XXX8ON00,4,,,,,4,,,,,,,
FWUE4X394XXX8ON00,,,3,,,,,,,,,,
FWUE4X3950118ON00,1,,,,,,,,,,,,
FWUE4X39501X8ON00,1,,,,,,,,,,,,
FWUE4X395XXX8ON00,1,,,,,,,,,,,,
FWUE4X3990328ON00,1,,,,,,,,,,,,
FWUE4X39903X8ON00,1,,,,,,,,,,,,
FWUE4X39909X8ON00,,,,,,,,1,,,,,
FWUE4X399XXX8ON00,,4,3,3,,,6,,,,,,
FWUE4X39XXXX8ON00,9,5,6,9,5,9,8,4,,,,,
FWUE4X4110118ON00,5,10,10,3,6,8,15,6,,,,,
FWUE4X4110128ON00,,,3,5,4,,3,3,,,,,
FWUE4X41101X8ON00,6,10,13,8,10,10,18,9,,,,,
FWUE4X411XXX8ON00,6,10,13,8,10,10,18,9,,,,,
FWUE4X4120118ON00,3,3,,3,,,3,,,,,,
FWUE4X41201X8ON00,3,3,,3,,,3,,,,,,
FWUE4X4120318ON00,7,6,3,9,8,7,7,16,,,,,
FWUE4X41203X8ON00,7,6,3,9,8,7,7,16,,,,,
FWUE4X412XXX8ON00,10,10,3,12,9,8,10,18,,,,,
FWUE4X413XXX8ON00,,3,,,,,,3,,,,,
FWUE4X4140118ON00,,,,,2,3,,,,,,,
FWUE4X4140128ON00,,,3,1,,,,,,,,,
FWUE4X41401X8ON00,,,3,,3,4,,,,,,,
