Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUE5X0000008ON00,419,340,335,390,424,518,531,621,,,,,
FWUE5X111XXX8ON00,,3,,,,,,,,,,,
FWUE5X1130118ON00,,,,,,1,,,,,,,
FWUE5X11301X8ON00,,,,,,1,,,,,,,
FWUE5X1130318ON00,,,,,1,,,,,,,,
FWUE5X11303X8ON00,,,,,1,,,,,,,,
FWUE5X1130518ON00,,,1,,,,,,,,,,
FWUE5X11305X8ON00,,,1,,,,,,,,,,
FWUE5X113XXX8ON00,,,1,,,4,3,,,,,,
FWUE5X1190138ON00,9,10,3,5,9,11,8,6,,,,,
FWUE5X11901X8ON00,9,10,3,5,9,11,8,6,,,,,
FWUE5X1190218ON00,,1,,2,,,,,,,,,
FWUE5X11902X8ON00,,1,,2,,,,,,,,,
FWUE5X1190518ON00,1,,,,,,3,,,,,,
FWUE5X11905X8ON00,1,,,,,,3,,,,,,
FWUE5X1191418ON00,,,,,1,3,1,,,,,,
FWUE5X11914X8ON00,,,,,1,3,1,,,,,,
FWUE5X119XXX8ON00,15,13,4,13,16,15,13,15,,,,,
FWUE5X11XXXX8ON00,18,16,5,15,19,20,17,15,,,,,
FWUE5X131XXX8ON00,,,,,,,,,,,,,
FWUE5X132XXX8ON00,,,,,3,,5,,,,,,
FWUE5X13XXXX8ON00,,,,,4,,5,3,,,,,
FWUE5X1511418ON00,,,,1,,,,,,,,,
FWUE5X15114X8ON00,,,,1,,,,,,,,,
FWUE5X1511528ON00,,,1,,,,,,,,,,
FWUE5X15115X8ON00,,,1,,,,,,,,,,
FWUE5X1511XX8ON00,,,3,4,,,,,,,,,
FWUE5X151XXX8ON00,,,3,4,,,,,,,,,
FWUE5X15XXXX8ON00,,,3,4,,,,,,,,,
FWUE5X1710228ON00,,,,,,,1,,,,,,
FWUE5X17102X8ON00,,,,,,,1,,,,,,
FWUE5X171XXX8ON00,,,,,,,1,,,,,,
FWUE5X1720718ON00,,,,,,1,,,,,,,
FWUE5X17207X8ON00,,,,,,1,,,,,,,
FWUE5X1721218ON00,,,,,,1,,,,,,,
FWUE5X17212X8ON00,,,,,,1,,,,,,,
FWUE5X172XXX8ON00,,,,3,3,2,,,,,,,
FWUE5X173XXX8ON00,,,3,,,,,,,,,,
FWUE5X17XXXX8ON00,,3,5,4,4,2,5,,,,,,
FWUE5X1910238ON00,,,,,,1,,,,,,,
FWUE5X19102X8ON00,,,,,,1,,,,,,,
FWUE5X191XXX8ON00,,,,,,1,,,,,,,
FWUE5X1930318ON00,1,,,,,,,,,,,,
FWUE5X19303X8ON00,1,,,,,,,,,,,,
