Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUE6X0000008ON00,710,723,721,715,722,761,695,786,,,,,
FWUE6X111XXX8ON00,3,,,,,,,,,,,,
FWUE6X113XXX8ON00,,,,,,3,,,,,,,
FWUE6X1190138ON00,68,71,66,81,72,72,78,75,,,,,
FWUE6X11901X8ON00,68,71,66,81,72,72,78,75,,,,,
FWUE6X1190218ON00,3,,,,,,,,,,,,
FWUE6X11902X8ON00,3,,,,,,,,,,,,
FWUE6X1190328ON00,,,,,,1,,,,,,,
FWUE6X1190338ON00,1,,,,,,,,,,,,
FWUE6X11903X8ON00,1,,,,,1,,,,,,,
FWUE6X1190818ON00,,,,1,,,,,,,,,
FWUE6X11908X8ON00,,,,1,,,,,,,,,
FWUE6X1191418ON00,,,,,,1,,,,,,,
FWUE6X11914X8ON00,,,,,,1,,,,,,,
FWUE6X11919X8ON00,10,6,,3,,,,,,,,,
FWUE6X119XXX8ON00,86,81,70,85,75,76,79,75,,,,,
FWUE6X11XXXX8ON00,90,83,73,86,79,79,80,78,,,,,
FWUE6X13119X8ON00,,,,,,,,2,,,,,
FWUE6X131XXX8ON00,,,,3,,,,2,,,,,
FWUE6X13XXXX8ON00,,,,3,,,,2,,,,,
FWUE6X1720618ON00,,,,1,,,,,,,,,
FWUE6X17206X8ON00,,,,1,,,,,,,,,
FWUE6X172XXX8ON00,,3,,1,,,,,,,,,
FWUE6X1730278ON00,,,,,1,,,,,,,,
FWUE6X17XXXX8ON00,,5,,,3,,,,,,,,
FWUE6X1940518ON00,1,,,,,,,,,,,,
FWUE6X19405X8ON00,1,,,,,,,,,,,,
FWUE6X194XXX8ON00,3,,,,,,,,,,,,
FWUE6X19XXXX8ON00,3,,,,,,,,,,,,
FWUE6X2120118ON00,,,,,1,,,,,,,,
FWUE6X21201X8ON00,,,,,1,,,,,,,,
FWUE6X212XXX8ON00,,,,,1,,,,,,,,
FWUE6X21XXXX8ON00,,,,,1,,,,,,,,
FWUE6X2520318ON00,1,,,,,,,,,,,,
FWUE6X25203X8ON00,1,,,,,,,,,,,,
FWUE6X2540218ON00,,,,1,,,,,,,,,
FWUE6X25402X8ON00,,,,1,,,,,,,,,
FWUE6X254XXX8ON00,,,,1,,,,,,,,,
FWUE6X25XXXX8ON00,,,,1,,,,,,,,,
FWUE6X2720218ON00,,,,1,,,,,,,,,
FWUE6X2720238ON00,,,,,,,1,,,,,,
FWUE6X27202X8ON00,,,,3,,,1,,,,,,
FWUE6X27209X8ON00,1,,,,,,,,,,,,
FWUE6X272XXX8ON00,,,,3,,,1,,,,,,
FWUE6X27XXXX8ON00,4,,,3,,3,1,,,,,,
FWUE6X2911318ON00,,,,,,,,1,,,,,
FWUE6X29113X8ON00,,,,,,,,1,,,,,
FWUE6X291XXX8ON00,,,,,,,,1,,,,,
FWUE6X29XXXX8ON00,,,,,,,,1,,,,,
FWUE6X3310218ON00,1,2,1,,,,,,,,,,
FWUE6X33102X8ON00,1,2,1,,,,,,,,,,
FWUE6X331XXX8ON00,1,2,1,,,,,,,,,,
FWUE6X3320118ON00,,,,1,1,3,3,,,,,,
FWUE6X33201X8ON00,,,,1,1,3,3,,,,,,
FWUE6X332XXX8ON00,,,,1,,3,3,,,,,,
FWUE6X3330518ON00,,,,,,,,1,,,,,
FWUE6X33305X8ON00,,,,,,,,1,,,,,
FWUE6X333XXX8ON00,,,,,,,,1,,,,,
FWUE6X3390328ON00,,,3,,,,,,,,,,
FWUE6X33903X8ON00,,,3,,,,,,,,,,
FWUE6X3390928ON00,,,,,,3,,,,,,,
FWUE6X33909X8ON00,,,,,,4,,,,,,,
FWUE6X339XXX8ON00,,,4,,,4,,,,,,,
FWUE6X33XXXX8ON00,4,6,8,4,,7,5,5,,,,,
FWUE6X3510128ON00,,,,,,1,,,,,,,
FWUE6X35101X8ON00,,,,,,1,,,,,,,
FWUE6X351XXX8ON00,,,,,,1,,,,,,,
FWUE6X3530318ON00,,,,1,,,,,,,,,
FWUE6X35303X8ON00,,,,1,,,,,,,,,
FWUE6X353XXX8ON00,3,,,1,,,,,,,,,
FWUE6X35XXXX8ON00,3,,,1,,,,,,,,,
