Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN1X0000008ON00,147,149,143,195,180,198,190,191,,,,,
FWUN1X1110118ON00,3,,,,,,,,,,,,
FWUN1X11101X8ON00,3,,,,,,,,,,,,
FWUN1X111XXX8ON00,3,,,,3,,,,,,,,
FWUN1X1120228ON00,,,1,,,,,,,,,,
FWUN1X11202X8ON00,,,1,,,,,,,,,,
FWUN1X1130318ON00,,,,,,,1,,,,,,
FWUN1X11303X8ON00,,,,,,,1,,,,,,
FWUN1X1130718ON00,,,,,1,,,,,,,,
FWUN1X11307X8ON00,,,,,1,,,,,,,,
FWUN1X113XXX8ON00,,,,,1,,1,,,,,,
FWUN1X1190138ON00,9,6,14,12,13,6,8,10,,,,,
FWUN1X11901X8ON00,9,6,14,12,13,6,8,10,,,,,
FWUN1X1190218ON00,,,,1,1,,1,,,,,,
FWUN1X11902X8ON00,,,,1,1,,1,,,,,,
FWUN1X11903X8ON00,,1,,,,,,,,,,,
FWUN1X1190518ON00,,,,,,1,,,,,,,
FWUN1X11905X8ON00,,,,,,1,,,,,,,
FWUN1X1190818ON00,,1,,1,,,,,,,,,
FWUN1X11908X8ON00,,1,,1,,,,,,,,,
FWUN1X1191418ON00,,3,,,,,,,,,,,
FWUN1X11914X8ON00,,3,,,,,,,,,,,
FWUN1X119XXX8ON00,12,12,14,18,15,9,11,11,,,,,
FWUN1X11XXXX8ON00,15,14,16,20,19,10,12,13,,,,,
FWUN1X1310218ON00,,,,,,,,1,,,,,
FWUN1X13102X8ON00,,,,,,,,1,,,,,
FWUN1X1310418ON00,,1,,,,,,,,,,,
FWUN1X13104X8ON00,,1,,,,,,,,,,,
FWUN1X131XXX8ON00,,1,,,,,,,,,,,
FWUN1X1320118ON00,,,,,,,,1,,,,,
FWUN1X13201X8ON00,,,,,,,,1,,,,,
FWUN1X1320528ON00,,,,,,,,,,,,,
FWUN1X13205X8ON00,,,,,,,,,,,,,
FWUN1X132XXX8ON00,,,,,,,,1,,,,,
FWUN1X13XXXX8ON00,,1,,,3,,,3,,,,,
FWUN1X1720518ON00,,,,,,,1,,,,,,
FWUN1X17205X8ON00,,,,,,,1,,,,,,
FWUN1X172XXX8ON00,,,,,,,1,,,,,,
FWUN1X17XXXX8ON00,,,,,,,,,,,,,
FWUN1X21101X8ON00,,,,,,,3,,,,,,
FWUN1X2110238ON00,,,,,,,1,,,,,,
FWUN1X2110938ON00,,,,1,,,,,,,,,
FWUN1X21109X8ON00,,,,1,,,,,,,,,
FWUN1X211XXX8ON00,,,,,,,5,,,,,,
FWUN1X2120118ON00,,,,,,,,,,,,,
FWUN1X21201X8ON00,,,,,,,,,,,,,
FWUN1X212XXX8ON00,,,,,,,,,,,,,
FWUN1X21XXXX8ON00,,,,,,,6,,,,,,
FWUN1X2310118ON00,,,,1,1,,,,,,,,
FWUN1X23101X8ON00,,,,1,1,,,,,,,,
FWUN1X231XXX8ON00,,,,1,1,,,,,,,,
FWUN1X2320118ON00,,,1,,,,,,,,,,
FWUN1X23201X8ON00,,,1,,,,,,,,,,
FWUN1X23XXXX8ON00,,,4,1,1,,,,,,,,
FWUN1X2510818ON00,,,,,,1,,,,,,,
FWUN1X25108X8ON00,,,,,,1,,,,,,,
FWUN1X2511238ON00,,,1,,,,,,,,,,
FWUN1X25112X8ON00,,,1,,,,,,,,,,
FWUN1X251XXX8ON00,,,1,,,1,,,,,,,
FWUN1X2520218ON00,,,,1,,,,,,,,,
FWUN1X252XXX8ON00,,,,,,,,3,,,,,
