Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN2X0000008ON00,16,18,22,15,18,28,24,31,,,,,
FWUN2X1190138ON00,,,1,,1,1,,,,,,,
FWUN2X11901X8ON00,,,1,,1,1,,,,,,,
FWUN2X119XXX8ON00,,,1,,1,,,3,,,,,
FWUN2X11XXXX8ON00,,,1,,1,3,,6,,,,,
FWUN2X2520318ON00,1,,,,,,,,,,,,
FWUN2X25203X8ON00,1,,,,,,,,,,,,
FWUN2X252XXX8ON00,1,,,,,,,,,,,,
FWUN2X25XXXX8ON00,1,,,,,,,,,,,,
FWUN2X2720228ON00,,,,1,,,,,,,,,
FWUN2X27202X8ON00,,,,1,,,,,,,,,
FWUN2X272XXX8ON00,,,,1,,,,,,,,,
FWUN2X27XXXX8ON00,,,,1,,,,,,,,,
FWUN2X2920418ON00,1,,,,,,,,,,,,
FWUN2X29204X8ON00,1,,,,,,,,,,,,
FWUN2X292XXX8ON00,1,,,,,,,,,,,,
FWUN2X29XXXX8ON00,1,,,,,,,,,,,,
FWUN2X3310128ON00,1,,,,,,,,,,,,
FWUN2X33101X8ON00,1,,,,,,,,,,,,
FWUN2X33109X8ON00,,,,,,,1,,,,,,
FWUN2X331XXX8ON00,1,,,,,,1,,,,,,
FWUN2X3320118ON00,,,,,,,1,,,,,,
FWUN2X33201X8ON00,,,,,,,1,,,,,,
FWUN2X332XXX8ON00,,,,,,,1,,,,,,
FWUN2X3330518ON00,,1,,,,,1,,,,,,
FWUN2X33305X8ON00,,1,,,,,1,,,,,,
FWUN2X333XXX8ON00,,1,,,,,,,,,,,
FWUN2X3390928ON00,,,,1,,,,,,,,,
FWUN2X33909X8ON00,,,,1,,,,,,,,,
FWUN2X339XXX8ON00,,,,1,,,,,,,,,
FWUN2X33XXXX8ON00,3,3,,3,,3,5,4,,,,,
FWUN2X3510118ON00,,,1,,,,,,,,,,
FWUN2X35101X8ON00,,,1,,,,,,,,,,
FWUN2X351XXX8ON00,,,1,,,,,,,,,,
FWUN2X35XXXX8ON00,,,3,,,,,,,,,,
FWUN2X3730118ON00,,,,,,,,1,,,,,
FWUN2X37301X8ON00,,,,,,,,1,,,,,
FWUN2X373XXX8ON00,,,,,,,,1,,,,,
FWUN2X37XXXX8ON00,,,,,,,,3,,,,,
FWUN2X412XXX8ON00,,,,3,,,,,,,,,
FWUN2X41XXXX8ON00,,,,3,,,,,,,,,
FWUN2X434XXX8ON00,,3,,,,,,,,,,,
FWUN2X4350118ON00,,,,,,,1,,,,,,
FWUN2X43501X8ON00,,,,,,,1,,,,,,
FWUN2X43XXXX8ON00,,4,,,,,,,,,,,
FWUN2X4720318ON00,,,,,,,1,,,,,,
FWUN2X47203X8ON00,,,,,,,1,,,,,,
FWUN2X4721118ON00,,,,,,1,,,,,,,
FWUN2X47211X8ON00,,,,,,1,,,,,,,
FWUN2X472XXX8ON00,,,,,,3,1,,,,,,
FWUN2X47XXXX8ON00,,,,,,4,1,3,,,,,
FWUN2X4990718ON00,,,,,1,,,,,,,,
FWUN2X49907X8ON00,,,,,1,,,,,,,,
FWUN2X499XXX8ON00,,,,,1,,,,,,,,
FWUN2X49XXXX8ON00,,,,,3,5,,,,,,,
FWUN2X5180218ON00,,,,,,1,,,,,,,
FWUN2X51802X8ON00,,,,,,1,,,,,,,
FWUN2X518XXX8ON00,,,,,,1,,,,,,,
FWUN2X51XXXX8ON00,,,,,,3,,,,,,,
FWUN2X5330328ON00,,,,1,,,1,2,,,,,
FWUN2X53303X8ON00,,,,1,,,,2,,,,,
FWUN2X533XXX8ON00,,,,,,,,2,,,,,
FWUN2X5370518ON00,,,1,,,,,,,,,,
FWUN2X53705X8ON00,,,1,,,,,,,,,,
FWUN2X537XXX8ON00,,,4,,,,3,,,,,,
FWUN2X53XXXX8ON00,,3,6,,4,4,5,5,,,,,
