Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN3X0000008ON00,596,601,547,547,558,648,605,607,,,,,
FWUN3X1110118ON00,5,4,5,2,4,4,,6,,,,,
FWUN3X11101X8ON00,5,4,5,2,4,4,,6,,,,,
FWUN3X1110218ON00,2,,,,5,,6,4,,,,,
FWUN3X11102X8ON00,2,,,,5,,6,4,,,,,
FWUN3X111XXX8ON00,7,6,6,4,9,6,8,10,,,,,
FWUN3X1120218ON00,,,1,,,,,,,,,,
FWUN3X1120228ON00,,3,1,,,,,,,,,,
FWUN3X11202X8ON00,,3,2,,,,,,,,,,
FWUN3X112XXX8ON00,,4,2,,,,,,,,,,
FWUN3X1130118ON00,4,,,,,,,,,,,,
FWUN3X11301X8ON00,4,,,,,,,,,,,,
FWUN3X1130218ON00,2,,1,1,,,,,,,,,
FWUN3X11302X8ON00,2,,1,1,,,,,,,,,
FWUN3X1130318ON00,2,1,2,3,,1,5,,,,,,
FWUN3X11303X8ON00,2,1,2,3,,1,5,,,,,,
FWUN3X1130518ON00,,,,,,,1,1,,,,,
FWUN3X11305X8ON00,,,,,,,1,1,,,,,
FWUN3X1130718ON00,,3,,4,2,,3,,,,,,
FWUN3X11307X8ON00,,3,,4,2,,3,,,,,,
FWUN3X1131218ON00,,,,1,,,,,,,,,
FWUN3X11312X8ON00,,,,1,,,,,,,,,
FWUN3X113XXX8ON00,10,7,5,12,6,5,9,4,,,,,
FWUN3X1190138ON00,13,5,8,3,9,19,11,12,,,,,
FWUN3X11901X8ON00,13,5,8,3,9,19,11,12,,,,,
FWUN3X1190218ON00,2,4,3,3,,,5,,,,,,
FWUN3X11902X8ON00,2,4,3,3,,,5,,,,,,
FWUN3X1190328ON00,3,2,,,,1,1,1,,,,,
FWUN3X11903X8ON00,3,2,,,,1,1,1,,,,,
FWUN3X1190418ON00,,,,,,1,,,,,,,
FWUN3X11904X8ON00,,,,,,1,,,,,,,
FWUN3X1190518ON00,13,18,24,9,11,14,13,6,,,,,
FWUN3X11905X8ON00,13,18,24,9,11,14,13,6,,,,,
FWUN3X1190618ON00,,,,,1,,,,,,,,
FWUN3X11906X8ON00,,,,,1,,,,,,,,
FWUN3X1190718ON00,,,,,,,,1,,,,,
FWUN3X11907X8ON00,,,,,,,,1,,,,,
FWUN3X1190818ON00,2,3,,,,1,1,5,,,,,
FWUN3X11908X8ON00,2,3,,,,1,1,5,,,,,
FWUN3X1191118ON00,,2,1,,,1,,3,,,,,
FWUN3X11911X8ON00,,2,1,,,1,,3,,,,,
FWUN3X1191318ON00,,,,,,,1,,,,,,
FWUN3X11913X8ON00,,,,,,,1,,,,,,
FWUN3X1191418ON00,8,12,13,7,6,9,8,8,,,,,
FWUN3X11914X8ON00,8,12,13,7,6,9,8,8,,,,,
FWUN3X1191518ON00,,2,,,1,,,,,,,,
FWUN3X11915X8ON00,,2,,,1,,,,,,,,
FWUN3X11919X8ON00,13,13,7,6,,1,4,,,,,,
FWUN3X119XXX8ON00,56,61,61,29,32,49,47,38,,,,,
FWUN3X11XXXX8ON00,73,78,74,47,47,62,67,52,,,,,
FWUN3X1310218ON00,,,,,,,,1,,,,,
FWUN3X1310238ON00,,,,,,1,,,,,,,
FWUN3X13102X8ON00,,,,,,1,,1,,,,,
FWUN3X1310418ON00,,,,,,1,,1,,,,,
FWUN3X13104X8ON00,,,,,,1,,1,,,,,
FWUN3X1310818ON00,,,1,,,,,,,,,,
FWUN3X13108X8ON00,,,1,,,,,,,,,,
FWUN3X1311118ON00,,,1,,,1,,,,,,,
FWUN3X13111X8ON00,,,1,,,1,,,,,,,
FWUN3X1311218ON00,,1,,,1,,,1,,,,,
FWUN3X13112X8ON00,,1,,,1,,,1,,,,,
FWUN3X131XXX8ON00,,,3,3,4,3,,4,,,,,
FWUN3X1320118ON00,3,,1,1,,,,1,,,,,
FWUN3X13201X8ON00,3,,1,1,,,,1,,,,,
FWUN3X1320218ON00,,,,,1,,,1,,,,,
FWUN3X13202X8ON00,,,,,1,,,1,,,,,
FWUN3X1320518ON00,,,1,,,,,,,,,,
FWUN3X1320528ON00,,,1,,,,,1,,,,,
FWUN3X13205X8ON00,,,2,,,,,,,,,,
FWUN3X1320728ON00,,,,,1,,,,,,,,
FWUN3X13207X8ON00,,,,,1,,,,,,,,
FWUN3X1320828ON00,,,1,,,,,,,,,,
FWUN3X13208X8ON00,,,1,,,,,,,,,,
FWUN3X13209X8ON00,1,2,2,,,,1,2,,,,,
FWUN3X132XXX8ON00,5,2,6,1,5,4,5,6,,,,,
FWUN3X13XXXX8ON00,7,4,9,4,9,7,7,10,,,,,
FWUN3X1511218ON00,1,,1,,,,,1,,,,,
FWUN3X1511228ON00,,1,1,,,,,,,,,,
FWUN3X15112X8ON00,1,1,2,,,,,1,,,,,
FWUN3X1511318ON00,,,,,,1,,,,,,,
FWUN3X15119X8ON00,,,1,,,,,1,,,,,
FWUN3X1511XX8ON00,1,1,6,,,3,,4,,,,,
FWUN3X151XXX8ON00,,,6,,,3,,,,,,,
FWUN3X1520318ON00,,,1,,,,,,,,,,
FWUN3X15203X8ON00,,,1,,,,,,,,,,
FWUN3X1520418ON00,,,,,1,,,,,,,,
FWUN3X15204X8ON00,,,,,1,,,,,,,,
FWUN3X152XXX8ON00,,,1,,1,,,,,,,,
FWUN3X15XXXX8ON00,1,1,7,,3,3,,4,,,,,
FWUN3X1710118ON00,1,,,,,,,,,,,,
FWUN3X17101X8ON00,1,,,,,,,,,,,,
FWUN3X171XXX8ON00,1,,,,,,,,,,,,
FWUN3X1720318ON00,,,,,1,,,,,,,,
FWUN3X17203X8ON00,,,,,1,,,,,,,,
FWUN3X1720518ON00,,,,,1,,,,,,,,
FWUN3X17205X8ON00,,,,,1,,,,,,,,
FWUN3X172XXX8ON00,,,,,2,,,,,,,,
FWUN3X1730268ON00,,,,,,1,,,,,,,
FWUN3X1730318ON00,,,1,,,,,,,,,,
FWUN3X17303X8ON00,,,1,,,,,,,,,,
FWUN3X173XXX8ON00,,,1,,,,,,,,,,
FWUN3X17XXXX8ON00,5,,4,,3,,,,,,,,
FWUN3X1910318ON00,,,,1,,,,,,,,,
FWUN3X19103X8ON00,,,,1,,,,,,,,,
FWUN3X1910428ON00,,,,1,,,,,,,,,
FWUN3X19104X8ON00,,,,1,,,,,,,,,
FWUN3X191XXX8ON00,,,,2,,,,,,,,,
FWUN3X1920318ON00,,,1,,,,,,,,,,
FWUN3X1930118ON00,,,,,,,,1,,,,,
FWUN3X19301X8ON00,,,,,,,,1,,,,,
FWUN3X1930318ON00,,2,,,,,,1,,,,,
FWUN3X19303X8ON00,,2,,,,,,,,,,,
FWUN3X193XXX8ON00,,2,,,,,,3,,,,,
FWUN3X1950118ON00,,,,,,,,,,,,,
FWUN3X19501X8ON00,,,,,,,,,,,,,
FWUN3X195XXX8ON00,,,,,,,,,,,,,
FWUN3X19XXXX8ON00,,2,,4,,,,3,,,,,
FWUN3X2110118ON00,,,,,1,,,,,,,,
FWUN3X2110148ON00,1,1,,,,,1,,,,,,
FWUN3X21101X8ON00,1,,,1,1,,4,,,,,,
FWUN3X2110218ON00,,,,,1,,1,1,,,,,
FWUN3X2110228ON00,,1,,,,1,,,,,,,
FWUN3X2110238ON00,,,,1,,,,1,,,,,
FWUN3X21102X8ON00,,3,,1,1,1,2,2,,,,,
FWUN3X2110928ON00,,1,,,,,,,,,,,
FWUN3X2110938ON00,1,,,,,,,,,,,,
FWUN3X21109X8ON00,4,2,,,,,,,,,,,
FWUN3X211XXX8ON00,6,7,,2,2,3,9,4,,,,,
FWUN3X2120118ON00,2,6,1,2,,3,,,,,,,
FWUN3X21201X8ON00,2,6,1,2,,3,,,,,,,
FWUN3X21209X8ON00,,1,,,,,,,,,,,
FWUN3X212XXX8ON00,2,8,1,2,,3,,,,,,,
FWUN3X21XXXX8ON00,8,15,,4,4,6,11,5,,,,,
FWUN3X2310118ON00,6,3,5,,4,3,4,4,,,,,
FWUN3X23101X8ON00,6,3,5,,4,3,4,4,,,,,
FWUN3X2310238ON00,,,1,,,,1,,,,,,
FWUN3X23102X8ON00,,,1,,,,1,,,,,,
FWUN3X231XXX8ON00,6,3,6,,4,3,5,4,,,,,
FWUN3X2320118ON00,,,,,,1,,,,,,,
FWUN3X23201X8ON00,,,,,,1,,,,,,,
FWUN3X232XXX8ON00,,,,,,1,,,,,,,
FWUN3X23XXXX8ON00,6,3,6,,4,4,5,7,,,,,
FWUN3X2510218ON00,,1,,,,,,,,,,,
FWUN3X25102X8ON00,,1,,,,,,,,,,,
FWUN3X2510328ON00,,,,,,1,,,,,,,
FWUN3X25103X8ON00,,,,,,1,,,,,,,
FWUN3X2510548ON00,,,1,,,,,,,,,,
FWUN3X25105X8ON00,,,1,,,,,,,,,,
FWUN3X2510718ON00,,,1,,,,,,,,,,
FWUN3X25107X8ON00,,,1,,,,,,,,,,
FWUN3X2511238ON00,,,,,1,,,,,,,,
FWUN3X25112X8ON00,,,,,3,,,,,,,,
FWUN3X2511948ON00,,,,,,,,1,,,,,
FWUN3X25119X8ON00,,,,,,,,1,,,,,
FWUN3X251XXX8ON00,,1,2,,4,3,,1,,,,,
FWUN3X2520218ON00,,2,,1,,,,,,,,,
FWUN3X25202X8ON00,,2,,1,,,,,,,,,
FWUN3X2520318ON00,,,,,,,,1,,,,,
FWUN3X25203X8ON00,,,,,,,,1,,,,,
FWUN3X2520548ON00,,,,,,1,,,,,,,
FWUN3X25205X8ON00,,,,,,1,,,,,,,
FWUN3X252XXX8ON00,,2,,1,,1,,1,,,,,
FWUN3X2530218ON00,,,,,,1,1,,,,,,
FWUN3X25302X8ON00,,,,,,1,1,,,,,,
FWUN3X253XXX8ON00,,,,,,1,1,,,,,,
FWUN3X2540218ON00,,,,,,,1,,,,,,
FWUN3X25402X8ON00,,,,,,,1,,,,,,
FWUN3X254XXX8ON00,,,,,,,1,,,,,,
FWUN3X25XXXX8ON00,,,4,,4,5,4,5,,,,,
FWUN3X2710128ON00,1,,,1,1,,,,,,,,
FWUN3X27101X8ON00,1,,,1,,2,1,,,,,,
FWUN3X2710268ON00,,,,,,,1,,,,,,
FWUN3X27102X8ON00,,,,,,,1,,,,,,
FWUN3X271XXX8ON00,1,3,,1,,2,2,4,,,,,
FWUN3X2720128ON00,,,,,,,,1,,,,,
FWUN3X27201X8ON00,,,,,,,,1,,,,,
FWUN3X2720218ON00,,1,,,,1,,,,,,,
FWUN3X2720228ON00,,,,,,,,1,,,,,
FWUN3X27202X8ON00,,1,,,,,,1,,,,,
FWUN3X2720428ON00,1,,3,,1,4,2,2,,,,,
FWUN3X27204X8ON00,1,,3,,1,4,2,2,,,,,
FWUN3X27209X8ON00,1,,,,,,,,,,,,
FWUN3X272XXX8ON00,2,3,4,,1,6,2,4,,,,,
FWUN3X2730118ON00,,,,,,1,,,,,,,
FWUN3X27301X8ON00,,,,,,1,,,,,,,
FWUN3X2730228ON00,,,,,2,,,2,,,,,
FWUN3X27302X8ON00,,,,,2,,,2,,,,,
FWUN3X2730318ON00,,,,1,,,,,,,,,
FWUN3X27303X8ON00,,,,1,,,,,,,,,
FWUN3X2730418ON00,,,,,,,,2,,,,,
FWUN3X27304X8ON00,,,,,,,,2,,,,,
FWUN3X273XXX8ON00,,,,1,3,1,,5,,,,,
FWUN3X2740148ON00,,,,1,1,,,,,,,,
FWUN3X27401X8ON00,,,,1,1,,,,,,,,
FWUN3X2740218ON00,,,,3,1,,,,,,,,
FWUN3X27402X8ON00,,,,3,1,,,,,,,,
FWUN3X274XXX8ON00,,,,4,2,,,,,,,,
FWUN3X27XXXX8ON00,3,7,5,7,8,9,4,15,,,,,
FWUN3X2910118ON00,,,,,,,,,,,,,
FWUN3X29101X8ON00,,,,,,,,,,,,,
FWUN3X2910218ON00,3,,,,,,,,,,,,
FWUN3X29102X8ON00,3,,,,,,,,,,,,
FWUN3X2910418ON00,1,,,,,,,,,,,,
FWUN3X29104X8ON00,1,,,,,,,,,,,,
FWUN3X2910518ON00,2,1,1,2,,,,2,,,,,
FWUN3X29105X8ON00,2,1,1,2,,,,2,,,,,
FWUN3X2910628ON00,1,,1,,1,,1,,,,,,
FWUN3X2910668ON00,1,,,,1,,1,,,,,,
FWUN3X2910678ON00,,,,,1,1,,,,,,,
FWUN3X29106X8ON00,4,,4,,5,,6,3,,,,,
FWUN3X2910718ON00,1,,,1,,,,,,,,,
FWUN3X29107X8ON00,1,,,1,,,,,,,,,
FWUN3X2910818ON00,,,,,,,,,,,,,
FWUN3X29108X8ON00,,,,,,,,,,,,,
FWUN3X2911318ON00,,,1,1,,,1,1,,,,,
FWUN3X29113X8ON00,,,1,1,,,1,1,,,,,
FWUN3X2911418ON00,,,,,,,1,,,,,,
FWUN3X29114X8ON00,,,,,,,1,,,,,,
FWUN3X29119X8ON00,,,,,,,1,,,,,,
FWUN3X291XXX8ON00,12,6,9,5,6,5,9,8,,,,,
FWUN3X2920518ON00,,,,,1,,,,,,,,
FWUN3X2920528ON00,,,,,,,,1,,,,,
FWUN3X2920578ON00,,,,,,,,1,,,,,
FWUN3X29205X8ON00,,,,,1,,,4,,,,,
FWUN3X2920618ON00,,,,1,1,,,1,,,,,
FWUN3X29206X8ON00,,,,1,1,,,1,,,,,
FWUN3X292XXX8ON00,,,,4,4,7,,5,,,,,
FWUN3X2990118ON00,1,,,,11,,,,,,,,
FWUN3X2990128ON00,,,,,,1,,,,,,,
FWUN3X29901X8ON00,1,,,,11,1,,,,,,,
FWUN3X299XXX8ON00,1,,,,11,,,,,,,,
FWUN3X29XXXX8ON00,13,6,10,9,21,14,10,13,,,,,
FWUN3X3110118ON00,,,,1,,2,1,3,,,,,
FWUN3X3110148ON00,,,,,,,1,,,,,,
FWUN3X31101X8ON00,3,,,1,,4,3,3,,,,,
FWUN3X31112X8ON00,,,,,,,,,,,,,
FWUN3X3111XX8ON00,,,,,,,,,,,,,
FWUN3X311XXX8ON00,3,,,1,,4,3,3,,,,,
FWUN3X3190118ON00,,,,,,,,1,,,,,
FWUN3X31901X8ON00,,,,,,,,1,,,,,
FWUN3X3190928ON00,,,1,,1,,,,,,,,
FWUN3X31909X8ON00,,,1,,,,,,,,,,
FWUN3X319XXX8ON00,,,1,,,,,1,,,,,
FWUN3X31XXXX8ON00,5,,,,3,5,3,4,,,,,
FWUN3X3310118ON00,,2,,,,,,,,,,,
FWUN3X3310128ON00,7,3,,4,3,14,9,6,,,,,
FWUN3X33101X8ON00,7,5,,4,3,14,11,6,,,,,
FWUN3X3310218ON00,,,1,,,,,,,,,,
FWUN3X33102X8ON00,,,1,,,,,,,,,,
FWUN3X33109X8ON00,,,1,,2,,,,,,,,
FWUN3X331XXX8ON00,7,5,4,4,5,16,12,7,,,,,
FWUN3X3320118ON00,,2,,,3,2,2,,,,,,
FWUN3X33201X8ON00,,2,,,3,2,2,,,,,,
FWUN3X332XXX8ON00,,,,,3,2,2,,,,,,
FWUN3X3330118ON00,,,,,,2,,,,,,,
FWUN3X3330128ON00,4,4,2,,,2,4,,,,,,
FWUN3X33301X8ON00,4,5,2,,,4,4,,,,,,
FWUN3X3330218ON00,4,4,3,,3,4,5,5,,,,,
FWUN3X33302X8ON00,4,4,3,,3,4,5,5,,,,,
FWUN3X3330518ON00,68,45,32,45,36,55,42,54,,,,,
FWUN3X3330528ON00,,,,,,,,,,,,,
FWUN3X33305X8ON00,68,45,32,46,36,56,42,54,,,,,
FWUN3X333XXX8ON00,77,55,37,48,40,64,51,60,,,,,
FWUN3X3390118ON00,,,,,,1,,,,,,,
FWUN3X33901X8ON00,,,,,,1,,,,,,,
FWUN3X3390218ON00,1,,,,,,,,,,,,
FWUN3X33902X8ON00,1,,,,,,,,,,,,
FWUN3X3390328ON00,41,35,33,23,33,35,29,30,,,,,
FWUN3X33903X8ON00,41,35,33,23,34,35,29,30,,,,,
FWUN3X3390938ON00,,,1,,,,,,,,,,
FWUN3X33909X8ON00,,2,3,,1,,,,,,,,
FWUN3X339XXX8ON00,42,38,36,24,35,36,30,30,,,,,
FWUN3X33XXXX8ON00,126,101,77,76,83,118,95,97,,,,,
FWUN3X3510118ON00,,1,,,,,,,,,,,
FWUN3X3510128ON00,6,8,10,2,7,8,14,12,,,,,
FWUN3X35101X8ON00,7,9,12,4,9,9,15,12,,,,,
FWUN3X351XXX8ON00,7,9,12,4,9,9,15,12,,,,,
FWUN3X3520118ON00,,,,,,3,,1,,,,,
FWUN3X3520128ON00,,,,,,,,1,,,,,
FWUN3X3520148ON00,2,2,4,5,3,4,8,6,,,,,
FWUN3X35201X8ON00,3,2,7,5,3,8,9,8,,,,,
FWUN3X3520218ON00,,,1,,,,,5,,,,,
FWUN3X35202X8ON00,,,1,,,,,5,,,,,
FWUN3X352XXX8ON00,3,4,8,5,4,9,9,13,,,,,
FWUN3X3530118ON00,4,3,3,2,,4,1,7,,,,,
FWUN3X35301X8ON00,4,3,3,2,,4,1,7,,,,,
FWUN3X3530218ON00,3,,3,3,4,3,,5,,,,,
FWUN3X3530228ON00,,,,,1,,1,,,,,,
FWUN3X3530238ON00,,,,,,,,,,,,,
FWUN3X35302X8ON00,3,,4,3,5,3,4,5,,,,,
FWUN3X3530318ON00,4,3,,,3,3,3,3,,,,,
FWUN3X35303X8ON00,4,3,,,3,3,3,3,,,,,
FWUN3X353XXX8ON00,11,7,9,6,10,10,8,15,,,,,
FWUN3X3590118ON00,,1,,,,,,1,,,,,
FWUN3X35901X8ON00,,1,,,,,,1,,,,,
FWUN3X3590218ON00,,,,,,,,1,,,,,
FWUN3X35902X8ON00,,,,,,,,1,,,,,
FWUN3X35909X8ON00,,,,,1,,,1,,,,,
FWUN3X359XXX8ON00,,,,,1,,,3,,,,,
FWUN3X35XXXX8ON00,22,22,30,16,24,29,32,43,,,,,
FWUN3X3710118ON00,,,1,1,,,1,,,,,,
FWUN3X3710128ON00,1,,,,1,3,4,,,,,,
FWUN3X37101X8ON00,1,,3,1,1,4,5,,,,,,
FWUN3X371XXX8ON00,1,,3,1,1,4,5,,,,,,
FWUN3X3720118ON00,4,3,6,6,,4,6,,,,,,
FWUN3X3720128ON00,1,3,,1,,6,1,,,,,,
FWUN3X37201X8ON00,5,6,8,7,4,10,7,3,,,,,
FWUN3X3720218ON00,,,,,,1,,,,,,,
FWUN3X37202X8ON00,,,,,,1,,,,,,,
FWUN3X372XXX8ON00,5,6,8,7,4,11,7,3,,,,,
FWUN3X3730118ON00,5,3,,5,5,6,4,9,,,,,
FWUN3X3730138ON00,3,,,,1,,,,,,,,
FWUN3X37301X8ON00,8,5,,6,6,7,4,10,,,,,
FWUN3X373XXX8ON00,8,5,,6,6,7,4,10,,,,,
FWUN3X37XXXX8ON00,14,13,12,14,11,22,16,13,,,,,
FWUN3X3910218ON00,3,10,2,3,4,1,,,,,,,
FWUN3X39102X8ON00,3,10,2,3,4,1,,,,,,,
FWUN3X391XXX8ON00,3,10,2,3,4,1,,,,,,,
FWUN3X3920118ON00,,1,1,,,,,,,,,,
FWUN3X39201X8ON00,,1,1,,,,,,,,,,
FWUN3X3920218ON00,2,,1,,,3,1,,,,,,
FWUN3X39202X8ON00,2,,1,,,3,1,,,,,,
FWUN3X392XXX8ON00,2,1,2,,,3,1,3,,,,,
FWUN3X3930128ON00,,,,,,,,,,,,,
FWUN3X39301X8ON00,,,,,,,,,,,,,
FWUN3X3930918ON00,,,1,1,,,,,,,,,
FWUN3X39309X8ON00,1,,1,1,,,,,,,,,
FWUN3X393XXX8ON00,1,,1,1,,,,,,,,,
FWUN3X3940318ON00,,,,,,,3,,,,,,
FWUN3X39403X8ON00,,,,,,,3,,,,,,
FWUN3X394XXX8ON00,,,,,,,3,,,,,,
FWUN3X3950118ON00,6,1,5,3,9,4,6,2,,,,,
FWUN3X3950128ON00,,,,2,1,2,,,,,,,
FWUN3X39501X8ON00,10,4,5,5,10,6,7,3,,,,,
FWUN3X3950928ON00,1,,1,1,,,,,,,,,
FWUN3X39509X8ON00,1,,1,1,,,,,,,,,
FWUN3X395XXX8ON00,11,5,6,6,10,6,7,3,,,,,
FWUN3X3970118ON00,,,,1,,1,,,,,,,
FWUN3X39701X8ON00,,,,1,,1,,,,,,,
FWUN3X397XXX8ON00,,,,1,,1,,,,,,,
FWUN3X3990118ON00,1,,,1,1,,1,,,,,,
FWUN3X39901X8ON00,1,,,1,1,,1,,,,,,
FWUN3X3990218ON00,,1,,1,,,,4,,,,,
