Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN5X0000008ON00,90,100,85,103,78,76,90,80,,,,,
FWUN5X1110218ON00,,,,,,,,1,,,,,
FWUN5X11102X8ON00,,,,,,,,1,,,,,
FWUN5X111XXX8ON00,,,,,,,,1,,,,,
FWUN5X1130118ON00,,,,,,1,,,,,,,
FWUN5X11301X8ON00,,,,,,1,,,,,,,
FWUN5X1130218ON00,1,,,,,,,,,,,,
FWUN5X11302X8ON00,1,,,,,,,,,,,,
FWUN5X1130518ON00,1,,,,,,,,,,,,
FWUN5X11305X8ON00,1,,,,,,,,,,,,
FWUN5X1130718ON00,1,,,,,,,,,,,,
FWUN5X11307X8ON00,1,,,,,,,,,,,,
FWUN5X1131218ON00,,,1,,,,,,,,,,
FWUN5X11312X8ON00,,,1,,,,,,,,,,
FWUN5X113XXX8ON00,3,,1,,,1,,,,,,,
FWUN5X1190138ON00,3,4,4,5,6,3,5,5,,,,,
FWUN5X11901X8ON00,3,4,4,5,6,3,5,5,,,,,
FWUN5X1190518ON00,1,,1,,1,,,,,,,,
FWUN5X11905X8ON00,1,,1,,1,,,,,,,,
FWUN5X11919X8ON00,,,,2,,,,,,,,,
FWUN5X119XXX8ON00,4,7,6,7,7,3,6,8,,,,,
FWUN5X11XXXX8ON00,10,7,9,7,7,4,6,9,,,,,
FWUN5X1310218ON00,,,1,,,,,,,,,,
FWUN5X13102X8ON00,,,1,,,,,,,,,,
FWUN5X1310318ON00,,1,,,,,,,,,,,
FWUN5X13103X8ON00,,1,,,,,,,,,,,
FWUN5X131XXX8ON00,,1,1,,,,,,,,,,
FWUN5X13XXXX8ON00,,1,1,,,,,,,,,,
FWUN5X172XXX8ON00,,,,,,,,,,,,,
FWUN5X17XXXX8ON00,,,,,,,,,,,,,
FWUN5X19409X8ON00,1,,,,,,,,,,,,
FWUN5X194XXX8ON00,1,,,,,,,,,,,,
FWUN5X19XXXX8ON00,1,,,,,,,,,,,,
FWUN5X2110128ON00,,,,1,,,,,,,,,
FWUN5X21101X8ON00,,,,1,,,,,,,,,
FWUN5X211XXX8ON00,,,,1,,,,,,,,,
FWUN5X2120218ON00,,1,,,,,,,,,,,
FWUN5X21202X8ON00,,1,,,,,,,,,,,
FWUN5X21209X8ON00,,2,,,,,,,,,,,
FWUN5X212XXX8ON00,,3,,,,,,,,,,,
FWUN5X21XXXX8ON00,,3,,1,,,,,,,,,
FWUN5X2720218ON00,,,,,,1,,,,,,,
FWUN5X27202X8ON00,,,,,,1,,,,,,,
FWUN5X272XXX8ON00,,,,,,1,,,,,,,
FWUN5X27XXXX8ON00,,,,,,1,,,,,,,
FWUN5X29106X8ON00,,,,,,1,,,,,,,
FWUN5X291XXX8ON00,,,,,,1,,,,,,,
