Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN6X0000008ON00,729,797,732,830,803,795,812,765,,,,,
FWUN6X1110118ON00,7,,4,,,,,,,,,,
FWUN6X11101X8ON00,7,,4,,,,,,,,,,
FWUN6X1110218ON00,,,3,,,,,,,,,,
FWUN6X11102X8ON00,,,3,,,,,,,,,,
FWUN6X111XXX8ON00,7,3,7,,,,,3,,,,,
FWUN6X1120228ON00,,3,,,,,,,,,,,
FWUN6X11202X8ON00,,3,,,3,,,,,,,,
FWUN6X1120318ON00,,,,,,,1,,,,,,
FWUN6X11203X8ON00,,,,,,,1,,,,,,
FWUN6X112XXX8ON00,,3,,,3,,,,,,,,
FWUN6X1130118ON00,,3,,,,,,,,,,,
FWUN6X11301X8ON00,,3,,,,,,,,,,,
FWUN6X1130218ON00,,,,1,,,1,,,,,,
FWUN6X11302X8ON00,,,,1,,,1,,,,,,
FWUN6X1130318ON00,,,,,,1,,,,,,,
FWUN6X11303X8ON00,,,,,,1,,,,,,,
FWUN6X1130518ON00,1,,,,,1,1,,,,,,
FWUN6X11305X8ON00,1,,,,,1,1,,,,,,
FWUN6X1130718ON00,,,,,,,,1,,,,,
FWUN6X11307X8ON00,,,,,,,,1,,,,,
FWUN6X1131318ON00,,,1,,,,,,,,,,
FWUN6X11313X8ON00,,,1,,,,,,,,,,
FWUN6X113XXX8ON00,3,4,5,5,4,4,2,,,,,,
FWUN6X1190138ON00,40,28,34,36,32,41,44,27,,,,,
FWUN6X11901X8ON00,40,28,34,36,32,41,44,27,,,,,
FWUN6X1190218ON00,4,3,,4,5,,,,,,,,
FWUN6X11902X8ON00,4,3,,4,5,,,,,,,,
FWUN6X1190328ON00,,1,,,,,,,,,,,
FWUN6X1190338ON00,,,,,,,,1,,,,,
FWUN6X11903X8ON00,,,,,,,,1,,,,,
FWUN6X1190518ON00,2,4,3,4,,,,3,,,,,
FWUN6X11905X8ON00,2,4,3,4,,,,3,,,,,
FWUN6X1190818ON00,1,,,,,,2,,,,,,
FWUN6X11908X8ON00,1,,,,,,2,,,,,,
FWUN6X1191218ON00,,,,1,,,,,,,,,
FWUN6X11912X8ON00,,,,1,,,,,,,,,
FWUN6X1191418ON00,,7,,,1,4,4,4,,,,,
FWUN6X11914X8ON00,,7,,,1,4,4,4,,,,,
FWUN6X1191518ON00,3,,,,,,,,,,,,
FWUN6X11915X8ON00,3,,,,,,,,,,,,
FWUN6X11919X8ON00,5,8,,5,1,,,,,,,,
FWUN6X119XXX8ON00,58,52,45,58,44,49,55,40,,,,,
FWUN6X11XXXX8ON00,69,62,59,67,52,54,61,45,,,,,
FWUN6X1310118ON00,,,,,,1,,,,,,,
FWUN6X13101X8ON00,,,,,,1,,,,,,,
FWUN6X1310418ON00,1,,,,,1,,,,,,,
FWUN6X13104X8ON00,1,,,,,1,,,,,,,
FWUN6X1310518ON00,,1,,,,,,,,,,,
FWUN6X13105X8ON00,,1,,,,,,,,,,,
FWUN6X1311118ON00,,,1,,,,,,,,,,
FWUN6X13111X8ON00,,,1,,,,,,,,,,
FWUN6X1311218ON00,,,,,1,,,,,,,,
FWUN6X13112X8ON00,,,,,1,,,,,,,,
FWUN6X1311518ON00,,,,,,,1,,,,,,
FWUN6X13115X8ON00,,,,,,,1,,,,,,
FWUN6X131XXX8ON00,,3,1,6,,4,3,3,,,,,
FWUN6X1320728ON00,,,,,,,1,,,,,,
FWUN6X13207X8ON00,,,,,,,1,,,,,,
FWUN6X1320818ON00,,,,,1,,,,,,,,
FWUN6X13208X8ON00,,,,,1,,,,,,,,
FWUN6X132XXX8ON00,,,,,4,,,,,,,,
FWUN6X13XXXX8ON00,3,3,1,7,6,6,5,4,,,,,
FWUN6X1511218ON00,,,,1,,,,,,,,,
FWUN6X1511XX8ON00,,,,4,,3,,,,,,,
FWUN6X151XXX8ON00,,,,4,,3,,,,,,,
FWUN6X15XXXX8ON00,,,,4,,3,,,,,,,
FWUN6X1710118ON00,2,,,,,,,,,,,,
FWUN6X17101X8ON00,2,,,,,,,,,,,,
FWUN6X171XXX8ON00,2,,,,,,,,,,,,
FWUN6X1720518ON00,,,,,,,,1,,,,,
FWUN6X17205X8ON00,,,,,,,,1,,,,,
FWUN6X1720718ON00,,,1,,,,1,,,,,,
FWUN6X17207X8ON00,,,1,,,,1,,,,,,
FWUN6X1721318ON00,,,,,,,,1,,,,,
FWUN6X17213X8ON00,,,,,,,,1,,,,,
FWUN6X1721418ON00,,1,,,,,,,,,,,
FWUN6X17214X8ON00,,1,,,,,,,,,,,
FWUN6X1721518ON00,,,,,,1,1,,,,,,
FWUN6X17215X8ON00,,,,,,1,1,,,,,,
FWUN6X172XXX8ON00,3,5,4,5,4,4,3,6,,,,,
FWUN6X1730118ON00,,,,,,1,,,,,,,
FWUN6X17301X8ON00,,,,,,1,,,,,,,
FWUN6X1730258ON00,,,,,1,,,,,,,,
FWUN6X17302X8ON00,,,,,1,,,,,,,,
FWUN6X173XXX8ON00,,,,,1,1,,,,,,,
FWUN6X17XXXX8ON00,6,7,5,8,5,5,3,7,,,,,
FWUN6X1920418ON00,,1,,,,,,,,,,,
FWUN6X19204X8ON00,,1,,,,,,,,,,,
FWUN6X1930518ON00,,1,,,,,,,,,,,
FWUN6X19305X8ON00,,1,,,,,,,,,,,
FWUN6X193XXX8ON00,,1,,,,,,,,,,,
FWUN6X1940118ON00,,1,,,,,,,,,,,
FWUN6X19401X8ON00,,1,,,,,,,,,,,
FWUN6X1940938ON00,,1,,,,,,,,,,,
FWUN6X19409X8ON00,,1,,,,,,,,,,,
FWUN6X194XXX8ON00,,2,,,,,,,,,,,
FWUN6X19XXXX8ON00,4,5,,,,,,,,,,,
FWUN6X2110118ON00,,,,,1,,,,,,,,
FWUN6X2110158ON00,,1,,,,,,,,,,,
FWUN6X21101X8ON00,,1,,,1,,,,,,,,
FWUN6X2110218ON00,,,,,,,,1,,,,,
FWUN6X21102X8ON00,,,,,,,,1,,,,,
FWUN6X21109X8ON00,,,1,,,,,,,,,,
FWUN6X211XXX8ON00,3,1,1,,,,,,,,,,
FWUN6X2120118ON00,1,,,,2,3,4,,,,,,
FWUN6X21201X8ON00,1,,,,2,3,4,,,,,,
FWUN6X21209X8ON00,,,,,,1,,,,,,,
FWUN6X212XXX8ON00,1,3,,4,3,4,5,,,,,,
FWUN6X21XXXX8ON00,4,4,3,5,5,4,6,4,,,,,
FWUN6X2310118ON00,,3,,,1,,,,,,,,
FWUN6X23101X8ON00,,3,,,1,,,,,,,,
FWUN6X231XXX8ON00,,3,,,1,,,,,,,,
FWUN6X23XXXX8ON00,,3,3,,1,,,,,,,,
FWUN6X2520218ON00,1,,,,,1,,,,,,,
FWUN6X2520228ON00,,,,1,,,,1,,,,,
FWUN6X25202X8ON00,1,,,,,1,,3,,,,,
FWUN6X2520318ON00,1,,1,,,,,,,,,,
FWUN6X25203X8ON00,1,,1,,,,,,,,,,
FWUN6X2520518ON00,,,,,,1,,,,,,,
FWUN6X25205X8ON00,,,,,,1,,,,,,,
FWUN6X252XXX8ON00,2,,1,,,2,,3,,,,,
FWUN6X2530218ON00,,1,,,,,,,,,,,
FWUN6X25302X8ON00,,1,,,,,,,,,,,
FWUN6X25309X8ON00,,,,1,,,,,,,,,
FWUN6X253XXX8ON00,3,1,,1,,,,,,,,,
FWUN6X2540218ON00,,1,1,,,,,,,,,,
FWUN6X25402X8ON00,,1,1,,,,,,,,,,
FWUN6X2540318ON00,1,,,,,,,,,,,,
FWUN6X25403X8ON00,1,,,,,,,,,,,,
FWUN6X254XXX8ON00,1,,1,,,,,,,,,,
FWUN6X2590418ON00,,,,1,,,,,,,,,
FWUN6X25904X8ON00,,,,1,,,,,,,,,
FWUN6X259XXX8ON00,,,,1,,,,,,,,,
FWUN6X25XXXX8ON00,9,5,5,6,,4,3,5,,,,,
FWUN6X2710238ON00,,1,,,,,,,,,,,
