Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN7X0000008ON00,65,37,41,22,41,45,36,54,,,,,
FWUN7X1190138ON00,,,,1,,1,1,,,,,,
FWUN7X11901X8ON00,,,,1,,1,1,,,,,,
FWUN7X119XXX8ON00,,,,1,,1,1,,,,,,
FWUN7X11XXXX8ON00,,,,1,,1,1,,,,,,
FWUN7X2720218ON00,1,,,,,,,,,,,,
FWUN7X2720228ON00,,,,,,1,,,,,,,
FWUN7X27202X8ON00,,,,,,1,,,,,,,
FWUN7X272XXX8ON00,,,,,,1,,,,,,,
FWUN7X27XXXX8ON00,,,,,,1,,,,,,,
FWUN7X2920568ON00,1,,,,,,,,,,,,
FWUN7X29205X8ON00,1,,,,,,,,,,,,
FWUN7X292XXX8ON00,1,,,,,,,,,,,,
FWUN7X29XXXX8ON00,1,,,,,,,,,,,,
FWUN7X3310118ON00,,,,,,1,,,,,,,
FWUN7X3310128ON00,,,,,1,,,,,,,,
FWUN7X33101X8ON00,,,,,1,1,,,,,,,
FWUN7X3310218ON00,,,,,,,,1,,,,,
FWUN7X33102X8ON00,,,,,,,,1,,,,,
FWUN7X331XXX8ON00,,,,,1,,,1,,,,,
FWUN7X3320118ON00,1,,,,,,,,,,,,
FWUN7X33201X8ON00,1,,,,,,,,,,,,
FWUN7X332XXX8ON00,1,,,,,,,,,,,,
FWUN7X3330518ON00,,1,,,1,1,,,,,,,
FWUN7X33305X8ON00,,1,,,1,1,,,,,,,
FWUN7X333XXX8ON00,,1,,,1,1,,,,,,,
FWUN7X3390218ON00,,,,,,,,1,,,,,
FWUN7X33902X8ON00,,,,,,,,1,,,,,
FWUN7X3390328ON00,,,,,1,,,,,,,,
FWUN7X33903X8ON00,,,,,1,,,,,,,,
FWUN7X339XXX8ON00,,,,,1,,,1,,,,,
FWUN7X33XXXX8ON00,,3,,,4,4,,3,,,,,
FWUN7X3520128ON00,1,,,,,,,,,,,,
FWUN7X3520148ON00,,,,,,1,,,,,,,
FWUN7X35201X8ON00,1,,,,,1,,,,,,,
FWUN7X3520218ON00,1,,,,,,,,,,,,
FWUN7X35202X8ON00,1,,,,,,,,,,,,
FWUN7X352XXX8ON00,2,,,,,1,,,,,,,
FWUN7X35XXXX8ON00,2,,,,,,,,,,,,
FWUN7X3720118ON00,1,,,,,,,,,,,,
FWUN7X37201X8ON00,1,,,,,,,,,,,,
FWUN7X372XXX8ON00,1,,,,,,,,,,,,
FWUN7X3730118ON00,8,4,3,,3,3,5,9,,,,,
FWUN7X37301X8ON00,10,5,4,,3,4,5,9,,,,,
FWUN7X373XXX8ON00,10,5,4,,3,4,5,9,,,,,
FWUN7X37XXXX8ON00,12,5,4,,4,6,7,11,,,,,
FWUN7X3970118ON00,,,1,,,,,,,,,,
FWUN7X39701X8ON00,,,1,,,,,,,,,,
FWUN7X397XXX8ON00,,,1,,,,,,,,,,
FWUN7X39XXXX8ON00,,,1,,,,,,,,,,
FWUN7X4140128ON00,,1,,,,,,,,,,,
FWUN7X41401X8ON00,,1,,,,,,,,,,,
FWUN7X414XXX8ON00,,1,,,,,,,,,,,
FWUN7X41XXXX8ON00,,1,,,,,,,,,,,
FWUN7X4350528ON00,,,1,,,,,,,,,,
FWUN7X43505X8ON00,,,1,,,,,,,,,,
FWUN7X4350718ON00,1,,,,,,,,,,,,
FWUN7X43507X8ON00,1,,,,,,,,,,,,
FWUN7X435XXX8ON00,1,,1,,,,,,,,,,
FWUN7X43XXXX8ON00,1,,1,,,,,,,,,,
FWUN7X4520928ON00,3,,,,3,4,,4,,,,,
FWUN7X4520938ON00,,,,,,,,,,,,,
