Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN8X0000008ON00,1722,1692,1754,1790,1855,1940,2013,1999,,,,,
FWUN8X1110118ON00,4,7,6,8,,3,5,10,,,,,
FWUN8X11101X8ON00,4,7,6,8,,3,5,10,,,,,
FWUN8X1110218ON00,,3,6,6,,,6,5,,,,,
FWUN8X11102X8ON00,,3,6,6,,,6,5,,,,,
FWUN8X1110318ON00,,1,,,,1,,,,,,,
FWUN8X11103X8ON00,,1,,,,1,,,,,,,
FWUN8X111XXX8ON00,4,11,12,14,4,4,11,15,,,,,
FWUN8X1120218ON00,,1,,,,,1,,,,,,
FWUN8X1120228ON00,1,,7,,4,,3,6,,,,,
FWUN8X11202X8ON00,1,3,8,,4,,4,7,,,,,
FWUN8X1120318ON00,,,,1,,,,,,,,,
FWUN8X11203X8ON00,,,,1,,,,,,,,,
FWUN8X112XXX8ON00,1,3,9,3,4,,5,7,,,,,
FWUN8X1130118ON00,,1,,,,,,,,,,,
FWUN8X11301X8ON00,,1,,,,,,,,,,,
FWUN8X1130218ON00,,1,,,,1,1,,,,,,
FWUN8X11302X8ON00,,1,,,,1,1,,,,,,
FWUN8X1130318ON00,4,,,,,,1,,,,,,
FWUN8X11303X8ON00,4,,,,,,1,,,,,,
FWUN8X1130518ON00,,,1,,,,,,,,,,
FWUN8X11305X8ON00,,,1,,,,,,,,,,
FWUN8X1130618ON00,,,,,,,1,,,,,,
FWUN8X11306X8ON00,,,,,,,1,,,,,,
FWUN8X1130718ON00,,5,,,,4,1,,,,,,
FWUN8X11307X8ON00,,5,,,,4,1,,,,,,
FWUN8X1131218ON00,,1,,1,,,,,,,,,
FWUN8X11312X8ON00,,1,,1,,,,,,,,,
FWUN8X113XXX8ON00,4,8,,5,5,6,5,4,,,,,
FWUN8X1190138ON00,97,81,71,97,89,93,78,110,,,,,
FWUN8X11901X8ON00,97,81,71,97,89,93,78,110,,,,,
FWUN8X1190218ON00,10,9,6,3,,3,3,,,,,,
FWUN8X11902X8ON00,10,9,6,3,,3,3,,,,,,
FWUN8X1190328ON00,,1,,1,,1,1,,,,,,
FWUN8X1190338ON00,2,,,,,,,,,,,,
FWUN8X11903X8ON00,4,1,,1,,1,1,,,,,,
FWUN8X1190518ON00,4,,5,4,,,1,,,,,,
FWUN8X11905X8ON00,4,,5,4,,,1,,,,,,
FWUN8X1190618ON00,,,,1,,,,,,,,,
FWUN8X11906X8ON00,,,,1,,,,,,,,,
FWUN8X1190818ON00,2,1,,3,,1,,2,,,,,
FWUN8X11908X8ON00,2,1,,3,,1,,2,,,,,
FWUN8X1191118ON00,,4,,3,,,,,,,,,
FWUN8X11911X8ON00,,4,,3,,,,,,,,,
FWUN8X1191318ON00,,,1,,,,1,,,,,,
FWUN8X11913X8ON00,,,1,,,,1,,,,,,
FWUN8X1191418ON00,2,8,4,4,5,3,,2,,,,,
FWUN8X11914X8ON00,2,8,4,4,5,3,,2,,,,,
FWUN8X1191518ON00,,1,,,,,,,,,,,
FWUN8X11915X8ON00,,1,,,,,,,,,,,
FWUN8X11919X8ON00,10,4,8,4,4,5,4,,,,,,
FWUN8X119XXX8ON00,131,109,97,121,103,110,93,117,,,,,
FWUN8X11XXXX8ON00,140,131,120,143,116,121,114,143,,,,,
FWUN8X1310218ON00,,,1,,3,,1,,,,,,
FWUN8X13102X8ON00,,,1,,4,,1,,,,,,
FWUN8X1310318ON00,,,,,,,,3,,,,,
FWUN8X13103X8ON00,,,,,,,,3,,,,,
FWUN8X1310418ON00,,,,,2,,,,,,,,
FWUN8X13104X8ON00,,,,,2,,,,,,,,
FWUN8X1310518ON00,1,,,,,,,,,,,,
FWUN8X13105X8ON00,1,,,,,,,,,,,,
FWUN8X1310718ON00,,,,1,,,,,,,,,
FWUN8X1310758ON00,1,,,,,,,,,,,,
FWUN8X13107X8ON00,3,,,1,,,,,,,,,
FWUN8X1311118ON00,,,,3,,4,,,,,,,
FWUN8X13111X8ON00,,,,3,,4,,,,,,,
FWUN8X1311218ON00,1,,,,,,,,,,,,
