Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWUN9X0000008ON00,1314,1224,1249,1306,1293,1446,1362,1504,,,,,
FWUN9X1110118ON00,3,8,,1,3,,1,4,,,,,
FWUN9X11101X8ON00,3,8,,1,3,,1,4,,,,,
FWUN9X1110218ON00,5,,,4,,,,3,,,,,
FWUN9X11102X8ON00,5,,,4,,,,3,,,,,
FWUN9X111XXX8ON00,8,10,,5,5,,3,7,,,,,
FWUN9X1120118ON00,,,,,,,1,,,,,,
FWUN9X11201X8ON00,,,,,,,1,,,,,,
FWUN9X1120218ON00,,,1,,,,,1,,,,,
FWUN9X1120228ON00,,,1,2,1,,,,,,,,
FWUN9X11202X8ON00,3,,2,2,1,,,1,,,,,
FWUN9X112XXX8ON00,3,,3,2,3,,3,1,,,,,
FWUN9X1130118ON00,,,,,,1,,,,,,,
FWUN9X11301X8ON00,,,,,,1,,,,,,,
FWUN9X1130218ON00,1,,,,,,,,,,,,
FWUN9X11302X8ON00,1,,,,,,,,,,,,
FWUN9X1130318ON00,,,,,,1,,,,,,,
FWUN9X11303X8ON00,,,,,,1,,,,,,,
FWUN9X1130518ON00,4,,3,,,,,,,,,,
FWUN9X11305X8ON00,4,,3,,,,,,,,,,
FWUN9X1130718ON00,,2,,,,,,,,,,,
FWUN9X11307X8ON00,,2,,,,,,,,,,,
FWUN9X1131218ON00,,,,1,,,,,,,,,
FWUN9X11312X8ON00,,,,1,,,,,,,,,
FWUN9X113XXX8ON00,7,4,6,4,3,6,4,,,,,,
FWUN9X1190138ON00,105,105,95,116,101,95,110,88,,,,,
FWUN9X11901X8ON00,105,105,95,116,101,95,110,88,,,,,
FWUN9X1190218ON00,4,8,3,4,,,,,,,,,
FWUN9X11902X8ON00,4,8,3,4,,,,,,,,,
FWUN9X1190338ON00,,1,,1,,,,,,,,,
FWUN9X11903X8ON00,,1,,1,,,,,,,,,
FWUN9X1190418ON00,,,1,,,,,2,,,,,
FWUN9X11904X8ON00,,,1,,,,,2,,,,,
FWUN9X1190518ON00,7,4,3,5,8,5,5,3,,,,,
FWUN9X11905X8ON00,7,4,3,5,8,5,5,3,,,,,
FWUN9X1190818ON00,4,,4,3,,1,,,,,,,
FWUN9X11908X8ON00,4,,4,3,,1,,,,,,,
FWUN9X1191118ON00,4,,1,1,,,,,,,,,
FWUN9X11911X8ON00,4,,1,1,,,,,,,,,
FWUN9X1191218ON00,,,,,,,,1,,,,,
FWUN9X11912X8ON00,,,,,,,,1,,,,,
FWUN9X1191418ON00,3,,,6,6,5,1,3,,,,,
FWUN9X11914X8ON00,3,,,6,6,5,1,3,,,,,
FWUN9X1191518ON00,1,1,1,,,,,1,,,,,
FWUN9X11915X8ON00,1,1,1,,,,,1,,,,,
FWUN9X11919X8ON00,12,10,,4,4,3,,3,,,,,
FWUN9X119XXX8ON00,140,132,113,143,124,112,123,106,,,,,
FWUN9X11XXXX8ON00,158,148,124,154,135,121,133,115,,,,,
FWUN9X1310318ON00,,,,,,,,1,,,,,
FWUN9X13103X8ON00,,,,,,,,1,,,,,
FWUN9X1310418ON00,,1,,,,,,,,,,,
FWUN9X13104X8ON00,,1,,,,,,,,,,,
FWUN9X1311118ON00,,1,,,,1,,,,,,,
FWUN9X13111X8ON00,,1,,,,1,,,,,,,
FWUN9X1311518ON00,,,,1,,,,,,,,,
FWUN9X13115X8ON00,,,,1,,,,,,,,,
FWUN9X131XXX8ON00,,2,,,,1,,6,,,,,
FWUN9X13209X8ON00,,,,,1,,,,,,,,
FWUN9X132XXX8ON00,3,,,,3,,6,,,,,,
FWUN9X13XXXX8ON00,5,3,4,4,4,1,6,7,,,,,
FWUN9X1511118ON00,,,,1,,,,,,,,,
FWUN9X15111X8ON00,,,,1,,,,,,,,,
FWUN9X1511318ON00,,,,,2,,,,,,,,
FWUN9X1511328ON00,,,,,1,,,,,,,,
FWUN9X15113X8ON00,,,,4,4,,,,,,,,
FWUN9X1511418ON00,,,,1,,,,,,,,,
FWUN9X15114X8ON00,,,,1,,,,,,,,,
FWUN9X1511518ON00,,,,1,,,,,,,,,
FWUN9X1511XX8ON00,,,4,8,5,5,4,4,,,,,
FWUN9X15123X8ON00,,,,,,,,,,,,,
FWUN9X15125X8ON00,,,,,,,,,,,,,
FWUN9X1512XX8ON00,,,,,,,,,,,,,
FWUN9X151XXX8ON00,,,4,8,5,5,,,,,,,
FWUN9X1520418ON00,1,,,,,,,,,,,,
FWUN9X15204X8ON00,1,,,,,,,,,,,,
FWUN9X152XXX8ON00,1,,,,,,,,,,,,
FWUN9X15XXXX8ON00,1,,4,8,5,5,4,4,,,,,
FWUN9X171XXX8ON00,,,,,,,3,,,,,,
FWUN9X1720318ON00,,,,1,,,,,,,,,
FWUN9X17203X8ON00,,,,1,,,,,,,,,
FWUN9X1720518ON00,,,,,,,,1,,,,,
FWUN9X17205X8ON00,,,,,,,,1,,,,,
FWUN9X1720718ON00,,,,,,1,,,,,,,
FWUN9X17207X8ON00,,,,,,1,,,,,,,
FWUN9X1721128ON00,1,,1,,,,,,,,,,
FWUN9X17211X8ON00,1,,1,,,,,,,,,,
