Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURAT0000008ON00,121,147,125,137,114,160,144,153,,,,,
FWURAT1110118ON00,,,,,,,,4,,,,,
FWURAT11101X8ON00,,,,,,,,4,,,,,
FWURAT111XXX8ON00,,,,,,,,5,,,,,
FWURAT1130218ON00,,,,,,,1,,,,,,
FWURAT11302X8ON00,,,,,,,1,,,,,,
FWURAT1190218ON00,,,,,,,,,,,,,
FWURAT11902X8ON00,,,,,,,,,,,,,
FWURAT1190518ON00,3,5,7,,,3,3,,,,,,
FWURAT11905X8ON00,3,5,7,,,3,3,,,,,,
FWURAT1190818ON00,3,3,,,,,,,,,,,
FWURAT11908X8ON00,3,3,,,,,,,,,,,
FWURAT1191418ON00,1,,,,,,,,,,,,
FWURAT11914X8ON00,1,,,,,,,,,,,,
FWURAT11919X8ON00,,,,5,,,,,,,,,
FWURAT119XXX8ON00,12,12,10,8,,3,7,8,,,,,
FWURAT11XXXX8ON00,13,14,13,8,4,6,9,13,,,,,
FWURAT1320528ON00,,,,,,,,1,,,,,
FWURAT1320728ON00,,,1,,,,,,,,,,
FWURAT13207X8ON00,,,1,,,,,,,,,,
FWURAT132XXX8ON00,,,1,,,,,,,,,,
FWURAT13XXXX8ON00,,,1,,,,,,,,,,
FWURAT1511XX8ON00,,,,,,3,,,,,,,
FWURAT151XXX8ON00,,,,,,3,,,,,,,
FWURAT15XXXX8ON00,,,,,,3,,,,,,,
FWURAT172XXX8ON00,,,3,3,,,,3,,,,,
FWURAT17302X8ON00,,,,,,,,,,,,,
FWURAT173XXX8ON00,,,,,,,,,,,,,
FWURAT17XXXX8ON00,,,3,3,,,,3,,,,,
FWURAT1910428ON00,,,,,,1,,,,,,,
FWURAT19104X8ON00,,,,,,1,,,,,,,
FWURAT191XXX8ON00,,,,,,1,,,,,,,
FWURAT19XXXX8ON00,3,,,,,1,,3,,,,,
FWURAT2120118ON00,,,,,1,,,,,,,,
FWURAT21201X8ON00,,,,,1,,,,,,,,
FWURAT21XXXX8ON00,,,,,,,,,,,,,
FWURAT251XXX8ON00,,,,,,4,,,,,,,
FWURAT25XXXX8ON00,,,,,,5,,,,,,,
FWURAT27209X8ON00,,,,,,,1,,,,,,
FWURAT272XXX8ON00,,,,,,,1,,,,,,
FWURAT27XXXX8ON00,,,,,,,1,,,,,,
FWURAT2910618ON00,,,,,,1,,,,,,,
FWURAT29106X8ON00,,,,,3,1,3,,,,,,
FWURAT291XXX8ON00,3,3,,,6,,3,,,,,,
FWURAT2990118ON00,,,,,1,,,,,,,,
FWURAT29901X8ON00,,,,,1,,,,,,,,
FWURAT299XXX8ON00,,,,,1,,,,,,,,
FWURAT29XXXX8ON00,3,4,,,9,,4,,,,,,
FWURAT3111218ON00,,,,,,,,,,,,,
FWURAT31112X8ON00,,,,,,,,,,,,,
FWURAT3111XX8ON00,,,,,,,,,,,,,
FWURAT311XXX8ON00,,,,,,,,,,,,,
FWURAT31XXXX8ON00,,,,,,,,,,,,,
FWURAT3330518ON00,,,,3,1,,1,1,,,,,
FWURAT33305X8ON00,,,,3,1,,1,1,,,,,
FWURAT333XXX8ON00,,,,3,1,,1,3,,,,,
FWURAT3390328ON00,,,,,,3,,3,,,,,
FWURAT33903X8ON00,,,,,,3,,3,,,,,
FWURAT339XXX8ON00,,,,,,3,,3,,,,,
FWURAT33XXXX8ON00,,3,,3,3,4,,6,,,,,
FWURAT35101X8ON00,,,,3,,,3,,,,,,
FWURAT351XXX8ON00,,,,3,,,3,,,,,,
FWURAT3520148ON00,,,,,1,,,,,,,,
FWURAT35201X8ON00,,,,3,1,3,,3,,,,,
FWURAT352XXX8ON00,,,,4,1,5,,4,,,,,
FWURAT3530218ON00,,,,,,3,,,,,,,
FWURAT35302X8ON00,,,,,,3,,,,,,,
FWURAT353XXX8ON00,,,,,3,4,,,,,,,
FWURAT35XXXX8ON00,,4,,7,7,11,7,6,,,,,
FWURAT3720118ON00,3,,,,,,,,,,,,
FWURAT37201X8ON00,5,,4,,,,,,,,,,
FWURAT372XXX8ON00,5,,4,,,,,,,,,,
FWURAT37XXXX8ON00,6,3,4,4,,3,,4,,,,,
FWURAT3910218ON00,,5,,,,,,,,,,,
FWURAT39102X8ON00,,5,,,,,,,,,,,
