Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURBT0000008ON00,440,486,439,475,495,587,530,615,,,,,
FWURBT111XXX8ON00,4,,,,,,,,,,,,
FWURBT1130318ON00,,,1,,,,,,,,,,
FWURBT11303X8ON00,,,1,,,,,,,,,,
FWURBT113XXX8ON00,,,3,3,,,,,,,,,
FWURBT1190138ON00,3,,,,3,,3,,,,,,
FWURBT11901X8ON00,3,,,,3,,3,,,,,,
FWURBT1190518ON00,5,4,5,4,,5,,3,,,,,
FWURBT11905X8ON00,5,4,5,4,,5,,3,,,,,
FWURBT1191418ON00,,,,,3,3,,,,,,,
FWURBT11914X8ON00,,,,,3,3,,,,,,,
FWURBT11919X8ON00,,3,,,,,,,,,,,
FWURBT119XXX8ON00,13,12,13,10,10,11,9,7,,,,,
FWURBT11XXXX8ON00,19,13,16,14,13,14,13,8,,,,,
FWURBT131XXX8ON00,4,,,,,,,3,,,,,
FWURBT1320118ON00,1,,,,,,,,,,,,
FWURBT13201X8ON00,1,,,,,,,,,,,,
FWURBT13209X8ON00,,,,,3,,,,,,,,
FWURBT132XXX8ON00,1,,,,3,,,,,,,,
FWURBT13XXXX8ON00,5,,3,,4,,,4,,,,,
FWURBT1511318ON00,,,,,,1,,,,,,,
FWURBT15113X8ON00,,,,,,1,,,,,,,
FWURBT1511XX8ON00,,,,,,1,,,,,,,
FWURBT151XXX8ON00,,,,,,1,,,,,,,
FWURBT15XXXX8ON00,,,,,,1,,,,,,,
FWURBT172XXX8ON00,,,,3,,,3,,,,,,
FWURBT17XXXX8ON00,,,,4,4,,4,,,,,,
FWURBT194XXX8ON00,,4,,,,,,,,,,,
FWURBT19XXXX8ON00,,5,3,,,,,,,,,,
FWURBT21101X8ON00,,,,,,,3,,,,,,
FWURBT21102X8ON00,3,,,,,,,,,,,,
FWURBT211XXX8ON00,4,4,,3,,4,7,6,,,,,
FWURBT2120118ON00,,3,,,5,1,,,,,,,
FWURBT21201X8ON00,,3,,,5,1,,,,,,,
FWURBT212XXX8ON00,,4,,,7,,,,,,,,
FWURBT21XXXX8ON00,4,8,,5,9,6,8,6,,,,,
FWURBT2310118ON00,,,,1,,,,,,,,,
FWURBT23101X8ON00,,,,1,,,,,,,,,
FWURBT231XXX8ON00,,,,1,,,,,,,,,
FWURBT23XXXX8ON00,,,,1,,,,,,,,,
FWURBT25XXXX8ON00,,3,,,,,,,,,,,
FWURBT2720218ON00,,2,,,,,1,,,,,,
FWURBT27202X8ON00,,2,,,,,,,,,,,
FWURBT2720428ON00,,,,,,4,,,,,,,
FWURBT27204X8ON00,,,,,,4,,,,,,,
FWURBT272XXX8ON00,,2,,,3,5,4,5,,,,,
FWURBT2730228ON00,,,,,1,,,,,,,,
FWURBT27302X8ON00,,,,,1,,,,,,,,
FWURBT27XXXX8ON00,,5,4,3,7,6,4,5,,,,,
FWURBT2910718ON00,,,,1,,,,,,,,,
FWURBT29107X8ON00,,,,1,,,,,,,,,
FWURBT2911418ON00,,,,,1,,,,,,,,
FWURBT29114X8ON00,,,,,1,,,,,,,,
FWURBT291XXX8ON00,4,,,4,,,,,,,,,
FWURBT2920618ON00,,,,,,,,3,,,,,
FWURBT29206X8ON00,,,,,,,,3,,,,,
FWURBT292XXX8ON00,,,,,,4,,8,,,,,
FWURBT29XXXX8ON00,4,,,5,5,6,,9,,,,,
FWURBT3110118ON00,,,,,,,,3,,,,,
FWURBT3110138ON00,,,1,,,,,,,,,,
FWURBT3110148ON00,4,,,,,,4,3,,,,,
FWURBT31101X8ON00,6,,3,,3,4,7,6,,,,,
FWURBT311XXX8ON00,6,,3,,3,4,7,6,,,,,
FWURBT3190118ON00,,1,,,,,,,,,,,
FWURBT31901X8ON00,,1,,,,,,,,,,,
FWURBT319XXX8ON00,,1,,,,,,,,,,,
FWURBT31XXXX8ON00,8,,4,,4,5,7,6,,,,,
FWURBT33101X8ON00,,,,,,,4,,,,,,
FWURBT3310218ON00,,,1,,,,,,,,,,
FWURBT33102X8ON00,,,1,,,,,,,,,,
FWURBT331XXX8ON00,,,,,,,5,4,,,,,
FWURBT3320118ON00,,3,,3,1,,,,,,,,
FWURBT33201X8ON00,,3,,3,1,,,,,,,,
