Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURFT0000008ON00,3850,3804,3706,3975,3893,4220,4220,4222,,,,,
FWURFT1110118ON00,21,20,14,11,9,9,9,18,,,,,
FWURFT11101X8ON00,21,20,14,11,9,9,9,18,,,,,
FWURFT1110218ON00,6,7,12,13,11,,14,14,,,,,
FWURFT11102X8ON00,6,7,12,13,11,,14,14,,,,,
FWURFT1110318ON00,,1,,,,1,,,,,,,
FWURFT11103X8ON00,,1,,,,1,,,,,,,
FWURFT111XXX8ON00,27,28,26,24,20,12,23,32,,,,,
FWURFT1120218ON00,,,4,,,,1,,,,,,
FWURFT1120228ON00,4,9,9,8,5,4,9,7,,,,,
FWURFT11202X8ON00,6,10,13,8,6,4,10,9,,,,,
FWURFT1120318ON00,,,,,,,1,,,,,,
FWURFT11203X8ON00,,,,,,,1,,,,,,
FWURFT112XXX8ON00,6,11,16,10,8,5,13,10,,,,,
FWURFT1130118ON00,5,7,4,4,,4,,,,,,,
FWURFT11301X8ON00,5,7,4,4,,4,,,,,,,
FWURFT1130218ON00,4,1,1,3,,3,,,,,,,
FWURFT11302X8ON00,4,1,1,3,,3,,,,,,,
FWURFT1130318ON00,6,1,2,3,7,3,6,,,,,,
FWURFT11303X8ON00,6,1,2,3,7,3,6,,,,,,
FWURFT1130518ON00,6,,4,6,4,3,4,4,,,,,
FWURFT11305X8ON00,6,,4,6,4,3,4,4,,,,,
FWURFT1130718ON00,,8,3,6,4,7,,4,,,,,
FWURFT11307X8ON00,,8,3,6,4,7,,4,,,,,
FWURFT1131218ON00,,1,1,4,,,,,,,,,
FWURFT11312X8ON00,,1,1,4,,,,,,,,,
FWURFT1131318ON00,,,1,,,,,,,,,,
FWURFT11313X8ON00,,,1,,,,,,,,,,
FWURFT113XXX8ON00,24,19,18,26,18,22,17,10,,,,,
FWURFT1190138ON00,262,231,228,267,249,253,256,251,,,,,
FWURFT11901X8ON00,262,231,228,267,249,253,256,251,,,,,
FWURFT1190218ON00,18,21,14,15,11,3,12,8,,,,,
FWURFT11902X8ON00,18,21,14,15,11,3,12,8,,,,,
FWURFT1190328ON00,3,3,4,,,1,3,,,,,,
FWURFT1190338ON00,2,1,,,,,,,,,,,
FWURFT11903X8ON00,7,5,4,5,3,3,3,4,,,,,
FWURFT1190418ON00,,,,,,3,1,2,,,,,
FWURFT11904X8ON00,,,,,,3,1,2,,,,,
FWURFT1190518ON00,14,18,19,14,13,14,10,10,,,,,
FWURFT11905X8ON00,14,18,19,14,13,14,10,10,,,,,
FWURFT1190618ON00,,,,1,1,,3,,,,,,
FWURFT11906X8ON00,,,,1,1,,3,,,,,,
FWURFT1190818ON00,6,1,5,7,5,3,4,7,,,,,
FWURFT11908X8ON00,6,1,5,7,5,3,4,7,,,,,
FWURFT1191118ON00,5,6,3,4,,3,3,4,,,,,
FWURFT11911X8ON00,5,6,3,4,,3,3,4,,,,,
FWURFT1191218ON00,,,,,,,,1,,,,,
FWURFT11912X8ON00,,,,,,,,1,,,,,
FWURFT1191318ON00,,,,,,,2,,,,,,
FWURFT11913X8ON00,,,,,,,2,,,,,,
FWURFT1191418ON00,12,27,16,18,18,21,13,14,,,,,
FWURFT11914X8ON00,12,27,16,18,18,21,13,14,,,,,
FWURFT1191518ON00,6,4,1,4,1,,,1,,,,,
FWURFT11915X8ON00,6,4,1,4,1,,,1,,,,,
FWURFT11919X8ON00,33,34,16,16,8,8,10,4,,,,,
FWURFT119XXX8ON00,364,348,310,355,312,314,319,307,,,,,
FWURFT11XXXX8ON00,421,406,370,415,358,353,372,359,,,,,
FWURFT1310218ON00,,,2,,3,,1,2,,,,,
