Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURHT0000008ON00,749,748,817,804,903,879,903,961,,,,,
FWURHT1110118ON00,,,,,,1,,,,,,,
FWURHT11101X8ON00,,,,,,1,,,,,,,
FWURHT111XXX8ON00,,,,,,1,,,,,,,
FWURHT113XXX8ON00,4,,,,,,,,,,,,
FWURHT1190138ON00,3,1,3,5,5,6,,5,,,,,
FWURHT11901X8ON00,3,1,3,5,5,6,,5,,,,,
FWURHT1190218ON00,2,1,3,,,,,,,,,,
FWURHT11902X8ON00,2,1,3,,,,,,,,,,
FWURHT1190518ON00,4,,5,5,6,3,,3,,,,,
FWURHT11905X8ON00,4,,5,5,6,3,,3,,,,,
FWURHT1191318ON00,,,,,,,1,,,,,,
FWURHT11913X8ON00,,,,,,,1,,,,,,
FWURHT1191418ON00,,,,,3,,,,,,,,
FWURHT11914X8ON00,,,,,3,,,,,,,,
FWURHT11919X8ON00,5,,,1,,,,,,,,,
FWURHT119XXX8ON00,15,8,12,14,14,13,9,9,,,,,
FWURHT11XXXX8ON00,20,10,16,15,16,15,11,10,,,,,
FWURHT1511218ON00,,,,,,1,,,,,,,
FWURHT15112X8ON00,,,,,,1,,,,,,,
FWURHT1511XX8ON00,,,,,,1,,3,,,,,
FWURHT151XXX8ON00,,,,,,1,,,,,,,
FWURHT15XXXX8ON00,,,,,,1,,3,,,,,
FWURHT1710118ON00,1,,,,,,,,,,,,
FWURHT17101X8ON00,1,,,,,,,,,,,,
FWURHT171XXX8ON00,1,,,,,,,,,,,,
FWURHT1721418ON00,,1,,,,,,,,,,,
FWURHT17214X8ON00,,1,,,,,,,,,,,
FWURHT172XXX8ON00,,,,,3,,,4,,,,,
FWURHT17XXXX8ON00,,3,,,3,,,8,,,,,
FWURHT1930318ON00,1,,,,,,,,,,,,
FWURHT19303X8ON00,1,,,,,,,,,,,,
FWURHT193XXX8ON00,1,,,,,,,,,,,,
FWURHT19XXXX8ON00,1,,4,3,,,,,,,,,
FWURHT2110158ON00,,1,,,,,,,,,,,
FWURHT21101X8ON00,,1,,,,,,,,,,,
FWURHT211XXX8ON00,3,1,,,,,,,,,,,
FWURHT21XXXX8ON00,3,1,,,,4,,,,,,,
FWURHT25XXXX8ON00,3,,,,,,,,,,,,
FWURHT27101X8ON00,,,1,,,1,,,,,,,
FWURHT271XXX8ON00,,,,,,1,,,,,,,
FWURHT2720218ON00,3,,,,,,,3,,,,,
FWURHT27202X8ON00,5,,,,5,,3,3,,,,,
FWURHT2720318ON00,,,,1,,,,,,,,,
FWURHT27203X8ON00,,,,1,,,,,,,,,
FWURHT2720428ON00,,,,,,1,,,,,,,
FWURHT27204X8ON00,,,,,,1,,,,,,,
FWURHT27209X8ON00,1,,,,,,,,,,,,
FWURHT272XXX8ON00,6,,3,,6,3,3,6,,,,,
FWURHT2730118ON00,,,,,,1,,,,,,,
FWURHT2730128ON00,,,,,,1,,,,,,,
FWURHT27301X8ON00,,,,,,2,,,,,,,
FWURHT273XXX8ON00,,,,,,2,,,,,,,
FWURHT274XXX8ON00,,,,3,,,,,,,,,
FWURHT27XXXX8ON00,6,3,6,5,8,7,3,9,,,,,
FWURHT2910218ON00,1,,,,,,,,,,,,
