Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURIT0000008ON00,30,37,35,34,36,38,38,42,,,,,
FWURIT1190138ON00,,,,,3,,,,,,,,
FWURIT11901X8ON00,,,,,3,,,,,,,,
FWURIT119XXX8ON00,,3,,,3,,,,,,,,
FWURIT11XXXX8ON00,,3,,,3,,,3,,,,,
FWURIT17XXXX8ON00,,,,,,,,,,,,,
FWURIT3330518ON00,,,,,3,,3,4,,,,,
FWURIT33305X8ON00,,,,,3,,3,4,,,,,
FWURIT333XXX8ON00,,,,,3,,3,5,,,,,
FWURIT33XXXX8ON00,,5,,,3,4,6,6,,,,,
FWURIT3730118ON00,,,,,,,,1,,,,,
FWURIT37301X8ON00,,,,,3,,,1,,,,,
FWURIT373XXX8ON00,,,,,3,,,1,,,,,
FWURIT37XXXX8ON00,,,,,5,,,1,,,,,
FWURIT41XXXX8ON00,,,,,,,,,,,,,
FWURIT4530118ON00,4,,5,,,,4,6,,,,,
FWURIT45301X8ON00,4,,5,,,,4,6,,,,,
FWURIT453XXX8ON00,4,,5,,,,4,6,,,,,
FWURIT45XXXX8ON00,6,4,7,4,5,3,5,7,,,,,
FWURIT4720618ON00,,,,,,4,,3,,,,,
FWURIT47206X8ON00,,,,,,4,,3,,,,,
FWURIT4721318ON00,,,,,,1,,,,,,,
FWURIT47213X8ON00,,,,,,1,,,,,,,
FWURIT4721818ON00,,,,,,,4,,,,,,
FWURIT47218X8ON00,,,,,,,4,,,,,,
FWURIT472XXX8ON00,5,,3,6,6,12,9,7,,,,,
FWURIT475XXX8ON00,,3,,,,,,,,,,,
FWURIT47XXXX8ON00,7,6,4,7,7,14,11,8,,,,,
FWURIT499XXX8ON00,4,,3,3,,,,3,,,,,
FWURIT49XXXX8ON00,4,,3,4,3,,,3,,,,,
FWURIT514XXX8ON00,,,3,,,,,,,,,,
FWURIT51XXXX8ON00,,,4,,,,,,,,,,
FWURIT5330328ON00,3,6,3,8,,,4,5,,,,,
FWURIT53303X8ON00,3,6,3,8,4,,4,5,,,,,
FWURIT533XXX8ON00,4,6,3,9,4,,5,8,,,,,
FWURIT5370628ON00,,,3,,,,,,,,,,
FWURIT53706X8ON00,,,3,,,,,,,,,,
FWURIT537XXX8ON00,,,4,,,3,,,,,,,
FWURIT53XXXX8ON00,7,8,7,10,5,7,7,11,,,,,
