Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURMT0000008ON00,15,5,12,20,12,15,9,14,,,,,
FWURMT1920318ON00,,,,,,1,,,,,,,
FWURMT19203X8ON00,,,,,,1,,,,,,,
FWURMT192XXX8ON00,,,,,,1,,,,,,,
FWURMT19XXXX8ON00,,,,,,1,,,,,,,
FWURMT3730118ON00,,,3,,,,,,,,,,
FWURMT37301X8ON00,,,3,,,,,,,,,,
FWURMT373XXX8ON00,,,3,,,,,,,,,,
FWURMT37XXXX8ON00,,,4,,,,,,,,,,
FWURMT4340818ON00,,1,,,,,,,,,,,
FWURMT43408X8ON00,,1,,,,,,,,,,,
FWURMT434XXX8ON00,,1,,,,,,,,,,,
FWURMT43XXXX8ON00,,1,,,,,,,,,,,
FWURMT472XXX8ON00,3,,,4,3,,,,,,,,
FWURMT475XXX8ON00,5,,,,,,,,,,,,
FWURMT47XXXX8ON00,8,,,4,3,3,,,,,,,
FWURMT49XXXX8ON00,,,,,,,,,,,,,
FWURMT5330328ON00,,,5,3,,,,,,,,,
FWURMT53303X8ON00,,,5,3,,,,,,,,,
FWURMT533XXX8ON00,,,5,4,3,,,,,,,,
FWURMT53XXXX8ON00,,,5,6,3,,,,,,,,
