Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURNT0000008ON00,843,824,879,846,943,970,927,1028,,,,,
FWURNT1110118ON00,,,4,,2,,,5,,,,,
FWURNT11101X8ON00,,,4,,2,,,5,,,,,
FWURNT1110218ON00,3,3,,1,,,,,,,,,
FWURNT11102X8ON00,3,3,,1,,,,,,,,,
FWURNT111XXX8ON00,4,4,4,1,2,,,7,,,,,
FWURNT1120218ON00,,1,,,,,,,,,,,
FWURNT11202X8ON00,,1,,,,,,,,,,,
FWURNT112XXX8ON00,,1,,,,,,,,,,,
FWURNT1130218ON00,,,,,,,1,,,,,,
FWURNT11302X8ON00,,,,,,,1,,,,,,
FWURNT1130318ON00,,,,,,,1,,,,,,
FWURNT11303X8ON00,,,,,,,1,,,,,,
FWURNT1130718ON00,1,,,,1,,,,,,,,
FWURNT11307X8ON00,1,,,,1,,,,,,,,
FWURNT113XXX8ON00,3,5,,,1,,4,,,,,,
FWURNT1190138ON00,6,1,3,3,3,7,,6,,,,,
FWURNT11901X8ON00,6,1,3,3,3,7,,6,,,,,
FWURNT1190218ON00,3,3,,,,,,,,,,,
FWURNT11902X8ON00,3,3,,,,,,,,,,,
FWURNT1190328ON00,1,1,,,,1,,,,,,,
FWURNT11903X8ON00,1,,,,,1,,,,,,,
FWURNT1190518ON00,14,9,17,8,9,9,9,6,,,,,
FWURNT11905X8ON00,14,9,17,8,9,9,9,6,,,,,
FWURNT1190718ON00,,,,,,,,1,,,,,
FWURNT11907X8ON00,,,,,,,,1,,,,,
FWURNT1190818ON00,3,5,,,,,1,4,,,,,
FWURNT11908X8ON00,3,5,,,,,1,4,,,,,
FWURNT1191118ON00,,,,1,,,,,,,,,
FWURNT11911X8ON00,,,,1,,,,,,,,,
FWURNT1191218ON00,,,,1,,,,,,,,,
FWURNT11912X8ON00,,,,1,,,,,,,,,
FWURNT1191318ON00,,,1,,,,,,,,,,
FWURNT11913X8ON00,,,1,,,,,,,,,,
FWURNT1191418ON00,3,3,4,,,,3,3,,,,,
FWURNT11914X8ON00,3,3,4,,,,3,3,,,,,
FWURNT11919X8ON00,7,4,,5,1,,3,,,,,,
FWURNT119XXX8ON00,38,29,31,22,16,22,19,20,,,,,
FWURNT11XXXX8ON00,46,39,38,25,21,24,24,28,,,,,
FWURNT1311218ON00,1,1,,,,,,,,,,,
FWURNT13112X8ON00,1,1,,,,,,,,,,,
FWURNT131XXX8ON00,,1,,,,,,,,,,,
FWURNT1320528ON00,,,,,,,,1,,,,,
FWURNT1320538ON00,,,,,,1,,,,,,,
FWURNT13205X8ON00,,,,,,1,,,,,,,
FWURNT1320728ON00,,,,,1,,,,,,,,
FWURNT13207X8ON00,,,,,1,,,,,,,,
FWURNT132XXX8ON00,,,,,1,1,,,,,,,
FWURNT13XXXX8ON00,,1,,,3,1,,4,,,,,
FWURNT1511218ON00,,,,,,1,,,,,,,
FWURNT15112X8ON00,,,,,,1,,,,,,,
FWURNT1511318ON00,,,,,1,,,,,,,,
FWURNT1511338ON00,,,,,,3,,,,,,,
FWURNT15113X8ON00,,,,,,3,,,,,,,
FWURNT1511XX8ON00,,,,,,5,,3,,,,,
FWURNT151XXX8ON00,,,,,,5,,,,,,,
FWURNT1520418ON00,1,,,,,,,,,,,,
FWURNT15204X8ON00,1,,,,,,,,,,,,
FWURNT152XXX8ON00,1,,,,,,,,,,,,
FWURNT15XXXX8ON00,1,,,,,5,,3,,,,,
FWURNT1710118ON00,1,,,,,,,,,,,,
FWURNT17101X8ON00,1,,,,,,,,,,,,
FWURNT1710228ON00,,,,,,1,,,,,,,
FWURNT17102X8ON00,,,,,,1,,,,,,,
FWURNT171XXX8ON00,1,,,,,1,,,,,,,
FWURNT1720118ON00,,,,1,,,,,,,,,
FWURNT17201X8ON00,,,,1,,,,,,,,,
FWURNT1720518ON00,,,,,3,,,,,,,,
FWURNT17205X8ON00,,,,,3,,,,,,,,
FWURNT1720718ON00,,,,,,,2,,,,,,
FWURNT17207X8ON00,,,,,,,2,,,,,,
FWURNT1721418ON00,,,1,,,,,4,,,,,
FWURNT17214X8ON00,,,1,,,,,4,,,,,
FWURNT172XXX8ON00,3,5,5,4,6,,5,6,,,,,
FWURNT1730268ON00,,,,,,1,,,,,,,
FWURNT17302X8ON00,,,,,,,,1,,,,,
FWURNT173XXX8ON00,,,,,,,,1,,,,,
FWURNT17XXXX8ON00,4,6,7,5,6,4,5,7,,,,,
