Census of Fatal Occupational Injuries (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
FWURWT0000008ON00,3323,3177,3125,3332,3241,3481,3449,3405,,,,,
FWURWT1110118ON00,19,19,16,11,9,7,8,18,,,,,
FWURWT11101X8ON00,19,19,16,11,9,7,8,18,,,,,
FWURWT1110218ON00,5,9,11,13,10,,12,15,,,,,
FWURWT11102X8ON00,5,9,11,13,10,,12,15,,,,,
FWURWT1110318ON00,,1,,,,,,,,,,,
FWURWT11103X8ON00,,1,,,,,,,,,,,
FWURWT111XXX8ON00,24,29,27,24,19,10,20,33,,,,,
FWURWT1120218ON00,,,4,,,,,,,,,,
FWURWT1120228ON00,4,9,8,8,7,3,7,7,,,,,
FWURWT11202X8ON00,6,11,12,8,8,3,8,9,,,,,
FWURWT112XXX8ON00,6,12,15,10,10,4,11,10,,,,,
FWURWT1130118ON00,6,7,4,4,,3,,,,,,,
FWURWT11301X8ON00,6,7,4,4,,3,,,,,,,
FWURWT1130218ON00,3,,,3,,,,,,,,,
FWURWT11302X8ON00,3,,,3,,,,,,,,,
FWURWT1130318ON00,5,,1,3,5,3,6,,,,,,
FWURWT11303X8ON00,5,,1,3,5,3,6,,,,,,
FWURWT1130518ON00,6,,4,6,4,3,4,4,,,,,
FWURWT11305X8ON00,6,,4,6,4,3,4,4,,,,,
FWURWT1130718ON00,,10,,4,4,5,4,4,,,,,
FWURWT11307X8ON00,,10,,4,4,5,4,4,,,,,
FWURWT1131218ON00,,,,4,,,,,,,,,
FWURWT11312X8ON00,,,,4,,,,,,,,,
FWURWT1131318ON00,,,1,,,,,,,,,,
FWURWT11313X8ON00,,,1,,,,,,,,,,
FWURWT113XXX8ON00,22,22,14,24,14,18,19,9,,,,,
FWURWT1190138ON00,261,231,226,262,241,252,249,245,,,,,
FWURWT11901X8ON00,261,231,226,262,241,252,249,245,,,,,
