Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUAGX0XXXXX6O000,710,600,780,530,110,430,70,130,,,,,
CSUAGX1100006O000,8120,7650,8410,8120,9000,6330,6720,6190,,,,,
CSUAGX1110006O000,740,1550,1320,890,1140,940,1410,880,,,,,
CSUAGX1110106O000,100,230,340,140,220,100,810,130,,,,,
CSUAGX1110116O000,100,230,340,140,220,100,810,130,,,,,
CSUAGX1110206O000,640,1320,980,750,910,840,600,750,,,,,
CSUAGX1110216O000,640,1320,980,750,910,840,600,750,,,,,
CSUAGX1120006O000,460,370,470,430,590,270,170,360,,,,,
CSUAGX1120106O000,,,20,50,,,,20,,,,,
CSUAGX1120116O000,,,20,50,,,,20,,,,,
CSUAGX1120206O000,450,350,410,380,570,260,160,330,,,,,
CSUAGX1120216O000,140,40,20,170,100,70,30,60,,,,,
CSUAGX1120226O000,300,310,390,210,460,180,130,270,,,,,
CSUAGX1120306O000,,,40,,,,,,,,,,
CSUAGX1120316O000,,,40,,,,,,,,,,
CSUAGX1130006O000,1980,1460,2050,1320,1090,1220,1260,1290,,,,,
CSUAGX1130106O000,750,690,510,300,300,260,270,470,,,,,
CSUAGX1130116O000,750,690,510,300,300,260,270,470,,,,,
CSUAGX1130206O000,60,30,80,40,80,50,40,40,,,,,
CSUAGX1130216O000,60,30,80,40,80,50,40,40,,,,,
CSUAGX1130306O000,790,200,490,430,170,200,440,130,,,,,
CSUAGX1130316O000,790,200,490,430,170,200,440,130,,,,,
CSUAGX1130506O000,70,90,140,40,170,130,140,140,,,,,
CSUAGX1130516O000,70,90,140,40,170,130,140,140,,,,,
CSUAGX1130606O000,70,60,70,,40,,30,80,,,,,
CSUAGX1130616O000,70,60,70,,40,,30,80,,,,,
CSUAGX1130706O000,120,200,180,360,180,480,260,300,,,,,
CSUAGX1130716O000,120,200,180,360,180,480,260,300,,,,,
CSUAGX1131106O000,20,,,,,20,,,,,,,
CSUAGX1131116O000,20,,,,,20,,,,,,,
CSUAGX1131206O000,70,140,480,70,80,60,70,60,,,,,
CSUAGX1131216O000,70,140,480,70,80,60,70,60,,,,,
CSUAGX1131306O000,40,30,100,60,60,,,50,,,,,
CSUAGX1131316O000,40,30,100,60,60,,,50,,,,,
CSUAGX1190006O000,4930,4270,4570,5470,6180,3900,3880,3660,,,,,
CSUAGX1190106O000,,40,40,,60,30,120,30,,,,,
CSUAGX1190136O000,,40,40,,60,30,120,30,,,,,
CSUAGX1190206O000,290,230,540,450,1070,640,160,580,,,,,
CSUAGX1190216O000,290,230,540,450,1070,640,160,580,,,,,
CSUAGX1190306O000,470,420,400,610,630,400,870,470,,,,,
CSUAGX1190316O000,,70,,,30,,,,,,,,
CSUAGX1190326O000,270,230,300,520,480,290,760,370,,,,,
CSUAGX1190336O000,130,100,70,90,100,90,110,90,,,,,
CSUAGX1190396O000,60,30,20,,,,,,,,,,
CSUAGX1190406O000,40,60,,,80,,,20,,,,,
CSUAGX1190416O000,40,60,,,80,,,20,,,,,
CSUAGX1190506O000,610,560,480,1350,430,530,650,930,,,,,
CSUAGX1190516O000,610,560,480,1350,430,530,650,930,,,,,
CSUAGX1190806O000,,,20,210,40,,20,,,,,,
CSUAGX1190816O000,,,20,210,40,,20,,,,,,
CSUAGX1191106O000,1170,1020,920,840,980,1020,1070,820,,,,,
CSUAGX1191116O000,1170,1020,920,840,980,1020,1070,820,,,,,
CSUAGX1191406O000,660,170,560,550,950,90,110,400,,,,,
CSUAGX1191416O000,660,170,560,550,950,90,110,400,,,,,
CSUAGX1191506O000,240,130,140,120,210,310,160,110,,,,,
CSUAGX1191516O000,240,130,140,120,210,310,160,110,,,,,
CSUAGX1191606O000,20,20,,,,,50,20,,,,,
CSUAGX1191616O000,20,20,,,,,50,20,,,,,
CSUAGX1191906O000,1420,1550,1480,1210,1710,870,670,270,,,,,
