Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUAIX0XXXXX6O000,60,30,90,50,130,70,,,,,,,
CSUAIX1100006O000,1050,1450,1250,980,1100,1500,1130,1620,,,,,
CSUAIX1110006O000,220,140,230,130,290,440,120,300,,,,,
CSUAIX1110106O000,110,70,120,,,360,40,160,,,,,
CSUAIX1110116O000,110,70,120,,,360,40,160,,,,,
CSUAIX1110206O000,110,70,110,120,280,50,80,140,,,,,
CSUAIX1110216O000,110,70,110,120,280,50,80,140,,,,,
CSUAIX1110306O000,,,,,,30,,,,,,,
CSUAIX1110316O000,,,,,,30,,,,,,,
CSUAIX1120006O000,80,110,20,110,20,40,20,30,,,,,
CSUAIX1120106O000,,40,,,,,,,,,,,
CSUAIX1120116O000,,40,,,,,,,,,,,
CSUAIX1120206O000,80,60,,110,20,40,20,30,,,,,
CSUAIX1120216O000,20,,,,,,,,,,,,
CSUAIX1120226O000,60,50,,110,20,40,20,30,,,,,
CSUAIX1130006O000,390,110,190,150,260,370,470,260,,,,,
CSUAIX1130106O000,30,20,70,60,120,100,50,70,,,,,
CSUAIX1130116O000,30,20,70,60,120,100,50,70,,,,,
CSUAIX1130206O000,,,,,,40,,,,,,,
CSUAIX1130216O000,,,,,,40,,,,,,,
CSUAIX1130306O000,40,30,60,30,50,70,390,50,,,,,
CSUAIX1130316O000,40,30,60,30,50,70,390,50,,,,,
CSUAIX1130506O000,,40,30,,40,70,20,,,,,,
CSUAIX1130516O000,,40,30,,40,70,20,,,,,,
CSUAIX1130706O000,300,,,,20,90,,40,,,,,
CSUAIX1130716O000,300,,,,20,90,,40,,,,,
CSUAIX1131206O000,,,20,,,,,30,,,,,
CSUAIX1131216O000,,,20,,,,,30,,,,,
CSUAIX1190006O000,360,1100,810,600,540,640,520,1030,,,,,
