Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUE1X0XXXXX6O000,150,90,590,140,60,110,20,,,,,,
CSUE1X1100006O000,920,1540,1540,1280,1960,1460,2010,1940,,,,,
CSUE1X1110006O000,20,130,240,100,30,120,110,110,,,,,
CSUE1X1110106O000,,70,50,,,,40,,,,,,
CSUE1X1110116O000,,70,50,,,,40,,,,,,
CSUE1X1110206O000,20,60,200,100,30,100,60,110,,,,,
CSUE1X1110216O000,20,60,200,100,30,100,60,110,,,,,
CSUE1X1120006O000,,,30,,20,20,,20,,,,,
CSUE1X1120206O000,,,,,20,20,,20,,,,,
CSUE1X1120216O000,,,,,20,,,,,,,,
CSUE1X1120226O000,,,,,,20,,20,,,,,
CSUE1X1130006O000,40,80,170,60,150,30,60,60,,,,,
CSUE1X1130106O000,30,30,140,30,50,,40,20,,,,,
CSUE1X1130116O000,30,30,140,30,50,,40,20,,,,,
CSUE1X1130306O000,,,,20,90,,,,,,,,
CSUE1X1130316O000,,,,20,90,,,,,,,,
CSUE1X1131206O000,,40,,,,,,,,,,,
CSUE1X1131216O000,,40,,,,,,,,,,,
CSUE1X1190006O000,850,1330,1100,1100,1760,1300,1820,1740,,,,,
CSUE1X1190106O000,40,20,60,,20,,,100,,,,,
CSUE1X1190136O000,40,20,60,,20,,,100,,,,,
CSUE1X1190206O000,,,70,,,,,,,,,,
CSUE1X1190216O000,,,70,,,,,,,,,,
CSUE1X1190306O000,180,310,260,280,170,370,590,410,,,,,
CSUE1X1190316O000,90,,,,,,20,,,,,,
CSUE1X1190326O000,70,290,250,270,170,290,560,380,,,,,
CSUE1X1190336O000,20,,,,,80,,,,,,,
CSUE1X1190406O000,,,,,280,,,,,,,,
CSUE1X1190416O000,,,,,280,,,,,,,,
CSUE1X1190506O000,50,100,100,50,130,60,50,80,,,,,
CSUE1X1190516O000,50,100,100,50,130,60,50,80,,,,,
CSUE1X1191106O000,430,490,300,320,600,550,850,870,,,,,
CSUE1X1191116O000,430,490,300,320,600,550,850,870,,,,,
CSUE1X1191406O000,20,60,60,40,20,80,,40,,,,,
CSUE1X1191416O000,20,60,60,40,20,80,,40,,,,,
CSUE1X1191506O000,30,140,120,290,90,60,170,110,,,,,
CSUE1X1191516O000,30,140,120,290,90,60,170,110,,,,,
CSUE1X1191606O000,,20,,,,,,,,,,,
CSUE1X1191616O000,,20,,,,,,,,,,,
CSUE1X1191906O000,80,190,120,100,450,150,140,110,,,,,
CSUE1X1191996O000,80,190,120,100,450,150,140,110,,,,,
CSUE1X1300006O000,130,320,200,280,320,150,150,250,,,,,
CSUE1X1310006O000,120,280,170,230,270,130,140,210,,,,,
CSUE1X1310306O000,,,30,,,,,,,,,,
CSUE1X1310316O000,,,30,,,,,,,,,,
CSUE1X1310406O000,30,80,,,20,,,,,,,,
CSUE1X1310416O000,30,80,,,20,,,,,,,,
CSUE1X1310706O000,40,30,40,60,70,30,70,20,,,,,
CSUE1X1310716O000,40,30,40,60,40,30,70,20,,,,,
CSUE1X1311506O000,20,40,70,70,90,30,20,70,,,,,
CSUE1X1311516O000,20,40,70,70,90,30,20,70,,,,,
CSUE1X1311606O000,,,,,,,,20,,,,,
CSUE1X1311616O000,,,,,,,,20,,,,,
CSUE1X1311906O000,,100,20,50,60,40,30,70,,,,,
CSUE1X1311996O000,,100,20,50,60,40,30,70,,,,,
CSUE1X1320006O000,,40,30,50,50,20,,30,,,,,
