Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUE2X0XXXXX6O000,90,90,80,50,,170,30,,,,,,
CSUE2X1100006O000,1570,1860,2450,1460,2060,1560,1870,1760,,,,,
CSUE2X1110006O000,420,260,270,230,120,430,400,290,,,,,
CSUE2X1110106O000,70,40,70,40,,50,,100,,,,,
CSUE2X1110116O000,70,40,70,40,,50,,100,,,,,
CSUE2X1110206O000,350,210,210,190,110,390,390,190,,,,,
CSUE2X1110216O000,350,210,210,190,110,390,390,190,,,,,
CSUE2X1120006O000,190,240,340,110,430,180,130,140,,,,,
CSUE2X1120106O000,20,,,40,,20,,,,,,,
CSUE2X1120116O000,20,,,40,,20,,,,,,,
CSUE2X1120206O000,170,190,340,60,420,160,130,140,,,,,
CSUE2X1120216O000,30,20,40,,20,40,60,40,,,,,
CSUE2X1120226O000,140,170,300,40,400,130,70,100,,,,,
CSUE2X1120306O000,,50,,,,,,,,,,,
CSUE2X1120316O000,,50,,,,,,,,,,,
CSUE2X1130006O000,220,170,300,190,260,170,350,550,,,,,
CSUE2X1130106O000,40,80,20,90,30,40,,230,,,,,
CSUE2X1130116O000,40,80,20,90,30,40,,230,,,,,
CSUE2X1130206O000,,,40,,,,40,20,,,,,
CSUE2X1130216O000,,,40,,,,40,20,,,,,
CSUE2X1130306O000,110,20,140,50,40,90,130,70,,,,,
CSUE2X1130316O000,110,20,140,50,40,90,130,70,,,,,
CSUE2X1130506O000,20,40,,,60,,90,80,,,,,
CSUE2X1130516O000,20,40,,,60,,90,80,,,,,
CSUE2X1130706O000,,,50,,50,,60,80,,,,,
CSUE2X1130716O000,,,50,,50,,60,80,,,,,
CSUE2X1131206O000,,,30,,20,,,,,,,,
CSUE2X1131216O000,,,30,,20,,,,,,,,
CSUE2X1131306O000,,,20,,50,,,40,,,,,
CSUE2X1131316O000,,,20,,50,,,40,,,,,
CSUE2X1190006O000,750,1200,1530,930,1260,780,990,770,,,,,
CSUE2X1190206O000,70,40,420,40,90,20,120,70,,,,,
CSUE2X1190216O000,70,40,420,40,90,20,120,70,,,,,
CSUE2X1190306O000,20,70,90,90,50,80,40,40,,,,,
CSUE2X1190316O000,,20,,,,,,,,,,,
CSUE2X1190326O000,,30,50,40,30,,20,,,,,,
CSUE2X1190336O000,,20,20,20,20,50,20,20,,,,,
CSUE2X1190406O000,,,,,,,,20,,,,,
CSUE2X1190416O000,,,,,,,,20,,,,,
CSUE2X1190506O000,70,100,60,140,,20,70,150,,,,,
CSUE2X1190516O000,70,100,60,140,,20,70,150,,,,,
CSUE2X1191106O000,280,270,280,270,190,350,290,230,,,,,
CSUE2X1191116O000,280,270,280,270,190,350,290,230,,,,,
CSUE2X1191206O000,,,,,,30,,,,,,,
CSUE2X1191216O000,,,,,,30,,,,,,,
CSUE2X1191406O000,,,40,20,,,70,70,,,,,
CSUE2X1191416O000,,,40,20,,,70,70,,,,,
CSUE2X1191506O000,40,170,220,30,60,40,80,100,,,,,
CSUE2X1191516O000,40,170,220,30,60,40,80,100,,,,,
CSUE2X1191906O000,220,530,410,200,840,220,280,90,,,,,
CSUE2X1191996O000,220,530,410,200,840,220,280,90,,,,,
CSUE2X1300006O000,570,830,860,990,850,750,890,700,,,,,
CSUE2X1310006O000,500,570,700,850,660,640,730,630,,,,,
CSUE2X1310206O000,20,30,130,20,40,50,80,40,,,,,
CSUE2X1310216O000,,,,,,,30,,,,,,
CSUE2X1310226O000,,30,120,,20,40,30,20,,,,,
CSUE2X1310236O000,,,,,,,20,,,,,,
CSUE2X1310306O000,120,50,70,90,110,200,70,70,,,,,
CSUE2X1310316O000,100,30,70,30,60,150,60,40,,,,,
CSUE2X1310326O000,20,20,,60,40,50,,30,,,,,
CSUE2X1310406O000,110,160,130,200,140,90,110,150,,,,,
CSUE2X1310416O000,110,160,130,200,140,90,110,150,,,,,
CSUE2X1310506O000,,,,230,,,,,,,,,
CSUE2X1310516O000,,,,230,,,,,,,,,
CSUE2X1310706O000,40,30,60,80,50,80,170,120,,,,,
CSUE2X1310716O000,20,30,50,70,40,80,140,100,,,,,
CSUE2X1310756O000,20,,,,20,,20,,,,,,
CSUE2X1310806O000,,20,,,,,,30,,,,,
CSUE2X1310816O000,,20,,,,,,30,,,,,
CSUE2X1311106O000,30,20,,20,50,50,40,20,,,,,
CSUE2X1311116O000,30,20,,20,50,50,40,20,,,,,
CSUE2X1311406O000,,20,,,,,,,,,,,
