Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUE5X0XXXXX6O000,100,150,50,60,20,30,20,30,,,,,
CSUE5X1100006O000,880,1260,780,930,1020,1810,940,1530,,,,,
CSUE5X1110006O000,180,330,80,200,150,610,100,490,,,,,
CSUE5X1110106O000,70,30,30,,,70,20,410,,,,,
CSUE5X1110116O000,70,30,30,,,70,20,410,,,,,
CSUE5X1110206O000,110,310,50,200,140,540,80,80,,,,,
CSUE5X1110216O000,110,310,50,200,140,540,80,80,,,,,
CSUE5X1120006O000,20,,60,20,,30,30,30,,,,,
CSUE5X1120206O000,20,,60,20,,20,30,30,,,,,
CSUE5X1120226O000,,,50,,,,30,30,,,,,
CSUE5X1130006O000,70,150,60,280,90,180,160,230,,,,,
CSUE5X1130106O000,,50,,20,20,20,80,40,,,,,
CSUE5X1130116O000,,50,,20,20,20,80,40,,,,,
CSUE5X1130306O000,40,30,,20,20,40,40,30,,,,,
CSUE5X1130316O000,40,30,,20,20,40,40,30,,,,,
CSUE5X1130506O000,,50,,60,30,20,30,80,,,,,
CSUE5X1130516O000,,50,,60,30,20,30,80,,,,,
CSUE5X1130606O000,,,,,,,,20,,,,,
CSUE5X1130616O000,,,,,,,,20,,,,,
CSUE5X1130706O000,,,,,,90,,30,,,,,
CSUE5X1130716O000,,,,,,90,,30,,,,,
CSUE5X1131206O000,,,,170,,,,20,,,,,
CSUE5X1131216O000,,,,170,,,,20,,,,,
CSUE5X1190006O000,610,760,580,430,770,1000,660,770,,,,,
CSUE5X1190106O000,,30,,,20,,,,,,,,
CSUE5X1190136O000,,30,,,20,,,,,,,,
CSUE5X1190206O000,,,20,20,210,20,,80,,,,,
CSUE5X1190216O000,,,20,20,210,20,,80,,,,,
CSUE5X1190306O000,20,80,50,50,60,50,40,20,,,,,
CSUE5X1190326O000,,20,,,20,50,20,,,,,,
CSUE5X1190336O000,20,,40,40,20,,30,20,,,,,
CSUE5X1190506O000,80,230,130,150,170,140,220,230,,,,,
CSUE5X1190516O000,80,230,130,150,170,140,220,230,,,,,
CSUE5X1191106O000,200,190,80,150,120,100,140,230,,,,,
CSUE5X1191116O000,200,190,80,150,120,100,140,230,,,,,
CSUE5X1191406O000,80,30,20,30,40,350,,20,,,,,
CSUE5X1191416O000,80,30,20,30,40,350,,20,,,,,
CSUE5X1191506O000,,30,,20,,30,20,20,,,,,
CSUE5X1191516O000,,30,,20,,30,20,20,,,,,
CSUE5X1191906O000,210,160,260,20,140,310,210,170,,,,,
CSUE5X1191996O000,210,160,260,20,140,310,210,170,,,,,
CSUE5X1300006O000,280,610,820,230,160,270,310,260,,,,,
CSUE5X1310006O000,180,470,710,190,100,220,250,170,,,,,
CSUE5X1310206O000,,300,230,,20,,20,,,,,,
CSUE5X1310216O000,,,210,,,,,,,,,,
CSUE5X1310226O000,,290,,,,,,,,,,,
CSUE5X1310236O000,,,20,,20,,,,,,,,
CSUE5X1310306O000,50,30,30,,,60,20,,,,,,
CSUE5X1310316O000,50,30,30,,,60,20,,,,,,
CSUE5X1310406O000,,,280,,,,,,,,,,
CSUE5X1310416O000,,,280,,,,,,,,,,
CSUE5X1310706O000,30,,70,30,20,80,60,40,,,,,
CSUE5X1310716O000,30,,70,30,20,60,60,40,,,,,
CSUE5X1310806O000,,,20,,,,,30,,,,,
CSUE5X1310816O000,,,20,,,,,30,,,,,
CSUE5X1311106O000,,20,30,30,,,40,30,,,,,
CSUE5X1311116O000,,20,30,30,,,40,30,,,,,
CSUE5X1311206O000,,,,,,30,20,,,,,,
CSUE5X1311216O000,,,,,,30,20,,,,,,
CSUE5X1311406O000,50,,,,,,,,,,,,
CSUE5X1311416O000,50,,,,,,,,,,,,
CSUE5X1311506O000,,20,,,,,,,,,,,
CSUE5X1311516O000,,20,,,,,,,,,,,
CSUE5X1311606O000,,,,,,20,30,,,,,,
CSUE5X1311616O000,,,,,,20,30,,,,,,
CSUE5X1311906O000,,30,20,40,,,20,20,,,,,
CSUE5X1311996O000,,30,20,40,,,20,20,,,,,
CSUE5X1320006O000,100,140,110,40,60,50,60,90,,,,,
CSUE5X1320106O000,20,40,20,,30,,40,20,,,,,
CSUE5X1320116O000,20,40,20,,30,,40,20,,,,,
CSUE5X1320406O000,,,,,,,,40,,,,,
CSUE5X1320416O000,,,,,,,,40,,,,,
CSUE5X1320506O000,,80,,,,,,,,,,,
CSUE5X1320526O000,,40,,,,,,,,,,,
CSUE5X1320536O000,,30,,,,,,,,,,,
CSUE5X1320706O000,,,,,20,20,,,,,,,
CSUE5X1320726O000,,,,,20,20,,,,,,,
CSUE5X1320906O000,60,,80,20,,,,,,,,,
CSUE5X1320996O000,60,,80,20,,,,,,,,,
CSUE5X1500006O000,100,120,90,70,320,120,50,70,,,,,
CSUE5X1511006O000,90,120,80,70,320,120,50,50,,,,,
CSUE5X1511206O000,20,,,,,,,,,,,,
CSUE5X1511216O000,20,,,,,,,,,,,,
CSUE5X1511306O000,,60,,,,,,,,,,,
CSUE5X1511336O000,,50,,,,,,,,,,,
CSUE5X1511406O000,,20,,,,60,,,,,,,
CSUE5X1511426O000,,20,,,,60,,,,,,,
CSUE5X1511506O000,50,20,30,30,300,40,20,20,,,,,
CSUE5X1511516O000,,,,,20,,,,,,,,
CSUE5X1511526O000,50,,30,,270,30,20,,,,,,
CSUE5X1511906O000,,,30,20,,20,,,,,,,
CSUE5X1511996O000,,,30,20,,20,,,,,,,
CSUE5X1520006O000,,,,,,,,20,,,,,
CSUE5X1520306O000,,,,,,,,20,,,,,
CSUE5X1520316O000,,,,,,,,20,,,,,
CSUE5X1700006O000,130,310,180,290,250,150,200,160,,,,,
CSUE5X1710006O000,,40,,,,,70,,,,,,
CSUE5X1710206O000,,40,,,,,70,,,,,,
CSUE5X1710226O000,,40,,,,,70,,,,,,
CSUE5X1720006O000,60,140,70,150,120,90,50,50,,,,,
CSUE5X1720506O000,,80,,,,,,,,,,,
CSUE5X1720516O000,,80,,,,,,,,,,,
CSUE5X1720706O000,,,,,,,,30,,,,,
CSUE5X1720726O000,,,,,,,,30,,,,,
CSUE5X1721106O000,40,,20,,40,30,40,,,,,,
CSUE5X1721116O000,20,,,,,,,,,,,,
CSUE5X1721126O000,20,,,,30,30,30,,,,,,
CSUE5X1721406O000,,,,,,20,,,,,,,
CSUE5X1721416O000,,,,,,20,,,,,,,
CSUE5X1721906O000,,40,20,110,,,,,,,,,
CSUE5X1721996O000,,40,20,110,,,,,,,,,
CSUE5X1730006O000,70,130,110,140,110,50,80,110,,,,,
CSUE5X1730206O000,70,90,110,140,110,50,80,70,,,,,
CSUE5X1730236O000,30,60,40,30,70,20,20,20,,,,,
CSUE5X1730266O000,,,,,,,,40,,,,,
CSUE5X1730296O000,30,20,,100,30,,40,,,,,,
CSUE5X1730306O000,,40,,,,,,30,,,,,
CSUE5X1730316O000,,40,,,,,,30,,,,,
CSUE5X1900006O000,200,290,220,330,320,230,280,190,,,,,
CSUE5X1910006O000,60,30,20,30,50,50,50,40,,,,,
CSUE5X1910106O000,,,,,,,30,,,,,,
CSUE5X1910116O000,,,,,,,20,,,,,,
CSUE5X1910206O000,40,,,,,,,,,,,,
CSUE5X1910296O000,20,,,,,,,,,,,,
CSUE5X1910406O000,,20,,,40,40,,20,,,,,
CSUE5X1910426O000,,,,,40,40,,20,,,,,
CSUE5X1920006O000,30,120,40,40,50,120,40,30,,,,,
CSUE5X1920306O000,20,100,30,30,40,90,40,30,,,,,
CSUE5X1920316O000,20,100,30,30,40,90,40,30,,,,,
CSUE5X1920406O000,,,,,,20,,,,,,,
CSUE5X1930006O000,,,,50,,,,30,,,,,
CSUE5X1930306O000,,,,,,,,30,,,,,
CSUE5X1930396O000,,,,,,,,30,,,,,
CSUE5X1940006O000,110,140,160,210,220,60,180,90,,,,,
CSUE5X1940106O000,20,,50,90,,,20,30,,,,,
CSUE5X1940116O000,20,,50,90,,,20,30,,,,,
CSUE5X1940206O000,,,,30,40,,,,,,,,
CSUE5X1940216O000,,,,30,40,,,,,,,,
CSUE5X1940306O000,30,70,40,,40,20,50,20,,,,,
CSUE5X1940316O000,30,70,40,,40,20,50,20,,,,,
CSUE5X1940606O000,20,,,,40,,20,,,,,,
CSUE5X1940616O000,20,,,,40,,20,,,,,,
CSUE5X1940906O000,30,50,40,70,90,20,80,30,,,,,
CSUE5X1940926O000,,30,,,,,,,,,,,
CSUE5X1940996O000,,20,30,70,90,,40,20,,,,,
CSUE5X2100006O000,380,520,660,400,440,350,270,360,,,,,
CSUE5X2110006O000,380,520,660,400,440,340,260,350,,,,,
CSUE5X2110106O000,90,140,260,90,120,80,90,160,,,,,
CSUE5X2110126O000,20,20,90,20,20,20,,40,,,,,
CSUE5X2110136O000,,,,,,,,30,,,,,
CSUE5X2110146O000,30,80,120,,30,,20,20,,,,,
CSUE5X2110156O000,20,,,,,,,,,,,,
CSUE5X2110196O000,20,30,30,60,60,30,40,50,,,,,
CSUE5X2110206O000,130,80,240,200,190,130,120,80,,,,,
CSUE5X2110216O000,40,,40,130,20,,,,,,,,
CSUE5X2110226O000,,,,,,20,,,,,,,
CSUE5X2110236O000,,,40,,,,20,,,,,,
CSUE5X2110296O000,80,60,140,40,150,90,70,50,,,,,
CSUE5X2110906O000,160,290,160,110,130,130,60,110,,,,,
CSUE5X2110926O000,20,,40,,,,,30,,,,,
CSUE5X2110936O000,100,30,80,40,20,100,30,30,,,,,
CSUE5X2110996O000,30,250,30,60,100,,20,30,,,,,
CSUE5X2300006O000,30,60,40,,40,30,30,90,,,,,
CSUE5X2310006O000,,40,30,,,20,,70,,,,,
CSUE5X2310106O000,,,30,,,20,,50,,,,,
CSUE5X2310126O000,,,,,,,,40,,,,,
CSUE5X2310206O000,,40,,,,,,,,,,,
CSUE5X2320006O000,30,20,,,20,,20,30,,,,,
CSUE5X2320906O000,30,,,,20,,,20,,,,,
CSUE5X2320996O000,30,,,,,,,20,,,,,
CSUE5X2500006O000,500,890,790,1030,400,970,590,1050,,,,,
CSUE5X2510006O000,40,30,40,40,40,30,,20,,,,,
CSUE5X2511906O000,40,20,30,40,40,,,20,,,,,
CSUE5X2511916O000,20,,,,,,,,,,,,
CSUE5X2511946O000,,,,,30,,,,,,,,
CSUE5X2511996O000,20,20,,40,,,,,,,,,
CSUE5X2520006O000,200,270,450,650,280,630,240,730,,,,,
CSUE5X2520106O000,,30,30,330,70,170,20,390,,,,,
CSUE5X2520116O000,,30,20,330,60,150,20,390,,,,,
CSUE5X2520206O000,140,170,270,270,170,390,180,280,,,,,
CSUE5X2520216O000,120,150,260,230,150,390,170,280,,,,,
CSUE5X2520226O000,20,,,,20,,,,,,,,
CSUE5X2520306O000,40,60,110,40,30,60,40,30,,,,,
CSUE5X2520316O000,40,60,110,40,30,60,40,30,,,,,
CSUE5X2520506O000,,,40,20,,,,30,,,,,
CSUE5X2520526O000,,,40,20,,,,,,,,,
CSUE5X2520596O000,,,,,,,,30,,,,,
CSUE5X2530006O000,50,230,90,150,20,210,50,60,,,,,
CSUE5X2530206O000,,20,,20,,90,,50,,,,,
CSUE5X2530216O000,,20,,20,,90,,50,,,,,
CSUE5X2530906O000,50,210,50,140,,130,40,20,,,,,
CSUE5X2530996O000,50,210,50,140,,130,40,20,,,,,
CSUE5X2540006O000,60,200,,20,,,,20,,,,,
CSUE5X2540106O000,,,,20,,,,,,,,,
CSUE5X2540136O000,,,,20,,,,,,,,,
CSUE5X2540206O000,30,200,,,,,,20,,,,,
CSUE5X2540216O000,30,200,,,,,,20,,,,,
CSUE5X2590006O000,150,160,210,160,50,100,270,210,,,,,
CSUE5X2590406O000,110,110,200,160,40,90,270,180,,,,,
CSUE5X2590416O000,110,110,200,160,40,90,270,180,,,,,
CSUE5X2590906O000,20,40,,,20,,,,,,,,
CSUE5X2590996O000,20,40,,,20,,,,,,,,
CSUE5X2700006O000,100,90,90,120,130,100,100,140,,,,,
CSUE5X2710006O000,20,,,30,20,30,40,30,,,,,
CSUE5X2710206O000,20,,,30,,20,30,30,,,,,
CSUE5X2710236O000,,,,20,,,,,,,,,
CSUE5X2710296O000,,,,,,,,30,,,,,
CSUE5X2720006O000,20,40,60,20,20,40,,60,,,,,
CSUE5X2720206O000,,,,,,20,,30,,,,,
CSUE5X2720906O000,,30,50,,,,,,,,,,
CSUE5X2720996O000,,30,50,,,,,,,,,,
CSUE5X2730006O000,30,30,,60,20,,40,20,,,,,
CSUE5X2730206O000,20,,,30,,,,,,,,,
CSUE5X2730226O000,20,,,30,,,,,,,,,
CSUE5X2730306O000,,,,,20,,,,,,,,
CSUE5X2730316O000,,,,,20,,,,,,,,
CSUE5X2730906O000,,,,20,,,,,,,,,
CSUE5X2730916O000,,,,20,,,,,,,,,
CSUE5X2740006O000,30,,20,,70,20,,30,,,,,
CSUE5X2740106O000,,,,,50,,,,,,,,
CSUE5X2740146O000,,,,,40,,,,,,,,
CSUE5X2740206O000,,,,,20,,,,,,,,
CSUE5X2740216O000,,,,,20,,,,,,,,
CSUE5X2740906O000,20,,,,,,,,,,,,
CSUE5X2740996O000,20,,,,,,,,,,,,
CSUE5X2900006O000,2230,2820,2750,2240,2500,1970,2580,2290,,,,,
CSUE5X2910006O000,1100,1190,1510,1190,970,940,1250,1170,,,,,
CSUE5X2910306O000,,260,,20,,,,20,,,,,
CSUE5X2910316O000,,260,,20,,,,20,,,,,
CSUE5X2910506O000,,30,,,20,,,70,,,,,
CSUE5X2910516O000,,30,,,20,,,70,,,,,
CSUE5X2910606O000,20,,300,200,40,40,30,190,,,,,
CSUE5X2910696O000,,,290,20,40,40,30,160,,,,,
CSUE5X2910706O000,20,,,,,,20,20,,,,,
CSUE5X2910716O000,20,,,,,,20,20,,,,,
CSUE5X2911116O000,900,,,,,,,,,,,,
CSUE5X2911206O000,150,70,120,110,60,70,160,150,,,,,
CSUE5X2911226O000,20,,,,,20,,,,,,,
CSUE5X2911236O000,,,,20,20,,30,,,,,,
CSUE5X2911266O000,90,30,70,40,30,30,110,50,,,,,
CSUE5X2911276O000,20,,,,,,,,,,,,
CSUE5X2911296O000,,,20,30,,,20,80,,,,,
CSUE5X2911406O000,880,760,1020,810,820,780,980,700,,,,,
CSUE5X2911416O000,880,760,1020,810,820,780,980,700,,,,,
CSUE5X2911706O000,20,20,,20,,,,20,,,,,
CSUE5X2911716O000,20,20,,20,,,,20,,,,,
CSUE5X2920006O000,1090,1610,1240,1030,1440,990,1310,1060,,,,,
CSUE5X2920106O000,150,150,160,160,200,120,160,180,,,,,
CSUE5X2920116O000,40,,50,20,40,30,20,50,,,,,
CSUE5X2920126O000,110,140,110,140,160,90,140,130,,,,,
CSUE5X2920306O000,90,70,50,50,90,90,50,60,,,,,
CSUE5X2920316O000,20,20,20,20,20,,,,,,,,
CSUE5X2920326O000,20,,,,,20,,,,,,,
CSUE5X2920336O000,,,,,,,,20,,,,,
CSUE5X2920346O000,40,40,20,20,60,50,20,20,,,,,
CSUE5X2920406O000,170,270,140,90,180,70,140,80,,,,,
CSUE5X2920416O000,170,270,140,90,180,70,140,80,,,,,
CSUE5X2920506O000,450,550,590,520,630,510,760,540,,,,,
CSUE5X2920516O000,270,270,310,250,270,280,270,240,,,,,
CSUE5X2920526O000,60,40,80,40,20,90,50,100,,,,,
CSUE5X2920536O000,70,50,80,150,130,40,50,70,,,,,
CSUE5X2920556O000,40,100,100,60,180,60,80,110,,,,,
CSUE5X2920566O000,,90,30,,30,30,290,,,,,,
CSUE5X2920606O000,180,500,240,100,230,130,120,150,,,,,
CSUE5X2920616O000,180,500,240,100,230,130,120,150,,,,,
CSUE5X2920706O000,30,30,,20,50,40,70,30,,,,,
CSUE5X2920716O000,30,30,,20,50,40,70,30,,,,,
CSUE5X2920906O000,30,40,30,80,70,30,20,20,,,,,
CSUE5X2920996O000,30,40,30,80,70,30,20,20,,,,,
CSUE5X2990006O000,40,20,,20,100,30,20,60,,,,,
CSUE5X2990106O000,30,,,,60,30,,40,,,,,
CSUE5X2990116O000,20,,,,60,,,40,,,,,
CSUE5X2990906O000,,,,20,40,,,20,,,,,
CSUE5X2990996O000,,,,20,40,,,20,,,,,
CSUE5X3100006O000,1660,1560,1390,1250,2110,1430,1300,1610,,,,,
CSUE5X3110006O000,1060,1150,1040,870,820,1090,910,640,,,,,
CSUE5X3110106O000,1060,1150,1040,870,820,1090,910,640,,,,,
CSUE5X3110116O000,140,200,170,180,150,170,150,130,,,,,
