Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUE7X0XXXXX6O000,600,770,670,690,390,220,90,120,,,,,
CSUE7X1100006O000,8120,6890,6950,6200,7580,5750,5910,6060,,,,,
CSUE7X1110006O000,1340,1500,1390,1070,1280,640,1380,870,,,,,
CSUE7X1110106O000,80,40,150,20,100,70,650,260,,,,,
CSUE7X1110116O000,80,40,150,20,100,70,650,260,,,,,
CSUE7X1110206O000,1260,1450,1250,1050,1180,560,730,620,,,,,
CSUE7X1110216O000,1260,1450,1250,1050,1180,560,730,620,,,,,
CSUE7X1120006O000,320,670,610,410,300,240,240,420,,,,,
CSUE7X1120106O000,,50,,,40,,30,,,,,,
CSUE7X1120116O000,,50,,,40,,30,,,,,,
CSUE7X1120206O000,300,570,590,400,250,230,170,400,,,,,
CSUE7X1120216O000,60,90,30,,100,40,40,190,,,,,
CSUE7X1120226O000,240,480,560,390,140,190,130,210,,,,,
CSUE7X1120306O000,,50,,,,,40,,,,,,
CSUE7X1120316O000,,50,,,,,40,,,,,,
CSUE7X1130006O000,1630,1060,1570,1180,1410,1150,1140,1630,,,,,
CSUE7X1130106O000,390,270,290,160,170,170,250,450,,,,,
CSUE7X1130116O000,390,270,290,160,170,170,250,450,,,,,
CSUE7X1130206O000,120,100,90,140,100,20,30,80,,,,,
CSUE7X1130216O000,120,100,90,140,100,20,30,80,,,,,
CSUE7X1130306O000,700,240,410,190,120,180,370,280,,,,,
CSUE7X1130316O000,700,240,410,190,120,180,370,280,,,,,
CSUE7X1130506O000,90,90,50,90,170,180,60,160,,,,,
CSUE7X1130516O000,90,90,50,90,170,180,60,160,,,,,
CSUE7X1130606O000,60,40,80,40,90,,60,80,,,,,
CSUE7X1130616O000,60,40,80,40,90,,60,80,,,,,
CSUE7X1130706O000,160,190,180,440,720,550,320,530,,,,,
CSUE7X1130716O000,160,190,180,440,720,550,320,530,,,,,
CSUE7X1131106O000,20,,,,,,,,,,,,
CSUE7X1131116O000,20,,,,,,,,,,,,
CSUE7X1131206O000,80,100,400,70,30,30,20,20,,,,,
CSUE7X1131216O000,80,100,400,70,30,30,20,20,,,,,
CSUE7X1131306O000,20,40,70,50,,20,20,,,,,,
CSUE7X1131316O000,20,40,70,50,,20,20,,,,,,
CSUE7X1190006O000,4840,3670,3370,3540,4590,3730,3150,3140,,,,,
CSUE7X1190106O000,60,30,20,,50,,90,,,,,,
CSUE7X1190136O000,60,30,20,,50,,90,,,,,,
CSUE7X1190206O000,190,140,280,160,1440,590,160,350,,,,,
CSUE7X1190216O000,190,140,280,160,1440,590,160,350,,,,,
CSUE7X1190306O000,380,140,140,190,450,140,250,330,,,,,
CSUE7X1190316O000,20,30,20,,,,30,,,,,,
CSUE7X1190326O000,250,40,50,130,350,70,170,280,,,,,
CSUE7X1190336O000,60,40,60,50,60,60,60,40,,,,,
CSUE7X1190396O000,,20,,,20,,,,,,,,
CSUE7X1190406O000,20,60,,,100,,,30,,,,,
CSUE7X1190416O000,20,60,,,100,,,30,,,,,
CSUE7X1190506O000,820,740,530,910,700,940,480,750,,,,,
CSUE7X1190516O000,820,740,530,910,700,940,480,750,,,,,
CSUE7X1190806O000,,190,30,30,40,30,40,,,,,,
CSUE7X1190816O000,,190,30,30,40,30,40,,,,,,
CSUE7X1191106O000,1090,810,710,750,800,1000,930,930,,,,,
CSUE7X1191116O000,1090,810,710,750,800,1000,930,930,,,,,
CSUE7X1191406O000,710,210,70,530,230,80,50,70,,,,,
CSUE7X1191416O000,710,210,70,530,230,80,50,70,,,,,
CSUE7X1191506O000,130,140,250,160,90,70,100,150,,,,,
CSUE7X1191516O000,130,140,250,160,90,70,100,150,,,,,
CSUE7X1191606O000,,,,,,,,50,,,,,
CSUE7X1191616O000,,,,,,,,50,,,,,
CSUE7X1191906O000,1410,1160,1310,780,680,850,1030,420,,,,,
CSUE7X1191996O000,1410,1160,1310,780,680,850,1030,420,,,,,
CSUE7X1300006O000,2110,2430,2510,2350,1950,2100,2700,1590,,,,,
CSUE7X1310006O000,1640,1800,1960,1640,1480,1790,1840,1070,,,,,
CSUE7X1310206O000,300,230,580,140,170,170,270,90,,,,,
CSUE7X1310216O000,20,,20,,30,,,,,,,,
CSUE7X1310226O000,230,150,460,60,110,70,60,70,,,,,
CSUE7X1310236O000,40,80,100,80,30,90,200,20,,,,,
CSUE7X1310306O000,430,210,170,280,200,160,80,110,,,,,
CSUE7X1310316O000,410,200,160,260,190,150,70,100,,,,,
CSUE7X1310326O000,20,,,20,,20,,,,,,,
CSUE7X1310406O000,80,110,110,110,140,40,120,80,,,,,
CSUE7X1310416O000,80,110,110,110,140,40,120,80,,,,,
CSUE7X1310506O000,20,50,,30,80,20,90,,,,,,
CSUE7X1310516O000,20,50,,30,80,20,90,,,,,,
CSUE7X1310706O000,180,290,160,310,170,290,230,130,,,,,
CSUE7X1310716O000,180,250,160,300,150,280,220,130,,,,,
CSUE7X1310756O000,,30,,,20,,,,,,,,
CSUE7X1310806O000,110,70,60,20,60,90,370,170,,,,,
CSUE7X1310816O000,110,70,60,20,60,90,370,170,,,,,
CSUE7X1311106O000,110,250,150,90,130,500,160,70,,,,,
CSUE7X1311116O000,110,250,150,90,130,500,160,70,,,,,
CSUE7X1311206O000,40,40,100,50,90,90,50,70,,,,,
CSUE7X1311216O000,40,40,100,50,90,90,50,70,,,,,
CSUE7X1311406O000,50,30,20,30,20,20,30,,,,,,
CSUE7X1311416O000,50,30,20,30,20,20,30,,,,,,
CSUE7X1311506O000,140,80,320,140,240,170,90,180,,,,,
CSUE7X1311516O000,140,80,320,140,240,170,90,180,,,,,
CSUE7X1311606O000,70,170,90,320,60,30,210,40,,,,,
CSUE7X1311616O000,70,170,90,320,60,30,210,40,,,,,
CSUE7X1311906O000,100,260,200,130,120,200,140,110,,,,,
CSUE7X1311996O000,100,260,200,130,120,200,140,110,,,,,
CSUE7X1320006O000,470,620,550,720,460,310,860,520,,,,,
CSUE7X1320106O000,240,250,190,140,250,150,640,200,,,,,
CSUE7X1320116O000,240,250,190,140,250,150,640,200,,,,,
CSUE7X1320206O000,,,20,,40,,,,,,,,
CSUE7X1320216O000,,,20,,40,,,,,,,,
CSUE7X1320406O000,,,,100,,,,170,,,,,
CSUE7X1320416O000,,,,100,,,,170,,,,,
CSUE7X1320506O000,50,60,140,60,50,40,90,50,,,,,
CSUE7X1320516O000,30,20,40,20,,20,40,20,,,,,
CSUE7X1320526O000,,,80,,20,,40,,,,,,
CSUE7X1320536O000,20,30,30,40,20,,20,20,,,,,
CSUE7X1320606O000,,,,,,20,40,40,,,,,
CSUE7X1320616O000,,,,,,20,40,40,,,,,
CSUE7X1320706O000,50,40,70,30,50,20,50,20,,,,,
CSUE7X1320716O000,20,,,,20,,,,,,,,
CSUE7X1320726O000,20,30,70,30,20,20,40,20,,,,,
CSUE7X1320806O000,20,20,30,60,,20,,20,,,,,
CSUE7X1320816O000,20,,20,50,,20,,,,,,,
CSUE7X1320906O000,80,230,90,320,60,40,20,,,,,,
