Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUGFX0XXXXX6O000,1320,1010,1120,930,390,760,270,290,,,,,
CSUGFX1100006O000,14550,15470,14530,13000,12950,14560,13620,14920,,,,,
CSUGFX1110006O000,1950,2850,1980,1640,1230,2460,1590,1390,,,,,
CSUGFX1110106O000,220,90,420,120,80,420,230,400,,,,,
CSUGFX1110116O000,220,90,420,120,80,420,230,400,,,,,
CSUGFX1110206O000,1720,2750,1560,1520,1140,2010,1360,990,,,,,
CSUGFX1110216O000,1720,2750,1560,1520,1140,2010,1360,990,,,,,
CSUGFX1120006O000,700,800,990,590,830,790,380,590,,,,,
CSUGFX1120106O000,30,90,30,50,,,30,20,,,,,
CSUGFX1120116O000,30,90,30,50,,,30,20,,,,,
CSUGFX1120206O000,640,600,840,420,790,750,300,540,,,,,
CSUGFX1120216O000,210,140,160,80,210,140,160,250,,,,,
CSUGFX1120226O000,430,450,670,340,580,600,140,290,,,,,
CSUGFX1120306O000,30,110,130,130,40,30,60,30,,,,,
CSUGFX1120316O000,30,110,130,130,40,30,60,30,,,,,
CSUGFX1130006O000,2420,2530,3060,2110,2180,2210,2360,2540,,,,,
CSUGFX1130106O000,1180,1120,1340,680,640,540,620,940,,,,,
CSUGFX1130116O000,1180,1120,1340,680,640,540,620,940,,,,,
CSUGFX1130206O000,100,60,110,110,140,90,60,100,,,,,
CSUGFX1130216O000,100,60,110,110,140,90,60,100,,,,,
CSUGFX1130306O000,530,830,960,630,710,900,1330,770,,,,,
CSUGFX1130316O000,530,830,960,630,710,900,1330,770,,,,,
CSUGFX1130506O000,60,40,70,30,80,50,50,110,,,,,
CSUGFX1130516O000,60,40,70,30,80,50,50,110,,,,,
CSUGFX1130606O000,130,70,60,50,80,40,50,120,,,,,
CSUGFX1130616O000,130,70,60,50,80,40,50,120,,,,,
CSUGFX1130706O000,40,50,30,190,120,330,60,100,,,,,
CSUGFX1130716O000,40,50,30,190,120,330,60,100,,,,,
CSUGFX1131106O000,50,,,20,20,50,,60,,,,,
CSUGFX1131116O000,50,,,20,20,50,,60,,,,,
CSUGFX1131206O000,290,310,320,330,350,190,150,190,,,,,
CSUGFX1131216O000,290,310,320,330,350,190,150,190,,,,,
CSUGFX1131306O000,40,40,150,80,30,30,30,140,,,,,
CSUGFX1131316O000,40,40,150,80,30,30,30,140,,,,,
CSUGFX1190006O000,9480,9290,8490,8660,8700,9090,9290,10400,,,,,
CSUGFX1190106O000,70,60,,,20,,,20,,,,,
CSUGFX1190136O000,70,60,,,20,,,20,,,,,
CSUGFX1190206O000,40,40,30,,20,30,20,60,,,,,
CSUGFX1190216O000,40,40,30,,20,30,20,60,,,,,
