Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSUGNX0XXXXX6O000,610,1210,210,7420,160,100,50,330,,,,,
CSUGNX1100006O000,20,40,20,,,60,,70,,,,,
CSUGNX1110006O000,,40,,,,40,,,,,,,
CSUGNX1110206O000,,,,,,40,,,,,,,
CSUGNX1110216O000,,,,,,40,,,,,,,
CSUGNX1190006O000,20,,,,,20,,70,,,,,
CSUGNX1300006O000,,,,,,,,20,,,,,
CSUGNX2100006O000,,,20,20,50,20,,70,,,,,
CSUGNX2110006O000,,,20,20,50,20,,70,,,,,
CSUGNX2110906O000,,,,,30,,,50,,,,,
CSUGNX2110926O000,,,,,30,,,50,,,,,
CSUGNX2500006O000,,,50,20,,30,,80,,,,,
CSUGNX2520006O000,,,,,,,,30,,,,,
CSUGNX2520206O000,,,,,,,,30,,,,,
CSUGNX2520216O000,,,,,,,,30,,,,,
CSUGNX2590006O000,,,40,20,,,,40,,,,,
CSUGNX2590406O000,,,40,20,,,,40,,,,,
CSUGNX2590416O000,,,40,20,,,,40,,,,,
CSUGNX2700006O000,,,,,,,,40,,,,,
CSUGNX2900006O000,40,60,90,120,90,110,150,200,,,,,
CSUGNX2910006O000,30,20,50,40,30,50,30,110,,,,,
CSUGNX2911116O000,30,,,,,,,,,,,,
CSUGNX2911406O000,30,20,40,40,30,40,,110,,,,,
CSUGNX2911416O000,30,20,40,40,30,40,,110,,,,,
CSUGNX2920006O000,,30,40,80,60,60,120,80,,,,,
CSUGNX2920406O000,,,,,,,70,,,,,,
CSUGNX2920416O000,,,,,,,70,,,,,,
CSUGNX2920506O000,,20,20,40,,20,30,50,,,,,
CSUGNX2920516O000,,,20,,,,,,,,,,
CSUGNX2920536O000,,20,,30,,20,30,30,,,,,
CSUGNX2920606O000,,,20,20,50,20,20,20,,,,,
CSUGNX2920616O000,,,20,20,50,20,20,20,,,,,
CSUGNX3100006O000,410,40,70,100,80,80,50,140,,,,,
CSUGNX3110006O000,410,40,70,90,70,80,50,120,,,,,
CSUGNX3110106O000,410,40,70,90,70,80,50,120,,,,,
CSUGNX3110116O000,,,,,,,,30,,,,,
CSUGNX3110126O000,400,,,,,,,,,,,,
CSUGNX3110136O000,,,,,,20,,,,,,,
CSUGNX3110146O000,400,40,70,80,60,60,50,90,,,,,
CSUGNX3190006O000,,,,,,,,30,,,,,
CSUGNX3190906O000,,,,,,,,30,,,,,
CSUGNX3190996O000,,,,,,,,30,,,,,
CSUGNX3300006O000,370,70,160,150,300,150,500,700,,,,,
CSUGNX3310006O000,,,20,,,20,40,50,,,,,
CSUGNX3310106O000,,,,,,,,40,,,,,
CSUGNX3310126O000,,,,,,,,30,,,,,
CSUGNX3310206O000,,,,,,,30,,,,,,
CSUGNX3310216O000,,,,,,,30,,,,,,
CSUGNX3320006O000,,,30,60,,,330,20,,,,,
CSUGNX3320106O000,,,30,50,,,330,20,,,,,
CSUGNX3320116O000,,,30,50,,,330,20,,,,,
CSUGNX3330006O000,360,60,80,70,100,90,90,580,,,,,
CSUGNX3330106O000,,,,,,50,30,70,,,,,
CSUGNX3330126O000,,,,,,50,30,70,,,,,
