Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSULBX0XXXXX6O000,370,500,700,90,40,290,80,80,,,,,
CSULBX1100006O000,3550,2600,3040,2240,2820,2310,3290,3590,,,,,
CSULBX1110006O000,840,210,960,230,360,210,330,260,,,,,
CSULBX1110106O000,,,210,20,100,,50,70,,,,,
CSULBX1110116O000,,,210,20,100,,50,70,,,,,
CSULBX1110206O000,830,210,740,210,250,200,290,190,,,,,
CSULBX1110216O000,830,210,740,210,250,200,290,190,,,,,
CSULBX1120006O000,280,420,160,140,130,130,140,90,,,,,
CSULBX1120206O000,260,350,140,130,130,120,140,80,,,,,
CSULBX1120216O000,20,30,20,80,30,50,50,50,,,,,
CSULBX1120226O000,240,320,120,50,90,80,100,30,,,,,
CSULBX1120306O000,,20,,,,,,,,,,,
CSULBX1120316O000,,20,,,,,,,,,,,
CSULBX1130006O000,220,370,680,210,310,410,820,500,,,,,
CSULBX1130106O000,110,140,200,50,130,50,90,160,,,,,
CSULBX1130116O000,110,140,200,50,130,50,90,160,,,,,
CSULBX1130206O000,,,40,,30,,30,20,,,,,
CSULBX1130216O000,,,40,,30,,30,20,,,,,
CSULBX1130306O000,20,80,370,40,40,260,590,100,,,,,
CSULBX1130316O000,20,80,370,40,40,260,590,100,,,,,
CSULBX1130506O000,,30,,,20,70,30,90,,,,,
CSULBX1130516O000,,30,,,20,70,30,90,,,,,
CSULBX1130606O000,,,,,,,20,,,,,,
CSULBX1130616O000,,,,,,,20,,,,,,
CSULBX1130706O000,40,90,,80,40,20,30,70,,,,,
CSULBX1130716O000,40,90,,80,40,20,30,70,,,,,
CSULBX1131206O000,,,20,20,40,,,30,,,,,
CSULBX1131216O000,,,20,20,40,,,30,,,,,
CSULBX1131306O000,,,20,,,,,20,,,,,
CSULBX1131316O000,,,20,,,,,20,,,,,
CSULBX1190006O000,2210,1600,1240,1670,2020,1560,2000,2730,,,,,
CSULBX1190106O000,70,80,20,,,,,,,,,,
CSULBX1190136O000,70,80,20,,,,,,,,,,
CSULBX1190206O000,50,60,70,140,690,250,220,490,,,,,
CSULBX1190216O000,50,60,70,140,690,250,220,490,,,,,
