Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURCX0XXXXX6O000,110,80,110,20,,60,,30,,,,,
CSURCX1100006O000,1980,1760,1650,1880,1730,1700,1960,1470,,,,,
CSURCX1110006O000,140,400,190,160,80,80,270,100,,,,,
CSURCX1110106O000,,,30,,,,,,,,,,
CSURCX1110116O000,,,30,,,,,,,,,,
CSURCX1110206O000,130,390,150,150,80,70,260,80,,,,,
CSURCX1110216O000,130,390,150,150,80,70,260,80,,,,,
CSURCX1120006O000,100,20,30,80,70,40,,20,,,,,
CSURCX1120106O000,,,,,30,,,,,,,,
CSURCX1120116O000,,,,,30,,,,,,,,
CSURCX1120206O000,90,20,20,70,30,40,,20,,,,,
CSURCX1120216O000,,,,60,20,,,,,,,,
CSURCX1120226O000,90,,20,,,30,,20,,,,,
CSURCX1130006O000,530,260,210,350,160,110,150,390,,,,,
CSURCX1130106O000,360,100,50,20,70,70,20,90,,,,,
CSURCX1130116O000,360,100,50,20,70,70,20,90,,,,,
CSURCX1130206O000,,,30,,,,,60,,,,,
CSURCX1130216O000,,,30,,,,,60,,,,,
CSURCX1130306O000,30,30,20,70,40,,50,20,,,,,
CSURCX1130316O000,30,30,20,70,40,,50,20,,,,,
CSURCX1130506O000,,40,20,20,,,,60,,,,,
CSURCX1130516O000,,40,20,20,,,,60,,,,,
CSURCX1130606O000,,,20,,,,,40,,,,,
CSURCX1130616O000,,,20,,,,,40,,,,,
CSURCX1130706O000,90,20,40,,20,30,20,40,,,,,
CSURCX1130716O000,90,20,40,,20,30,20,40,,,,,
CSURCX1131106O000,20,,,,,,,,,,,,
CSURCX1131116O000,20,,,,,,,,,,,,
CSURCX1131206O000,20,60,20,190,20,,20,50,,,,,
CSURCX1131216O000,20,60,20,190,20,,20,50,,,,,
CSURCX1131306O000,,,,20,,,,40,,,,,
CSURCX1131316O000,,,,20,,,,40,,,,,
CSURCX1190006O000,1210,1080,1220,1290,1420,1480,1530,960,,,,,
CSURCX1190106O000,60,,,,,,,,,,,,
CSURCX1190136O000,60,,,,,,,,,,,,
CSURCX1190206O000,40,,40,40,,,,,,,,,
CSURCX1190216O000,40,,40,40,,,,,,,,,
CSURCX1190306O000,60,170,310,190,160,220,480,160,,,,,
CSURCX1190316O000,,,30,,,70,,,,,,,
CSURCX1190326O000,,120,230,140,120,130,420,130,,,,,
CSURCX1190336O000,30,30,30,40,20,20,40,30,,,,,
CSURCX1190396O000,,,20,,,,,,,,,,
CSURCX1190506O000,140,200,100,260,220,70,70,80,,,,,
CSURCX1190516O000,140,200,100,260,220,70,70,80,,,,,
CSURCX1191106O000,430,420,400,450,410,740,570,390,,,,,
CSURCX1191116O000,430,420,400,450,410,740,570,390,,,,,
CSURCX1191406O000,130,40,70,30,170,70,120,60,,,,,
CSURCX1191416O000,130,40,70,30,170,70,120,60,,,,,
CSURCX1191506O000,40,50,60,150,100,80,90,80,,,,,
CSURCX1191516O000,40,50,60,150,100,80,90,80,,,,,
CSURCX1191906O000,290,190,230,160,310,270,190,180,,,,,
CSURCX1191996O000,290,190,230,160,310,270,190,180,,,,,
CSURCX1300006O000,450,520,740,620,530,510,850,490,,,,,
CSURCX1310006O000,350,390,600,500,360,400,720,410,,,,,
CSURCX1310206O000,20,40,240,20,30,,20,,,,,,
CSURCX1310226O000,,,220,,,,,,,,,,
CSURCX1310236O000,,30,20,,,,,,,,,,
CSURCX1310306O000,40,20,70,100,110,90,20,30,,,,,
CSURCX1310316O000,30,,70,90,110,70,20,20,,,,,
CSURCX1310406O000,,20,30,,,20,,30,,,,,
CSURCX1310416O000,,20,30,,,20,,30,,,,,
CSURCX1310706O000,90,100,90,120,30,80,160,90,,,,,
CSURCX1310716O000,80,100,80,110,30,70,160,90,,,,,
CSURCX1310806O000,20,,,30,,,310,40,,,,,
CSURCX1310816O000,20,,,30,,,310,40,,,,,
CSURCX1311106O000,30,,20,,,80,20,20,,,,,
CSURCX1311116O000,30,,20,,,80,20,20,,,,,
CSURCX1311206O000,,,,20,,,20,,,,,,
CSURCX1311216O000,,,,20,,,20,,,,,,
CSURCX1311406O000,,,,,,,30,,,,,,
CSURCX1311416O000,,,,,,,30,,,,,,
CSURCX1311506O000,60,40,40,110,90,50,60,50,,,,,
CSURCX1311516O000,60,40,40,110,90,50,60,50,,,,,
CSURCX1311606O000,20,30,30,40,,,20,20,,,,,
CSURCX1311616O000,20,30,30,40,,,20,20,,,,,
