Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURFX0XXXXX6O000,650,330,470,190,40,220,100,120,,,,,
CSURFX1100006O000,14450,13770,13540,12030,13740,12020,12510,11670,,,,,
CSURFX1110006O000,2530,2780,2800,1790,1950,2520,2280,2030,,,,,
CSURFX1110106O000,390,600,920,180,80,560,910,950,,,,,
CSURFX1110116O000,390,600,920,180,80,560,910,950,,,,,
CSURFX1110206O000,2140,2180,1880,1610,1870,1930,1360,1080,,,,,
CSURFX1110216O000,2140,2180,1880,1610,1870,1930,1360,1080,,,,,
CSURFX1120006O000,580,880,1100,620,410,940,460,560,,,,,
CSURFX1120106O000,90,50,40,70,,,30,,,,,,
CSURFX1120116O000,90,50,40,70,,,30,,,,,,
CSURFX1120206O000,470,810,940,430,390,880,390,540,,,,,
CSURFX1120216O000,130,90,140,140,180,100,110,200,,,,,
CSURFX1120226O000,340,720,800,300,210,780,280,340,,,,,
CSURFX1120306O000,20,30,120,120,20,40,40,,,,,,
CSURFX1120316O000,20,30,120,120,20,40,40,,,,,,
CSURFX1130006O000,3090,2430,2670,2430,2390,2060,3000,2380,,,,,
CSURFX1130106O000,980,900,820,830,650,430,630,750,,,,,
CSURFX1130116O000,980,900,820,830,650,430,630,750,,,,,
CSURFX1130206O000,110,60,110,130,230,90,80,90,,,,,
CSURFX1130216O000,110,60,110,130,230,90,80,90,,,,,
CSURFX1130306O000,1000,760,830,320,230,360,1580,350,,,,,
CSURFX1130316O000,1000,760,830,320,230,360,1580,350,,,,,
CSURFX1130506O000,150,260,180,130,400,360,170,330,,,,,
CSURFX1130516O000,150,260,180,130,400,360,170,330,,,,,
CSURFX1130606O000,130,40,50,70,70,20,30,120,,,,,
CSURFX1130616O000,130,40,50,70,70,20,30,120,,,,,
CSURFX1130706O000,470,260,370,780,670,610,390,650,,,,,
CSURFX1130716O000,470,260,370,780,670,610,390,650,,,,,
CSURFX1131106O000,20,,,,20,30,,,,,,,
CSURFX1131116O000,20,,,,20,30,,,,,,,
CSURFX1131206O000,180,100,210,110,100,150,100,90,,,,,
CSURFX1131216O000,180,100,210,110,100,150,100,90,,,,,
CSURFX1131306O000,40,40,100,50,,20,30,,,,,,
CSURFX1131316O000,40,40,100,50,,20,30,,,,,,
CSURFX1190006O000,8250,7680,6960,7200,8990,6500,6770,6700,,,,,
CSURFX1190106O000,120,80,70,110,70,70,80,150,,,,,
CSURFX1190136O000,120,80,70,110,70,70,80,150,,,,,
CSURFX1190206O000,730,690,1340,460,1400,790,610,1180,,,,,
CSURFX1190216O000,730,690,1340,460,1400,790,610,1180,,,,,
CSURFX1190306O000,940,750,680,750,900,720,680,620,,,,,
CSURFX1190316O000,200,110,,,90,80,,80,,,,,
CSURFX1190326O000,420,490,420,560,630,430,500,320,,,,,
CSURFX1190336O000,290,130,180,150,160,200,170,210,,,,,
CSURFX1190396O000,30,20,50,40,20,,,,,,,,
CSURFX1190406O000,40,,,,380,,20,,,,,,
CSURFX1190416O000,40,,,,380,,20,,,,,,
CSURFX1190506O000,1170,1140,750,1840,860,1320,1450,1370,,,,,
CSURFX1190516O000,1170,1140,750,1840,860,1320,1450,1370,,,,,
CSURFX1190606O000,,150,,,,,,,,,,,
CSURFX1190616O000,,150,,,,,,,,,,,
CSURFX1190806O000,,190,70,40,30,20,40,20,,,,,
CSURFX1190816O000,,190,70,40,30,20,40,20,,,,,
CSURFX1191106O000,1730,1540,1520,1290,1480,1360,1600,1400,,,,,
CSURFX1191116O000,1730,1540,1520,1290,1480,1360,1600,1400,,,,,
CSURFX1191406O000,880,180,210,640,1310,200,150,510,,,,,
CSURFX1191416O000,880,180,210,640,1310,200,150,510,,,,,
CSURFX1191506O000,240,270,430,520,350,350,290,500,,,,,
CSURFX1191516O000,240,270,430,520,350,350,290,500,,,,,
CSURFX1191606O000,40,30,,20,20,,50,,,,,,
CSURFX1191616O000,40,30,,20,20,,50,,,,,,
CSURFX1191906O000,2320,2650,1850,1420,2180,1630,1790,860,,,,,
CSURFX1191996O000,2320,2650,1850,1420,2180,1630,1790,860,,,,,
CSURFX1300006O000,3010,3290,4560,3040,2810,2850,2770,2220,,,,,
CSURFX1310006O000,2070,2500,3480,2520,2180,2400,1770,1570,,,,,
CSURFX1310206O000,350,550,990,380,250,220,120,220,,,,,
CSURFX1310216O000,20,20,210,,,20,30,,,,,,
CSURFX1310226O000,200,410,680,190,140,110,40,60,,,,,
CSURFX1310236O000,130,120,110,170,100,80,50,90,,,,,
CSURFX1310306O000,280,200,260,660,290,270,100,90,,,,,
CSURFX1310316O000,260,150,250,630,250,190,80,70,,,,,
CSURFX1310326O000,20,50,,30,40,80,30,30,,,,,
CSURFX1310406O000,230,130,410,70,130,150,130,70,,,,,
CSURFX1310416O000,230,130,410,70,130,150,130,70,,,,,
CSURFX1310506O000,80,180,90,250,170,20,40,40,,,,,
CSURFX1310516O000,80,180,90,250,170,20,40,40,,,,,
CSURFX1310706O000,330,300,350,290,270,370,350,300,,,,,
CSURFX1310716O000,310,300,340,280,260,360,350,290,,,,,
CSURFX1310756O000,20,,,,,,,,,,,,
CSURFX1310806O000,50,100,40,50,30,40,20,80,,,,,
CSURFX1310816O000,50,100,40,50,30,40,20,80,,,,,
CSURFX1311106O000,130,190,100,110,240,550,180,60,,,,,
