Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURGX0XXXXX6O000,1950,3780,1850,8990,1110,1640,310,660,,,,,
CSURGX1100006O000,7260,8100,9030,8050,8470,7660,7500,9790,,,,,
CSURGX1110006O000,1170,1980,1600,1310,1160,1140,1170,1290,,,,,
CSURGX1110106O000,150,220,80,70,70,190,80,150,,,,,
CSURGX1110116O000,150,220,80,70,70,190,80,150,,,,,
CSURGX1110206O000,1010,1760,1510,1240,1090,960,1090,1140,,,,,
CSURGX1110216O000,1010,1760,1510,1240,1090,960,1090,1140,,,,,
CSURGX1120006O000,470,540,610,430,740,290,270,640,,,,,
CSURGX1120106O000,,50,,40,,,,30,,,,,
CSURGX1120116O000,,50,,40,,,,30,,,,,
CSURGX1120206O000,460,430,580,390,700,280,230,600,,,,,
CSURGX1120216O000,100,100,50,30,100,70,70,90,,,,,
CSURGX1120226O000,360,320,530,360,600,210,160,510,,,,,
CSURGX1120306O000,,60,20,,30,,30,,,,,,
CSURGX1120316O000,,60,20,,30,,30,,,,,,
CSURGX1130006O000,870,1150,1590,1100,1510,1300,950,1660,,,,,
CSURGX1130106O000,190,380,690,240,180,280,300,450,,,,,
CSURGX1130116O000,190,380,690,240,180,280,300,450,,,,,
CSURGX1130206O000,90,80,100,40,60,80,50,80,,,,,
CSURGX1130216O000,90,80,100,40,60,80,50,80,,,,,
CSURGX1130306O000,250,170,400,360,590,530,390,510,,,,,
CSURGX1130316O000,250,170,400,360,590,530,390,510,,,,,
CSURGX1130506O000,60,120,80,170,80,110,50,70,,,,,
CSURGX1130516O000,60,120,80,170,80,110,50,70,,,,,
CSURGX1130606O000,100,60,70,,110,20,40,70,,,,,
CSURGX1130616O000,100,60,70,,110,20,40,70,,,,,
CSURGX1130706O000,90,160,80,120,270,210,70,210,,,,,
CSURGX1130716O000,90,160,80,120,270,210,70,210,,,,,
CSURGX1131106O000,,,,,,,,60,,,,,
CSURGX1131116O000,,,,,,,,60,,,,,
CSURGX1131206O000,40,160,90,50,120,60,30,100,,,,,
CSURGX1131216O000,40,160,90,50,120,60,30,100,,,,,
CSURGX1131306O000,30,30,70,90,90,,,110,,,,,
CSURGX1131316O000,30,30,70,90,90,,,110,,,,,
CSURGX1190006O000,4760,4430,5240,5210,5070,4930,5100,6200,,,,,
CSURGX1190106O000,,40,30,20,130,,90,80,,,,,
CSURGX1190136O000,,40,30,20,130,,90,80,,,,,
CSURGX1190206O000,100,210,240,210,900,390,110,390,,,,,
CSURGX1190216O000,100,210,240,210,900,390,110,390,,,,,
CSURGX1190306O000,410,370,710,990,470,470,1040,720,,,,,
CSURGX1190316O000,,60,280,20,,60,80,70,,,,,
CSURGX1190326O000,210,210,300,770,290,170,770,450,,,,,
CSURGX1190336O000,150,90,110,210,170,230,200,190,,,,,
CSURGX1190396O000,50,,,,,,,20,,,,,
