Nonfatal cases involving days away from work: selected characteristics (2011 forward),,,,,,,,,,,,,
Years:,2011 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Series ID,"Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018",,,,,
CSURHX1100006O000,,30,80,,20,40,20,20,,,,,
CSURHX1110006O000,,,,,,20,,,,,,,
CSURHX1110206O000,,,,,,20,,,,,,,
CSURHX1110216O000,,,,,,20,,,,,,,
CSURHX1190006O000,,,80,,,,,,,,,,
CSURHX1190306O000,,,40,,,,,,,,,,
CSURHX1190506O000,,,30,,,,,,,,,,
CSURHX1190516O000,,,30,,,,,,,,,,
CSURHX1300006O000,,20,,,,,,,,,,,
CSURHX1310006O000,,20,,,,,,,,,,,
CSURHX1500006O000,,,20,,,,,,,,,,
CSURHX1511006O000,,,20,,,,,,,,,,
CSURHX2100006O000,,,,,,20,,,,,,,
CSURHX2110006O000,,,,,,20,,,,,,,
CSURHX2500006O000,20,,,70,,70,20,,,,,,
CSURHX2520006O000,,,,70,,,,,,,,,
CSURHX2590006O000,,,,,,50,20,,,,,,
CSURHX2590406O000,,,,,,50,20,,,,,,
CSURHX2590416O000,,,,,,50,20,,,,,,
CSURHX2900006O000,60,50,80,40,100,30,60,50,,,,,
CSURHX2910006O000,,,40,20,20,20,50,30,,,,,
CSURHX2911206O000,,,,,,,40,,,,,,
CSURHX2911406O000,,,40,20,20,20,,20,,,,,
CSURHX2911416O000,,,40,20,20,20,,20,,,,,
CSURHX2920006O000,40,40,40,20,80,,20,30,,,,,
CSURHX2920406O000,,,,,,,,20,,,,,
CSURHX2920416O000,,,,,,,,20,,,,,
CSURHX2920506O000,30,,20,,70,,,,,,,,
CSURHX2920516O000,20,,,,,,,,,,,,
CSURHX2920606O000,,20,,,,,,,,,,,
CSURHX2920616O000,,20,,,,,,,,,,,
CSURHX3100006O000,70,100,70,50,80,40,80,30,,,,,
CSURHX3110006O000,70,90,70,50,80,40,70,30,,,,,
CSURHX3110106O000,70,90,70,50,80,40,70,30,,,,,
CSURHX3110116O000,,,,,20,,,,,,,,
CSURHX3110126O000,60,,,,,,,,,,,,
CSURHX3110136O000,,,20,,,,,,,,,,
CSURHX3110146O000,60,30,50,30,60,40,60,30,,,,,
CSURHX3300006O000,40,40,100,40,130,30,40,50,,,,,
CSURHX3330006O000,30,30,70,20,,,20,30,,,,,
CSURHX3330106O000,30,,50,,,,,20,,,,,
CSURHX3330126O000,30,,40,,,,,20,,,,,
CSURHX3330506O000,,20,,,,,,,,,,,
CSURHX3330516O000,,20,,,,,,,,,,,
CSURHX3390006O000,,,30,20,120,,,,,,,,
CSURHX3390306O000,,,,,120,,,,,,,,
CSURHX3390326O000,,,,,120,,,,,,,,
CSURHX3390906O000,,,20,,,,,,,,,,
CSURHX3390996O000,,,20,,,,,,,,,,
CSURHX3500006O000,70,60,60,50,110,110,90,210,,,,,
CSURHX3510006O000,,,,,,,,50,,,,,
CSURHX3510106O000,,,,,,,,50,,,,,
CSURHX3510116O000,,,,,,,,20,,,,,
CSURHX3520006O000,20,40,,,70,80,40,60,,,,,
CSURHX3520106O000,20,40,,,60,,30,50,,,,,
CSURHX3520146O000,,30,,,50,,,,,,,,
CSURHX3520206O000,,,,,,80,,,,,,,
CSURHX3520216O000,,,,,,80,,,,,,,
CSURHX3530006O000,20,,20,30,40,,40,,,,,,
CSURHX3530306O000,,,,20,30,,,,,,,,
CSURHX3530316O000,,,,20,30,,,,,,,,
CSURHX3590006O000,20,,20,,,,,80,,,,,
CSURHX3590206O000,20,,,,,,,,,,,,
CSURHX3590216O000,20,,,,,,,,,,,,
CSURHX3590306O000,,,,,,,,50,,,,,
CSURHX3590316O000,,,,,,,,50,,,,,
CSURHX3700006O000,20,520,50,70,30,90,70,120,,,,,
CSURHX3710006O000,,,,,,,20,,,,,,
CSURHX3710106O000,,,,,,,20,,,,,,
CSURHX3710116O000,,,,,,,20,,,,,,
CSURHX3720006O000,20,340,50,30,30,30,,40,,,,,
CSURHX3720106O000,20,340,40,30,30,30,,40,,,,,
CSURHX3720116O000,,310,20,20,,20,,30,,,,,
CSURHX3720126O000,,30,20,,,,,,,,,,
CSURHX3730006O000,,180,,30,,50,40,30,,,,,
CSURHX3730106O000,,180,,30,,50,40,30,,,,,
CSURHX3730116O000,,180,,30,,,40,30,,,,,
CSURHX3900006O000,70,20,20,130,40,130,30,40,,,,,
CSURHX3920006O000,,,,,,40,,,,,,,
CSURHX3990006O000,30,20,20,120,20,70,30,20,,,,,
CSURHX3990206O000,20,,,120,,70,30,20,,,,,
CSURHX3990216O000,20,,,120,,70,30,20,,,,,
CSURHX4100006O000,60,30,350,30,,40,30,,,,,,
